#Portfolio,Sample,AsOfDate,Time,InitialMargin,Currency,SimmSide,Depth
CPTY_A,0,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,0,2016-05-06,0.248634,4113060.750000,,Call,0
CPTY_A,0,2016-08-05,0.497268,3786748.750000,,Call,0
CPTY_A,0,2016-11-07,0.754098,3736433.000000,,Call,0
CPTY_A,0,2017-02-06,1.003002,3798466.750000,,Call,0
CPTY_A,0,2017-05-05,1.244098,3679220.500000,,Call,0
CPTY_A,0,2017-08-07,1.501632,3888713.500000,,Call,0
CPTY_A,0,2017-11-06,1.750947,3762577.250000,,Call,0
CPTY_A,0,2018-02-05,2.000262,4086391.500000,,Call,0
CPTY_A,0,2018-05-08,2.252317,4184405.000000,,Call,0
CPTY_A,0,2018-08-06,2.498892,3823078.500000,,Call,0
CPTY_A,0,2018-11-05,2.748207,4052173.500000,,Call,0
CPTY_A,0,2019-02-05,3.000262,4498682.500000,,Call,0
CPTY_A,0,2019-05-07,3.249577,4248045.500000,,Call,0
CPTY_A,0,2019-08-05,3.496152,4534339.500000,,Call,0
CPTY_A,0,2019-11-05,3.748207,4376205.000000,,Call,0
CPTY_A,0,2020-02-05,4.000000,3727302.750000,,Call,0
CPTY_A,0,2020-05-05,4.245902,4151978.000000,,Call,0
CPTY_A,0,2020-08-05,4.497268,3627474.250000,,Call,0
CPTY_A,0,2020-11-05,4.748634,3511889.000000,,Call,0
CPTY_A,0,2021-02-05,5.000262,3154456.750000,,Call,0
CPTY_A,0,2021-05-05,5.244098,3643381.000000,,Call,0
CPTY_A,0,2021-08-05,5.496152,3447537.250000,,Call,0
CPTY_A,0,2021-11-05,5.748207,3058670.000000,,Call,0
CPTY_A,0,2022-02-07,6.005741,3756339.250000,,Call,0
CPTY_A,0,2022-05-05,6.244098,3421165.250000,,Call,0
CPTY_A,0,2022-08-05,6.496152,3221499.750000,,Call,0
CPTY_A,0,2022-11-07,6.753687,3659698.250000,,Call,0
CPTY_A,0,2023-02-06,7.003002,3779304.000000,,Call,0
CPTY_A,0,2023-05-05,7.244098,3344175.000000,,Call,0
CPTY_A,0,2023-08-07,7.501632,3620887.000000,,Call,0
CPTY_A,0,2023-11-06,7.750947,3320387.750000,,Call,0
CPTY_A,0,2024-02-05,8.000000,3464126.000000,,Call,0
CPTY_A,0,2024-05-07,8.251366,3570414.000000,,Call,0
CPTY_A,0,2024-08-05,8.497268,3157099.250000,,Call,0
CPTY_A,0,2024-11-05,8.748634,3813385.250000,,Call,0
CPTY_A,0,2025-02-05,9.000262,3052528.750000,,Call,0
CPTY_A,0,2025-05-06,9.246837,3029766.250000,,Call,0
CPTY_A,0,2025-08-05,9.496152,3463880.000000,,Call,0
CPTY_A,0,2025-11-05,9.748207,3196328.500000,,Call,0
CPTY_A,0,2026-02-05,10.000262,367422.250000,,Call,0
CPTY_A,0,2026-05-05,10.244098,352241.468750,,Call,0
CPTY_A,0,2026-08-05,10.496152,361586.437500,,Call,0
CPTY_A,0,2026-11-05,10.748207,355609.468750,,Call,0
CPTY_A,0,2027-02-05,11.000262,316334.312500,,Call,0
CPTY_A,0,2027-05-05,11.244098,296135.312500,,Call,0
CPTY_A,0,2027-08-05,11.496152,312975.125000,,Call,0
CPTY_A,0,2027-11-05,11.748207,319573.562500,,Call,0
CPTY_A,0,2028-02-07,12.005464,265374.281250,,Call,0
CPTY_A,0,2028-05-05,12.245902,294092.281250,,Call,0
CPTY_A,0,2028-08-07,12.502732,265439.187500,,Call,0
CPTY_A,0,2028-11-06,12.751366,229684.000000,,Call,0
CPTY_A,0,2029-02-05,13.000262,243989.421875,,Call,0
CPTY_A,0,2029-05-08,13.252317,235469.187500,,Call,0
CPTY_A,0,2029-08-06,13.498892,208672.437500,,Call,0
CPTY_A,0,2029-11-05,13.748207,224488.000000,,Call,0
CPTY_A,0,2030-02-05,14.000262,207871.234375,,Call,0
CPTY_A,0,2030-05-07,14.249577,186193.875000,,Call,0
CPTY_A,0,2030-08-05,14.496152,189524.203125,,Call,0
CPTY_A,0,2030-11-05,14.748207,186023.875000,,Call,0
CPTY_A,0,2031-02-05,15.000262,175489.375000,,Call,0
CPTY_A,0,2031-05-06,15.246837,61275.851563,,Call,0
CPTY_A,0,2031-08-05,15.496152,164458.015625,,Call,0
CPTY_A,0,2031-11-05,15.748207,112160.781250,,Call,0
