#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,4291672.231805,4268250.951798,0.000000,3970726.743748,CPTY_A,0.248634
1,2016-08-05,14,3674119.145661,3637522.125936,0.000000,3491899.190853,CPTY_A,0.497268
2,2016-11-07,14,3695779.964075,3656172.293132,0.000000,3617302.099532,CPTY_A,0.754098
3,2017-02-06,15,3867698.968360,3845403.511093,0.000000,3394463.617161,CPTY_A,1.003002
4,2017-05-05,14,3707625.124659,3695369.691181,0.000000,2759335.407317,CPTY_A,1.244098
5,2017-08-07,14,3903030.468740,3850069.964364,0.000000,3716391.069239,CPTY_A,1.501632
6,2017-11-06,14,3845076.204956,3717189.917164,0.000000,3721616.325576,CPTY_A,1.750947
7,2018-02-05,15,3951272.918179,3926994.985607,0.000000,3809307.016043,CPTY_A,2.000262
8,2018-05-08,14,4150076.270064,4054787.497843,0.000000,4448303.191472,CPTY_A,2.252317
9,2018-08-06,14,4106988.540574,4012823.274437,0.000000,4520072.347952,CPTY_A,2.498892
10,2018-11-05,14,3992694.847449,3861551.513207,0.000000,4375570.302630,CPTY_A,2.748207
11,2019-02-05,14,4499758.813251,4367120.840160,0.000000,4474167.246869,CPTY_A,3.000262
12,2019-05-07,14,4587513.693690,4386017.313255,0.000000,4992466.869770,CPTY_A,3.249577
13,2019-08-05,14,4477746.136226,4408565.777209,0.000000,4179561.345635,CPTY_A,3.496152
14,2019-11-05,14,4432444.177099,4302868.454880,0.000000,4934124.646894,CPTY_A,3.748207
15,2020-02-05,14,3707381.273461,3535859.289056,0.000000,4198226.876787,CPTY_A,4.000000
16,2020-05-05,14,4436233.845886,4183856.473511,0.000000,4741702.485510,CPTY_A,4.245902
17,2020-08-05,14,3756708.167833,3744206.898477,0.000000,3284056.120396,CPTY_A,4.497268
18,2020-11-05,14,4077306.079207,3949832.877891,0.000000,3859540.008833,CPTY_A,4.748634
19,2021-02-05,14,3412664.860958,3303864.167073,0.000000,3078319.976569,CPTY_A,5.000262
20,2021-05-05,14,3608626.364250,3526769.717848,0.000000,3853116.386262,CPTY_A,5.244098
