#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-40854234.945313,4330086.620440,0.000000,4268250.951798,4291672.231805,1233757.097932,3970726.743748
1,-39623227.984375,4187809.949295,0.000000,4268250.951798,4291672.231805,-1741271.146117,3970726.743748
2,-38499877.447266,4076977.966975,0.000000,4268250.951798,4291672.231805,484957.191116,3970726.743748
3,-35618590.558594,3885977.615009,0.000000,4268250.951798,4291672.231805,-944350.949920,3970726.743748
4,-35575427.712402,3884211.862752,0.000000,4268250.951798,4291672.231805,297527.321774,3970726.743748
5,-34950622.956055,3862442.546539,0.000000,4268250.951798,4291672.231805,-2753404.220521,3970726.743748
6,-34940907.594727,3862160.384046,0.000000,4268250.951798,4291672.231805,-396708.950866,3970726.743748
7,-34239075.390625,3846386.506841,0.000000,4268250.951798,4291672.231805,-421560.521678,3970726.743748
8,-34102738.935547,3844382.147216,0.000000,4268250.951798,4291672.231805,-3836495.251825,3970726.743748
9,-34033860.687500,3843501.170127,0.000000,4268250.951798,4291672.231805,-2861170.310812,3970726.743748
10,-33920032.109375,3842239.159833,0.000000,4268250.951798,4291672.231805,1482636.286151,3970726.743748
11,-33872135.710571,3841780.402010,0.000000,4268250.951798,4291672.231805,-48528.561241,3970726.743748
12,-33740714.968750,3840741.655100,0.000000,4268250.951798,4291672.231805,-320415.763466,3970726.743748
13,-33680573.926025,3840373.914378,0.000000,4268250.951798,4291672.231805,-3857213.988606,3970726.743748
14,-33662331.875000,3840275.731807,0.000000,4268250.951798,4291672.231805,1184232.824982,3970726.743748
15,-33476422.310547,3839629.891526,0.000000,4268250.951798,4291672.231805,1128742.014590,3970726.743748
16,-33187714.832520,3839908.115634,0.000000,4268250.951798,4291672.231805,-1707275.222523,3970726.743748
17,-33171927.533203,3839968.275237,0.000000,4268250.951798,4291672.231805,2646032.723990,3970726.743748
18,-32996867.732422,3840947.607291,0.000000,4268250.951798,4291672.231805,378038.142519,3970726.743748
19,-32894825.959473,3841782.600005,0.000000,4268250.951798,4291672.231805,1243729.984376,3970726.743748
20,-32866904.580078,3842044.954789,0.000000,4268250.951798,4291672.231805,-433390.432564,3970726.743748
21,-32744639.203125,3843365.112508,0.000000,4268250.951798,4291672.231805,303896.859351,3970726.743748
22,-32572349.802734,3845698.446123,0.000000,4268250.951798,4291672.231805,-778616.300978,3970726.743748
23,-32552902.023438,3845996.550163,0.000000,4268250.951798,4291672.231805,-1097941.964402,3970726.743748
24,-32417690.529297,3848263.596218,0.000000,4268250.951798,4291672.231805,505855.595166,3970726.743748
25,-32390255.195313,3848765.058539,0.000000,4268250.951798,4291672.231805,3469745.403980,3970726.743748
26,-32349264.050903,3849540.331833,0.000000,4268250.951798,4291672.231805,-1294723.728285,3970726.743748
27,-32289044.785156,3850735.813523,0.000000,4268250.951798,4291672.231805,474128.238644,3970726.743748
