#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,27488088.00,0.00,-27488088.98,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,27426954.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,27097086.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,27277248.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,2655.05,26290066.00,0.00,0.00,2709.20,2709.20,672.31,672.31
CPTY_A,2017-05-05,1.244098,2327.96,25960854.00,0.00,0.00,2387.05,2709.20,1004.61,1067.04
CPTY_A,2017-08-07,1.501632,65567.86,25072538.00,0.00,0.00,67581.40,67581.40,12422.73,12474.45
CPTY_A,2017-11-06,1.750947,131203.98,25307370.00,0.00,0.00,135910.06,135910.06,30005.93,30050.29
CPTY_A,2018-02-05,2.000262,186682.27,24098568.00,0.00,0.00,194341.36,194341.36,50488.89,50527.72
CPTY_A,2018-05-08,2.252317,245070.50,23789784.00,0.00,0.00,256418.57,256418.57,73534.30,73568.79
CPTY_A,2018-08-06,2.498892,324112.28,22778628.00,1668691.84,0.00,340803.25,340803.25,99906.76,99937.84
CPTY_A,2018-11-05,2.748207,441675.31,23108450.00,0.00,0.00,466750.73,466750.73,133186.54,133214.80
CPTY_A,2019-02-05,3.000262,727911.75,22237802.00,2922233.06,0.00,773139.98,773139.98,186949.62,186975.51
CPTY_A,2019-05-07,3.249577,993003.94,22117332.00,8596375.02,0.00,1059995.60,1059995.60,253931.73,253955.63
CPTY_A,2019-08-05,3.496152,1339602.88,21550426.00,8567350.06,0.00,1437073.51,1437073.51,337375.92,337398.13
CPTY_A,2019-11-05,3.748207,1584958.38,21790300.00,9374836.90,0.00,1708906.64,1708906.64,429606.92,429627.64
CPTY_A,2020-02-05,4.000000,2424654.25,21392862.00,14865627.44,0.00,2627531.26,2627531.26,567962.30,567981.71
CPTY_A,2020-05-05,4.245902,2393008.50,21283266.00,16665753.54,0.00,2606105.92,2627531.26,686001.50,687260.64
CPTY_A,2020-08-05,4.497268,2656635.50,20830640.00,16757745.08,0.00,2907885.63,2907885.63,810189.44,811378.20
CPTY_A,2020-11-05,4.748634,2751560.00,21160218.00,17537717.85,0.00,3027065.71,3027065.71,927538.47,928664.31
CPTY_A,2021-02-05,5.000262,2956599.00,20556024.00,23382958.60,0.00,3269134.80,3269134.80,1045374.59,1046443.77
CPTY_A,2021-05-05,5.244098,3126100.75,20444828.00,23289530.27,0.00,3473515.31,3473515.31,1158276.22,1159295.69
CPTY_A,2021-08-05,5.496152,3380225.75,19994924.00,26844855.24,0.00,3774934.86,3774934.86,1278276.78,1279249.50
CPTY_A,2021-11-05,5.748207,3533313.75,20341816.00,27677689.48,0.00,3965915.82,3965915.82,1396127.84,1397057.90
CPTY_A,2022-02-07,6.005741,3575308.75,19750126.00,30620449.75,0.00,4033853.63,4033853.63,1509237.06,1510127.24
CPTY_A,2022-05-05,6.244098,3577701.75,19458266.00,30317631.27,0.00,4055914.68,4055914.68,1606451.48,1607307.67
CPTY_A,2022-08-05,6.496152,3836325.25,18996124.00,25998915.93,0.00,4371169.27,4371169.27,1713724.26,1714547.24
CPTY_A,2022-11-07,6.753687,4323472.50,19419706.00,28070844.84,0.00,4951766.74,4951766.74,1837198.58,1837990.17
CPTY_A,2023-02-06,7.003002,4700544.00,19160230.00,29483571.98,0.00,5410647.77,5410647.77,1964417.56,1965180.97
CPTY_A,2023-05-05,7.244098,4880584.50,19166586.00,29689407.66,0.00,5645143.15,5645143.15,2086918.36,2087656.37
CPTY_A,2023-08-07,7.501632,5181467.50,18942820.00,35118255.02,0.00,6024224.74,6024224.74,2222087.79,2222800.46
CPTY_A,2023-11-06,7.750947,5126395.00,19172090.00,36590441.46,0.00,5990100.08,6024224.74,2343288.75,2345076.14
CPTY_A,2024-02-05,8.000000,5416332.50,18778538.00,42467327.13,0.00,6360642.70,6360642.70,2468355.54,2470087.29
CPTY_A,2024-05-07,8.251366,5644928.00,18666986.00,41937634.45,0.00,6662718.95,6662718.95,2596130.85,2597809.84
CPTY_A,2024-08-05,8.497268,5823843.50,18303898.00,42021739.62,0.00,6908001.12,6908001.12,2720911.66,2722542.07
CPTY_A,2024-11-05,8.748634,6348079.50,18655802.00,41890282.38,0.00,7568023.44,7568023.44,2860179.08,2861762.64
CPTY_A,2025-02-05,9.000262,6481989.50,18289934.00,39367728.07,0.00,7766866.60,7766866.60,2997359.60,2998898.88
CPTY_A,2025-05-06,9.246837,6688623.00,18250846.00,41630084.54,0.00,8054229.95,8054229.95,3132205.65,3133703.89
