#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,52320,0,0,0,52320,52320,52320,52320.42,52320.42
BermSwp,2016-05-06,0.248634,52165,0,0,0,70854,52429,52429,52429.02,52429.02
BermSwp,2016-08-05,0.497268,52673,0,0,0,77199,53206,53206,52817.56,52817.56
BermSwp,2016-11-07,0.754098,52222,0,0,0,86799,53023,53206,52887.39,52949.88
BermSwp,2017-02-06,1.003002,51992,0,0,0,84088,53052,53206,52928.34,53013.46
BermSwp,2017-05-05,1.244098,52029,0,0,0,92122,53350,53350,53009.97,53078.60
BermSwp,2017-08-07,1.501632,52116,0,0,0,100950,53716,53716,53131.07,53187.93
BermSwp,2017-11-06,1.750947,52470,0,0,0,105812,54352,54352,53304.97,53353.73
BermSwp,2018-02-05,2.000262,52967,0,0,0,116369,55140,55140,53533.69,53576.38
BermSwp,2018-05-08,2.252317,52569,0,0,0,115285,55003,55140,53698.16,53751.37
BermSwp,2018-08-06,2.498892,52103,0,0,0,109439,54787,55140,53805.57,53888.39
BermSwp,2018-11-05,2.748207,51902,0,0,0,117868,54848,55140,53900.18,54001.94
BermSwp,2019-02-05,3.000262,52199,0,0,0,120971,55443,55443,54029.76,54122.98
BermSwp,2019-05-07,3.249577,52131,0,0,0,133664,55648,55648,54153.91,54239.97
BermSwp,2019-08-05,3.496152,52220,0,0,0,137363,56019,56019,54285.46,54365.45
BermSwp,2019-11-05,3.748207,52287,0,0,0,136414,56376,56376,54426.03,54500.64
BermSwp,2020-02-05,4.000000,52782,0,0,0,142355,57198,57198,54600.54,54670.46
BermSwp,2020-05-05,4.245902,52930,0,0,0,151205,57643,57643,54776.75,54842.61
BermSwp,2020-08-05,4.497268,53120,0,0,0,150828,58144,58144,54964.97,55027.15
BermSwp,2020-11-05,4.748634,52843,0,0,0,152688,58134,58144,55132.74,55192.15
BermSwp,2021-02-05,5.000262,53683,0,0,0,162565,59358,59358,55345.37,55401.79
BermSwp,2021-05-05,5.244098,54572,0,0,0,169640,60637,60637,55591.41,55645.21
