#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Composite,2016-02-05,0.000000,51286,0,0,0,51286,51286,51286,51286.36,51286.36
Composite,2016-05-06,0.248634,178386,132447,0,0,771439,179288,179288,179287.96,179287.96
Composite,2016-08-05,0.497268,292225,243188,0,0,1096005,295181,295181,237234.37,237234.37
Composite,2016-11-07,0.754098,253910,317264,0,0,1237431,257804,295181,244239.88,256969.74
Composite,2017-02-06,1.003002,285544,352094,0,0,1277129,291367,295181,255934.93,266452.14
Composite,2017-05-05,1.244098,366696,330595,0,0,1536049,376003,376003,279203.08,287682.13
Composite,2017-08-07,1.501632,404531,370104,0,0,1779178,416954,416954,302827.76,309852.63
Composite,2017-11-06,1.750947,399015,452083,0,0,1774492,413327,416954,318561.55,325102.65
Composite,2018-02-05,2.000262,440452,487415,0,0,2093196,458522,458522,336006.43,341732.23
Composite,2018-05-08,2.252317,479422,430523,0,0,2112788,501622,501622,354540.32,359625.36
Composite,2018-08-06,2.498892,493147,453148,0,0,1964909,518542,518542,370723.04,375306.32
Composite,2018-11-05,2.748207,442267,504385,0,0,2045680,467376,518542,379491.31,388300.58
Composite,2019-02-05,3.000262,470120,521197,0,0,2113638,499330,518542,389559.07,399242.31
Composite,2019-05-07,3.249577,522781,483143,0,0,2469294,558049,558049,402486.04,411426.37
Composite,2019-08-05,3.496152,548109,509580,0,0,2580907,587989,587989,415569.15,423878.93
Composite,2019-11-05,3.748207,497436,547353,0,0,2385541,536337,587989,423690.36,434914.83
Composite,2020-02-05,4.000000,541090,585050,0,0,2508578,586364,587989,433930.38,444550.59
Composite,2020-05-05,4.245902,586972,538564,0,0,2741816,639242,639242,445821.03,455826.17
Composite,2020-08-05,4.497268,596347,545313,0,0,2722845,652746,652746,457386.69,466832.61
Composite,2020-11-05,4.748634,532993,574372,0,0,2553418,586360,652746,464213.79,476673.81
Composite,2021-02-05,5.000262,557748,589728,0,0,2757667,616706,652746,471887.68,485534.28
Composite,2021-05-05,5.244098,621505,553906,0,0,2884264,690575,690575,482056.04,495068.12
Composite,2021-08-05,5.496152,592364,540837,0,0,2715529,661534,690575,490286.93,504034.13
Composite,2021-11-05,5.748207,525999,570640,0,0,2427790,590399,690575,494676.78,512213.83
Composite,2022-02-07,6.005741,529408,577927,0,0,2485858,597306,690575,499077.67,519862.22
Composite,2022-05-05,6.244098,571137,529693,0,0,2731812,647478,690575,504742.57,526378.86
Composite,2022-08-05,6.496152,574287,534839,0,0,2524383,654352,690575,510547.50,532749.80
Composite,2022-11-07,6.753687,533109,577796,0,0,2417657,610581,690575,514362.03,538768.07
Composite,2023-02-06,7.003002,519563,571871,0,0,2411146,598053,690575,517341.52,544172.59
Composite,2023-05-05,7.244098,578658,533118,0,0,2693533,669307,690575,522399.19,549045.13
Composite,2023-08-07,7.501632,580174,541331,0,0,2789165,674538,690575,527622.18,553903.92
Composite,2023-11-06,7.750947,524736,568562,0,0,2581945,613144,690575,530373.06,558300.07
Composite,2024-02-05,8.000000,534570,580123,0,0,2787253,627770,690575,533405.19,562418.02
Composite,2024-05-07,8.251366,558417,518452,0,0,2432237,659101,690575,537234.33,566322.15
Composite,2024-08-05,8.497268,578238,533071,0,0,2736853,685882,690575,541536.03,569917.91
Composite,2024-11-05,8.748634,511604,553208,0,0,2335571,609921,690575,543500.88,573384.65
Composite,2025-02-05,9.000262,525435,563326,0,0,2390453,629588,690575,545907.69,576661.05
Composite,2025-05-06,9.246837,551595,501139,0,0,2325580,664213,690575,549062.42,579698.68
Composite,2025-08-05,9.496152,558808,512678,0,0,2405987,676275,690575,552402.31,582609.68
Composite,2025-11-05,9.748207,489378,526315,0,0,2358662,595256,690575,553510.34,585401.30
Composite,2026-02-05,10.000262,490189,528480,0,0,2347632,599267,690575,554663.62,588052.20
Composite,2026-05-05,10.244098,509373,468491,0,0,2546591,625774,690575,556356.24,590492.51
Composite,2026-08-05,10.496152,516072,475839,0,0,2488654,637221,690575,558298.13,592895.91
Composite,2026-11-05,10.748207,458189,500118,0,0,2266387,568620,690575,558540.18,595186.58
Composite,2027-02-05,11.000262,472603,512754,0,0,2148474,589483,690575,559249.20,597372.27
Composite,2027-05-05,11.244098,477696,438648,0,0,2070825,598759,690575,560105.99,599393.45
Composite,2027-08-05,11.496152,510336,460742,0,0,2282052,642915,690575,561921.60,601392.63
Composite,2027-11-05,11.748207,428438,469386,0,0,1999560,542480,690575,561504.48,603306.02
Composite,2028-02-07,12.005464,427709,468504,0,0,1961921,544364,690575,561137.19,605176.06
Composite,2028-05-05,12.245902,433202,398264,0,0,1965647,554030,690575,560997.65,606852.80
Composite,2028-08-07,12.502732,443460,405073,0,0,1952294,570089,690575,561184.40,608572.63
Composite,2028-11-06,12.751366,372032,418975,0,0,1655040,480664,690575,559614.36,610171.57
Composite,2029-02-05,13.000262,373107,423254,0,0,1847424,484471,690575,558175.71,611710.94
Composite,2029-05-08,13.252317,386000,357256,0,0,1676891,503756,690575,557140.67,613210.92
Composite,2029-08-06,13.498892,392969,363773,0,0,1745107,515395,690575,556378.13,614624.09
Composite,2029-11-05,13.748207,324468,377802,0,0,1490203,427689,690575,554044.43,616001.42
Composite,2030-02-05,14.000262,323775,377880,0,0,1511471,428940,690575,551792.10,617344.02
Composite,2030-05-07,14.249577,350994,324181,0,0,1484938,467333,690575,550314.37,618625.30
Composite,2030-08-05,14.496152,358954,329069,0,0,1603012,480303,690575,549123.51,619849.15
Composite,2030-11-05,14.748207,295942,345385,0,0,1363723,397998,690575,546540.68,621057.90
Composite,2031-02-05,15.000262,306927,352818,0,0,1337870,414865,690575,544328.10,622226.03
Composite,2031-05-06,15.246837,328934,297003,0,0,1421428,446817,690575,542751.13,623331.39
Composite,2031-08-05,15.496152,320805,291099,0,0,1309034,437962,690575,541065.19,624413.27
Composite,2031-11-05,15.748207,248701,298334,0,0,1136833,341248,690575,537867.06,625472.22
Composite,2032-02-05,16.000000,244870,294443,0,0,1128819,337695,690575,534716.94,626496.75
Composite,2032-05-05,16.245902,251919,229216,0,0,1131546,349141,690575,531908.02,627466.66
Composite,2032-08-05,16.497268,251938,228468,0,0,1115775,350938,690575,529150.61,628428.24
Composite,2032-11-05,16.748634,180614,236476,0,0,863400,252863,690575,525004.05,629360.96
Composite,2033-02-07,17.005741,183391,239587,0,0,841804,258082,690575,520968.49,630286.45
Composite,2033-05-05,17.244098,189069,173541,0,0,782781,267349,690575,517462.84,631119.79
Composite,2033-08-05,17.496152,190408,174393,0,0,813971,270608,690575,513906.58,631976.33
Composite,2033-11-07,17.753687,121319,182640,0,0,606667,173312,690575,508965.93,632826.37
Composite,2034-02-06,18.003002,123213,184295,0,0,562645,176902,690575,504367.33,633626.11
Composite,2034-05-05,18.244098,129275,118634,0,0,525153,186505,690575,500166.77,634378.69
Composite,2034-08-07,18.501632,130469,119967,0,0,511107,189204,690575,495838.31,635160.93
Composite,2034-11-06,18.750947,64249,129372,0,0,289840,93641,690575,490490.64,635897.73
Composite,2035-02-05,19.000262,62697,128160,0,0,284902,91836,690575,485259.63,636615.19
Composite,2035-05-08,19.252317,63680,58724,0,0,250068,93750,690575,480133.92,637321.65
Composite,2035-08-06,19.498892,63768,58778,0,0,244149,94345,690575,475255.38,637995.07
Composite,2035-11-05,19.748207,7267,77050,0,0,49356,10805,690575,469391.84,638658.89
Composite,2036-02-05,20.000000,7269,77063,0,0,48409,10863,690575,463619.13,639312.50
Composite,2036-05-06,20.248634,0,0,0,0,0,0,690575,0.00,0.00
Composite,2036-08-05,20.497268,0,0,0,0,0,0,690575,0.00,0.00
Composite,2036-11-05,20.748634,0,0,0,0,0,0,690575,0.00,0.00
Composite,2037-02-05,21.000262,0,0,0,0,0,0,690575,0.00,0.00
Composite,2037-05-05,21.244098,0,0,0,0,0,0,690575,0.00,0.00
Composite,2037-08-05,21.496152,0,0,0,0,0,0,690575,0.00,0.00
Composite,2037-11-05,21.748207,0,0,0,0,0,0,690575,0.00,0.00
Composite,2038-02-05,22.000262,0,0,0,0,0,0,690575,0.00,0.00
