#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
FX_CALL_OPTION,2016-02-05,0.000000,215683,0,0,0,215683,215683,215683,215683.02,215683.02
FX_CALL_OPTION,2016-05-06,0.248634,215345,0,0,0,266280,216434,216434,216434.02,216434.02
FX_CALL_OPTION,2016-08-05,0.497268,214599,0,0,0,286093,216770,216770,216601.85,216601.85
FX_CALL_OPTION,2016-11-07,0.754098,215228,0,0,0,310050,218529,218529,217258.11,217258.11
FX_CALL_OPTION,2017-02-06,1.003002,215216,0,0,0,320072,219605,219605,217840.47,217840.47
FX_CALL_OPTION,2017-05-05,1.244098,215246,0,0,0,330217,220709,220709,218396.35,218396.35
FX_CALL_OPTION,2017-08-07,1.501632,215132,0,0,0,340312,221739,221739,218969.57,218969.57
FX_CALL_OPTION,2017-11-06,1.750947,215585,0,0,0,345247,223317,223317,219588.63,219588.63
FX_CALL_OPTION,2018-02-05,2.000262,214917,0,0,0,346931,223735,223735,220105.41,220105.41
FX_CALL_OPTION,2018-05-08,2.252317,215367,0,0,0,366750,225340,225340,220691.19,220691.19
FX_CALL_OPTION,2018-08-06,2.498892,215518,0,0,0,366962,226616,226616,221275.82,221275.82
FX_CALL_OPTION,2018-11-05,2.748207,215187,0,0,0,379958,227404,227404,221831.74,221831.74
FX_CALL_OPTION,2019-02-05,3.000262,214590,0,0,0,389354,227924,227924,222343.53,222343.53
FX_CALL_OPTION,2019-05-07,3.249577,214363,0,0,0,416473,228825,228825,222840.80,222840.80
FX_CALL_OPTION,2019-08-05,3.496152,214195,0,0,0,404985,229780,229780,223330.18,223330.18
FX_CALL_OPTION,2019-11-05,3.748207,213684,0,0,0,424204,230395,230395,223805.25,223805.25
FX_CALL_OPTION,2020-02-05,4.000000,214800,0,0,0,452465,232773,232773,224369.76,224369.76
FX_CALL_OPTION,2020-05-05,4.245902,214328,0,0,0,444778,233414,233414,224893.57,224893.57
FX_CALL_OPTION,2020-08-05,4.497268,214397,0,0,0,424411,234674,234674,225440.23,225440.23
FX_CALL_OPTION,2020-11-05,4.748634,215006,0,0,0,446640,236534,236534,226027.47,226027.47
FX_CALL_OPTION,2021-02-05,5.000262,214354,0,0,0,474188,237012,237012,226580.26,226580.26
FX_CALL_OPTION,2021-05-05,5.244098,214575,0,0,0,445447,238421,238421,227130.82,227130.82
FX_CALL_OPTION,2021-08-05,5.496152,214665,0,0,0,446947,239732,239732,227708.71,227708.71
FX_CALL_OPTION,2021-11-05,5.748207,215577,0,0,0,448201,241971,241971,228334.10,228334.10
FX_CALL_OPTION,2022-02-07,6.005741,215933,0,0,0,450338,243627,243627,228989.88,228989.88
FX_CALL_OPTION,2022-05-05,6.244098,215523,0,0,0,459889,244331,244331,229575.49,229575.49
FX_CALL_OPTION,2022-08-05,6.496152,215546,0,0,0,464624,245597,245597,230197.13,230197.13
FX_CALL_OPTION,2022-11-07,6.753687,215202,0,0,0,472964,246475,246475,230817.86,230817.86
FX_CALL_OPTION,2023-02-06,7.003002,215108,0,0,0,481192,247604,247604,231415.46,231415.46
FX_CALL_OPTION,2023-05-05,7.244098,215593,0,0,0,493528,249367,249367,232012.91,232012.91
FX_CALL_OPTION,2023-08-07,7.501632,216449,0,0,0,473145,251654,251654,232687.20,232687.20
FX_CALL_OPTION,2023-11-06,7.750947,217103,0,0,0,481637,253681,253681,233362.48,233362.48
FX_CALL_OPTION,2024-02-05,8.000000,217653,0,0,0,478563,255599,255599,234054.76,234054.76
FX_CALL_OPTION,2024-05-07,8.251366,218284,0,0,0,475488,257640,257640,234773.26,234773.26
FX_CALL_OPTION,2024-08-05,8.497268,218206,0,0,0,481353,258827,258827,235469.37,235469.37
FX_CALL_OPTION,2024-11-05,8.748634,218753,0,0,0,484220,260792,260792,236196.93,236196.93
FX_CALL_OPTION,2025-02-05,9.000262,219180,0,0,0,496901,262626,262626,236935.83,236935.83
FX_CALL_OPTION,2025-05-06,9.246837,219271,0,0,0,520028,264040,264040,237658.58,237658.58
FX_CALL_OPTION,2025-08-05,9.496152,219125,0,0,0,505141,265187,265187,238381.32,238381.32
FX_CALL_OPTION,2025-11-05,9.748207,219042,0,0,0,529053,266432,266432,239106.61,239106.61
