#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,201741.65,2010187.93,957216.47,-29505.98,1032544.09,-33831.02,1081428.08,-36738.86,0.00,-33753.00,0.00,0.00,0.00,0.00,0.00,201741.65,2010187.93,None,672.31,672.31
AverageOIS_USD,CPTY_A,26.97,2519.30,1243.95,-4.44,1256.00,-4.52,1263.21,-4.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1544.38,1544.38
BermSwp,CPTY_A,4447.85,56.45,23.91,-658.80,31.47,-745.88,37.06,-805.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52928.34,53013.46
CC_SWAP_EUR_USD,CPTY_A,148130.73,1972527.07,941381.46,-22083.49,1011478.81,-24840.78,1056586.37,-26647.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1899.48,1899.48
Composite,CPTY_A,43066.48,69859.32,32167.38,-6329.81,36787.56,-7222.00,39955.82,-7831.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,255934.93,266452.14
FXSwap,CPTY_A,5115.89,11197.95,5265.56,-774.69,5806.60,-857.91,6159.71,-912.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,29661.91,29661.91
FX_CALL_OPTION,CPTY_A,12337.00,0.00,0.00,-1909.75,0.00,-2068.85,0.00,-2171.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,217840.47,217840.47
OIS_EUR,CPTY_A,140.92,709.27,349.33,-23.37,354.69,-23.63,357.91,-23.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,14829.23,22629.10
Swap_EUR,CPTY_A,39370.10,71032.12,32729.85,-5788.19,37386.64,-6602.14,40578.22,-7158.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,223712.80,232211.51
Swap_USD,CPTY_A,57484.53,57970.72,26868.08,-8483.62,30383.15,-9639.83,32777.79,-10426.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,340336.16,340336.16
