#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,51737,0,0,0,51737,51737,51737,51737.41,51737.41
BermSwp,2016-05-06,0.248634,51737,0,0,0,73616,51999,51999,51999.02,51999.02
BermSwp,2016-08-05,0.497268,51737,0,0,0,80118,52261,52261,52129.82,52129.82
BermSwp,2016-11-07,0.754098,51737,0,0,0,88736,52531,52531,52266.42,52266.42
BermSwp,2017-02-06,1.003002,51739,0,0,0,90406,52794,52794,52397.30,52397.30
BermSwp,2017-05-05,1.244098,51738,0,0,0,94928,53051,53051,52524.07,52524.07
BermSwp,2017-08-07,1.501632,51742,0,0,0,101497,53331,53331,52662.54,52662.54
BermSwp,2017-11-06,1.750947,51745,0,0,0,103307,53601,53601,52796.10,52796.10
BermSwp,2018-02-05,2.000262,51759,0,0,0,110241,53882,53882,52931.47,52931.47
BermSwp,2018-05-08,2.252317,51777,0,0,0,115571,54175,54175,53070.58,53070.58
BermSwp,2018-08-06,2.498892,51737,0,0,0,112652,54402,54402,53201.94,53201.94
BermSwp,2018-11-05,2.748207,51737,0,0,0,117552,54675,54675,53335.54,53335.54
BermSwp,2019-02-05,3.000262,51737,0,0,0,122905,54952,54952,53471.35,53471.35
BermSwp,2019-05-07,3.249577,51737,0,0,0,124261,55228,55228,53606.11,53606.11
BermSwp,2019-08-05,3.496152,51746,0,0,0,126699,55511,55511,53740.44,53740.44
BermSwp,2019-11-05,3.748207,51737,0,0,0,130172,55783,55783,53877.83,53877.83
BermSwp,2020-02-05,4.000000,51742,0,0,0,132951,56072,56072,54015.93,54015.93
BermSwp,2020-05-05,4.245902,51743,0,0,0,133888,56351,56351,54151.14,54151.14
BermSwp,2020-08-05,4.497268,51757,0,0,0,142202,56652,56652,54290.94,54290.94
BermSwp,2020-11-05,4.748634,51747,0,0,0,145215,56929,56929,54430.58,54430.58
BermSwp,2021-02-05,5.000262,51737,0,0,0,145176,57206,57206,54570.27,54570.27
BermSwp,2021-05-05,5.244098,51739,0,0,0,149140,57489,57489,54706.00,54706.00
BermSwp,2021-08-05,5.496152,51740,0,0,0,150264,57782,57782,54847.04,54847.04
BermSwp,2021-11-05,5.748207,51739,0,0,0,150773,58074,58074,54988.53,54988.53
BermSwp,2022-02-07,6.005741,51742,0,0,0,152863,58379,58379,55133.90,55133.90
BermSwp,2022-05-05,6.244098,51740,0,0,0,153832,58656,58656,55268.35,55268.35
BermSwp,2022-08-05,6.496152,51748,0,0,0,159472,58963,58963,55411.69,55411.69
BermSwp,2022-11-07,6.753687,51752,0,0,0,161756,59273,59273,55558.94,55558.94
BermSwp,2023-02-06,7.003002,51757,0,0,0,169368,59576,59576,55701.94,55701.94
BermSwp,2023-05-05,7.244098,51773,0,0,0,172664,59883,59883,55841.10,55841.10
BermSwp,2023-08-07,7.501632,51779,0,0,0,176284,60200,60200,55990.76,55990.76
BermSwp,2023-11-06,7.750947,51800,0,0,0,182746,60527,60527,56136.69,56136.69
BermSwp,2024-02-05,8.000000,51817,0,0,0,181833,60852,60852,56283.47,56283.47
BermSwp,2024-05-07,8.251366,51820,0,0,0,183685,61163,61163,56432.11,56432.11
BermSwp,2024-08-05,8.497268,51806,0,0,0,186262,61450,61450,56577.32,56577.32
BermSwp,2024-11-05,8.748634,51840,0,0,0,190491,61803,61803,56727.46,56727.46
BermSwp,2025-02-05,9.000262,51840,0,0,0,194298,62116,62116,56878.11,56878.11
BermSwp,2025-05-06,9.246837,51819,0,0,0,197526,62398,62398,57025.32,57025.32
BermSwp,2025-08-05,9.496152,51811,0,0,0,198920,62702,62702,57174.37,57174.37
BermSwp,2025-11-05,9.748207,51818,0,0,0,201528,63029,63029,57325.74,57325.74
BermSwp,2026-02-05,10.000262,51828,0,0,0,208001,63361,63361,57477.87,57477.87
BermSwp,2026-05-05,10.244098,52056,0,0,0,219035,63952,63952,57631.96,57631.96
BermSwp,2026-08-05,10.496152,52067,0,0,0,219560,64290,64290,57791.86,57791.86
BermSwp,2026-11-05,10.748207,47111,58,0,0,194456,58465,64290,57807.65,57944.26
BermSwp,2027-02-05,11.000262,47088,61,0,0,195004,58734,64290,57828.87,58089.67
BermSwp,2027-05-05,11.244098,47553,59,0,0,197703,59605,64290,57867.38,58224.13
BermSwp,2027-08-05,11.496152,47656,95,0,0,200171,60036,64290,57914.93,58357.14
BermSwp,2027-11-05,11.748207,42282,228,0,0,180977,53536,64290,57820.99,58484.43
BermSwp,2028-02-07,12.005464,42360,416,0,0,178011,53913,64290,57737.25,58608.85
BermSwp,2028-05-05,12.245902,42801,289,0,0,176606,54738,64290,57678.37,58720.40
BermSwp,2028-08-07,12.502732,42923,425,0,0,177661,55179,64290,57627.04,58834.82
BermSwp,2028-11-06,12.751366,37485,760,0,0,158905,48430,64290,57447.71,58941.19
BermSwp,2029-02-05,13.000262,37570,824,0,0,161237,48784,64290,57281.83,59043.61
BermSwp,2029-05-08,13.252317,38207,630,0,0,155520,49862,64290,57140.71,59143.40
BermSwp,2029-08-06,13.498892,38330,765,0,0,154756,50272,64290,57015.24,59237.42
BermSwp,2029-11-05,13.748207,32587,1091,0,0,136377,42953,64290,56760.24,59329.05
BermSwp,2030-02-05,14.000262,32734,1188,0,0,137224,43366,64290,56519.10,59418.37
BermSwp,2030-05-07,14.249577,33340,860,0,0,136215,44391,64290,56306.91,59503.61
BermSwp,2030-08-05,14.496152,33260,941,0,0,142438,44504,64290,56106.14,59585.03
BermSwp,2030-11-05,14.748207,27351,1410,0,0,121513,36783,64290,55775.89,59665.45
BermSwp,2031-02-05,15.000262,27531,1603,0,0,119585,37213,64290,55463.98,59743.17
BermSwp,2031-05-06,15.246837,28081,1110,0,0,119288,38145,64290,55183.89,59816.71
BermSwp,2031-08-05,15.496152,28107,1283,0,0,119888,38372,64290,54913.40,59888.68
BermSwp,2031-11-05,15.748207,22225,1705,0,0,98746,30495,64290,54522.58,59959.13
BermSwp,2032-02-05,16.000000,22301,1794,0,0,99540,30755,64290,54148.55,60027.29
BermSwp,2032-05-05,16.245902,22756,1196,0,0,98068,31538,64290,53806.31,60091.82
BermSwp,2032-08-05,16.497268,22829,1299,0,0,98625,31800,64290,53471.01,60155.79
BermSwp,2032-11-05,16.748634,16830,1834,0,0,77569,23563,64290,53022.14,60217.85
BermSwp,2033-02-07,17.005741,16903,1922,0,0,75760,23787,64290,52580.14,60279.42
BermSwp,2033-05-05,17.244098,17263,1095,0,0,72272,24410,64290,52190.77,60334.86
BermSwp,2033-08-05,17.496152,17301,1155,0,0,74116,24588,64290,51793.11,60391.85
BermSwp,2033-11-07,17.753687,11318,1854,0,0,53915,16169,64290,51276.35,60448.40
BermSwp,2034-02-06,18.003002,11379,1941,0,0,52993,16337,64290,50792.48,60501.60
BermSwp,2034-05-05,18.244098,11618,919,0,0,48295,16761,64290,50342.75,60551.67
BermSwp,2034-08-07,18.501632,11649,972,0,0,47480,16893,64290,49877.14,60603.71
BermSwp,2034-11-06,18.750947,5836,1837,0,0,29640,8506,64290,49327.06,60652.73
BermSwp,2035-02-05,19.000262,5860,1877,0,0,29397,8583,64290,48792.43,60700.46
BermSwp,2035-05-08,19.252317,5862,551,0,0,24164,8630,64290,48266.62,60747.46
BermSwp,2035-08-06,19.498892,5848,575,0,0,23911,8653,64290,47765.68,60792.27
BermSwp,2035-11-05,19.748207,697,2192,0,0,5080,1036,64290,47175.73,60836.43
BermSwp,2036-02-05,20.000000,681,2206,0,0,4946,1017,64290,46594.61,60879.91
BermSwp,2036-05-06,20.248634,0,0,0,0,0,0,64290,0.00,0.00
BermSwp,2036-08-05,20.497268,0,0,0,0,0,0,64290,0.00,0.00
BermSwp,2036-11-05,20.748634,0,0,0,0,0,0,64290,0.00,0.00
BermSwp,2037-02-05,21.000262,0,0,0,0,0,0,64290,0.00,0.00
