#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,27420802.00,0.00,-27420801.29,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,1054.00,27421848.00,0.00,0.00,1059.33,1059.33,1059.33,1059.33
CPTY_A,2016-08-05,0.497268,35183.16,27186724.00,0.00,0.00,35538.98,35538.98,18299.15,18299.15
CPTY_A,2016-11-07,0.754098,74441.43,27379680.00,0.00,0.00,75583.11,75583.11,37808.91,37808.91
CPTY_A,2017-02-06,1.003002,33142.86,26244018.00,0.00,0.00,33818.75,75583.11,36818.71,47182.89
CPTY_A,2017-05-05,1.244098,69972.73,26030166.00,0.00,0.00,71748.61,75583.11,43587.84,52686.62
CPTY_A,2017-08-07,1.501632,147686.72,25047710.00,0.00,0.00,152222.06,152222.06,62218.93,69757.24
CPTY_A,2017-11-06,1.750947,160984.52,25178476.00,0.00,0.00,166758.77,166758.77,77104.22,83569.16
CPTY_A,2018-02-05,2.000262,143826.05,23830494.00,0.00,0.00,149726.87,166758.77,86156.00,93938.02
CPTY_A,2018-05-08,2.252317,298602.97,23745078.00,0.00,0.00,312429.87,312429.87,111478.11,118389.25
CPTY_A,2018-08-06,2.498892,439941.53,22880908.00,873953.02,0.00,462597.39,462597.39,146124.40,152353.59
CPTY_A,2018-11-05,2.748207,557872.38,23120554.00,2415062.42,0.00,589544.69,589544.69,186351.12,192015.21
CPTY_A,2019-02-05,3.000262,817468.13,22380232.00,4589923.26,0.00,868260.84,868260.84,243638.99,248827.23
CPTY_A,2019-05-07,3.249577,968012.25,22301466.00,6271713.77,0.00,1033317.91,1033317.91,304224.98,309015.17
CPTY_A,2019-08-05,3.496152,1174768.63,21613534.00,8125798.02,0.00,1260245.70,1260245.70,371650.86,376103.20
CPTY_A,2019-11-05,3.748207,1293306.00,21854244.00,9585109.16,0.00,1394446.26,1394446.26,440430.54,444583.48
CPTY_A,2020-02-05,4.000000,1548025.75,21204660.00,13596818.12,0.00,1677552.96,1677552.96,518305.17,522196.69
CPTY_A,2020-05-05,4.245902,1823963.13,21264580.00,14649801.20,0.00,1986387.05,1986387.05,603329.21,606995.36
CPTY_A,2020-08-05,4.497268,2092895.13,20739498.00,16363022.77,0.00,2290829.70,2290829.70,697648.80,701110.03
CPTY_A,2020-11-05,4.748634,2226259.75,20994882.00,17941964.38,0.00,2449168.62,2449168.62,790364.47,793642.48
CPTY_A,2021-02-05,5.000262,2538152.75,20507954.00,20464440.49,0.00,2806455.31,2806455.31,891820.18,894933.23
CPTY_A,2021-05-05,5.244098,2741162.00,20506290.00,22597749.07,0.00,3045796.92,3045796.92,991973.97,994942.27
CPTY_A,2021-08-05,5.496152,2934390.25,19985626.00,22403692.96,0.00,3277039.24,3277039.24,1096767.58,1099599.76
CPTY_A,2021-11-05,5.748207,3042131.25,20217180.00,21797960.74,0.00,3414595.42,3414595.42,1198402.68,1201110.67
CPTY_A,2022-02-07,6.005741,3432061.50,19874070.00,24201786.88,0.00,3872234.52,3872234.52,1313060.17,1315652.04
CPTY_A,2022-05-05,6.244098,3555780.25,19801828.00,25100653.12,0.00,4031062.91,4031062.91,1416814.59,1419307.52
CPTY_A,2022-08-05,6.496152,3826786.00,19421706.00,26203282.93,0.00,4360299.92,4360299.92,1531023.67,1533419.87
