#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,8238989.020262,8006975.878423,0.000000,11138628.005967,CPTY_A,0.248634
1,2016-08-05,14,6911179.700737,6535899.271236,0.000000,9854404.340633,CPTY_A,0.497268
2,2016-11-07,14,5652231.941288,5198123.579792,0.000000,7323524.646118,CPTY_A,0.754098
3,2017-02-06,15,5857187.690608,5239478.235973,0.000000,6640368.538235,CPTY_A,1.003002
4,2017-05-05,14,4942952.844824,4815231.190155,0.000000,5026181.254812,CPTY_A,1.244098
5,2017-08-07,14,4692212.603988,4471490.282624,0.000000,5111713.373489,CPTY_A,1.501632
6,2017-11-06,14,4793055.730641,4638572.602126,0.000000,4941262.349845,CPTY_A,1.750947
7,2018-02-05,15,4952322.974353,4776287.807881,0.000000,5775610.938974,CPTY_A,2.000262
8,2018-05-08,14,5211779.954164,5026853.068816,0.000000,6746361.257676,CPTY_A,2.252317
9,2018-08-06,14,4827437.719799,4572296.948510,0.000000,5593616.216551,CPTY_A,2.498892
10,2018-11-05,14,4707865.086415,4631041.748605,0.000000,5083519.470124,CPTY_A,2.748207
11,2019-02-05,14,4789068.022791,4752904.441954,0.000000,5148211.335220,CPTY_A,3.000262
12,2019-05-07,14,4794769.210378,4717876.832824,0.000000,4860200.464718,CPTY_A,3.249577
13,2019-08-05,14,4801957.303013,4688466.942468,0.000000,5007976.288070,CPTY_A,3.496152
14,2019-11-05,14,4693471.552392,4621916.432132,0.000000,5144256.050856,CPTY_A,3.748207
15,2020-02-05,14,4371459.834804,4273627.838044,0.000000,4491053.581028,CPTY_A,4.000000
16,2020-05-05,14,4434563.884928,4346585.754842,0.000000,4799112.285221,CPTY_A,4.245902
17,2020-08-05,14,4563456.564659,4488126.086328,0.000000,4891801.097156,CPTY_A,4.497268
18,2020-11-05,14,4563254.763082,4419546.552017,0.000000,5006330.975843,CPTY_A,4.748634
19,2021-02-05,14,4143522.600569,4003860.820394,0.000000,4526335.134864,CPTY_A,5.000262
20,2021-05-05,14,4141470.623106,4046865.688877,0.000000,4594183.583064,CPTY_A,5.244098
21,2021-08-05,14,4053446.898796,3894439.680766,0.000000,4569246.155983,CPTY_A,5.496152
22,2021-11-05,14,4038438.904320,3902085.861187,0.000000,4495875.400562,CPTY_A,5.748207
23,2022-02-07,15,4095087.910041,3889022.923187,0.000000,4670757.482346,CPTY_A,6.005741
24,2022-05-05,14,4069178.461646,3867447.112318,0.000000,4520430.319966,CPTY_A,6.244098
25,2022-08-05,14,3971241.188886,3763669.352616,0.000000,4145672.853188,CPTY_A,6.496152
26,2022-11-07,14,3902459.072204,3742476.047439,0.000000,4281031.226831,CPTY_A,6.753687
27,2023-02-06,15,3983974.250777,3776673.788616,0.000000,4360050.595329,CPTY_A,7.003002
