#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-61255752.507813,29652366.581431,0.000000,8006975.878423,8238989.020262,1514726.393114,11138628.005967
1,-53689859.582031,23242269.733470,0.000000,8006975.878423,8238989.020262,12915378.021553,11138628.005967
2,-49838118.531250,20039018.649177,0.000000,8006975.878423,8238989.020262,4982156.419105,11138628.005967
3,-49745081.691406,19962389.085491,0.000000,8006975.878423,8238989.020262,13350313.081899,11138628.005967
4,-48876408.996094,19248950.757895,0.000000,8006975.878423,8238989.020262,9481429.437807,11138628.005967
5,-47879655.792969,18435260.671247,0.000000,8006975.878423,8238989.020262,-10487445.961179,11138628.005967
6,-47013174.023438,17732745.595956,0.000000,8006975.878423,8238989.020262,11569136.295325,11138628.005967
7,-45485170.468750,16506655.677523,0.000000,8006975.878423,8238989.020262,4863064.993012,11138628.005967
8,-45462775.035156,16488820.708435,0.000000,8006975.878423,8238989.020262,3788994.454852,11138628.005967
9,-43694053.355469,15094788.156563,0.000000,8006975.878423,8238989.020262,5744040.778843,11138628.005967
10,-43363934.042969,14838134.529092,0.000000,8006975.878423,8238989.020262,813368.334809,11138628.005967
11,-43227405.261719,14732352.606541,0.000000,8006975.878423,8238989.020262,2805684.207013,11138628.005967
12,-41822403.054688,13657421.646777,0.000000,8006975.878423,8238989.020262,294918.687752,11138628.005967
13,-41595400.049805,13486318.161157,0.000000,8006975.878423,8238989.020262,11189510.171694,11138628.005967
14,-41336598.179688,13292212.729214,0.000000,8006975.878423,8238989.020262,1741187.354241,11138628.005967
15,-40653716.082031,12785321.713033,0.000000,8006975.878423,8238989.020262,-19685039.721193,11138628.005967
16,-40367709.785156,12575465.089578,0.000000,8006975.878423,8238989.020262,7722783.429468,11138628.005967
17,-40275077.265625,12507824.366586,0.000000,8006975.878423,8238989.020262,789157.108460,11138628.005967
18,-40066317.480469,12355996.186717,0.000000,8006975.878423,8238989.020262,5626241.002568,11138628.005967
19,-39968957.757568,12285483.175490,0.000000,8006975.878423,8238989.020262,-14776812.518509,11138628.005967
20,-39943402.945313,12267006.785318,0.000000,8006975.878423,8238989.020262,-2940011.086104,11138628.005967
21,-39799258.484375,12163039.995990,0.000000,8006975.878423,8238989.020262,1339122.967244,11138628.005967
22,-39723021.226563,12108227.514564,0.000000,8006975.878423,8238989.020262,4564284.979667,11138628.005967
23,-39721112.287109,12106856.614315,0.000000,8006975.878423,8238989.020262,-9005727.823791,11138628.005967
24,-39710494.410156,12099232.822891,0.000000,8006975.878423,8238989.020262,4361997.501771,11138628.005967
25,-39387879.261719,11868754.123055,0.000000,8006975.878423,8238989.020262,11087643.531730,11138628.005967
