#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,8187161.879957,7960993.842271,0.000000,11049379.189569,CPTY_A,0.248634
1,2016-08-05,14,6861899.477513,6496141.130508,0.000000,9765000.120273,CPTY_A,0.497268
2,2016-11-07,14,5624635.074612,5176439.687342,0.000000,7315606.684796,CPTY_A,0.754098
3,2017-02-06,15,5823547.558521,5227281.298777,0.000000,6481697.652634,CPTY_A,1.003002
4,2017-05-05,14,4922521.746043,4797793.000057,0.000000,5011668.469034,CPTY_A,1.244098
5,2017-08-07,14,4678096.803675,4460080.326732,0.000000,5118512.979814,CPTY_A,1.501632
6,2017-11-06,14,4773232.460719,4624572.046575,0.000000,4923444.952048,CPTY_A,1.750947
7,2018-02-05,15,4932518.366441,4761642.121851,0.000000,5710602.497349,CPTY_A,2.000262
8,2018-05-08,14,5188762.940609,5006824.137518,0.000000,6715688.577159,CPTY_A,2.252317
9,2018-08-06,14,4810754.790332,4560797.172161,0.000000,5563532.550290,CPTY_A,2.498892
10,2018-11-05,14,4694096.192435,4617929.720733,0.000000,5047234.970375,CPTY_A,2.748207
11,2019-02-05,14,4778406.474857,4742439.860757,0.000000,5138168.168920,CPTY_A,3.000262
12,2019-05-07,14,4786554.796109,4709835.591970,0.000000,4858941.181720,CPTY_A,3.249577
13,2019-08-05,14,4791869.798912,4679367.972828,0.000000,4947100.693397,CPTY_A,3.496152
14,2019-11-05,14,4685075.093704,4613680.486776,0.000000,5144369.269158,CPTY_A,3.748207
15,2020-02-05,14,4361558.800229,4264144.187036,0.000000,4483716.837855,CPTY_A,4.000000
16,2020-05-05,14,4428955.119855,4340653.786131,0.000000,4773702.658827,CPTY_A,4.245902
17,2020-08-05,14,4555103.061410,4479263.877709,0.000000,4889356.150488,CPTY_A,4.497268
18,2020-11-05,14,4554225.217625,4410478.260415,0.000000,5006234.419905,CPTY_A,4.748634
19,2021-02-05,14,4134712.879839,3995013.550327,0.000000,4526649.639017,CPTY_A,5.000262
20,2021-05-05,14,4133582.935007,4038438.926764,0.000000,4585135.688297,CPTY_A,5.244098
21,2021-08-05,14,4045811.785301,3886817.350365,0.000000,4556559.197295,CPTY_A,5.496152
22,2021-11-05,14,4031846.794049,3895286.390057,0.000000,4492911.742028,CPTY_A,5.748207
23,2022-02-07,15,4087874.742778,3882411.995999,0.000000,4670343.248380,CPTY_A,6.005741
24,2022-05-05,14,4063246.882757,3861642.343767,0.000000,4510599.604154,CPTY_A,6.244098
25,2022-08-05,14,3965697.732072,3758120.478051,0.000000,4113957.715725,CPTY_A,6.496152
26,2022-11-07,14,3898222.936952,3738065.000684,0.000000,4291806.656632,CPTY_A,6.753687
27,2023-02-06,15,3977756.238372,3771517.468369,0.000000,4368816.701131,CPTY_A,7.003002
28,2023-05-05,14,4077131.757899,3851636.111442,0.000000,4487015.308204,CPTY_A,7.244098
29,2023-08-07,14,3935332.891565,3706633.653869,0.000000,4414405.723905,CPTY_A,7.501632
30,2023-11-06,14,3976798.976952,3717113.187887,0.000000,4871767.177394,CPTY_A,7.750947
31,2024-02-05,15,3842041.287158,3600285.104332,0.000000,4308640.627983,CPTY_A,8.000000
32,2024-05-07,14,3958314.470563,3636884.196454,0.000000,4190290.745365,CPTY_A,8.251366
33,2024-08-05,14,3946152.525441,3604097.600898,0.000000,4707348.377692,CPTY_A,8.497268
34,2024-11-05,14,3823453.819994,3524542.137647,0.000000,4371869.825949,CPTY_A,8.748634
