#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-61266078.691406,29525215.929710,0.000000,7960993.842271,8187161.879957,1606101.620695,11049379.189569
1,-53562503.738281,23034327.018393,0.000000,7960993.842271,8187161.879957,12854947.963179,11049379.189569
2,-49691946.250000,19834411.904689,0.000000,7960993.842271,8187161.879957,4965080.974088,11049379.189569
3,-49685804.847656,19829383.051490,0.000000,7960993.842271,8187161.879957,13251899.826970,11049379.189569
4,-48859766.972656,19154667.452499,0.000000,7960993.842271,8187161.879957,9473190.132792,11049379.189569
5,-47843545.304688,18329562.389272,0.000000,7960993.842271,8187161.879957,-10439801.545371,11049379.189569
6,-46936984.367188,17598692.586951,0.000000,7960993.842271,8187161.879957,11505486.175253,11049379.189569
7,-45377202.156250,16354634.626334,0.000000,7960993.842271,8187161.879957,4797657.783028,11049379.189569
8,-45321828.941406,16310820.852845,0.000000,7960993.842271,8187161.879957,3702946.063956,11049379.189569
9,-43583819.296875,14950033.886962,0.000000,7960993.842271,8187161.879957,5731566.603684,11049379.189569
10,-43326942.433594,14751536.032265,0.000000,7960993.842271,8187161.879957,839302.369167,11049379.189569
11,-43064921.769531,14549843.951652,0.000000,7960993.842271,8187161.879957,2723192.487059,11049379.189569
12,-41810751.695313,13596447.419015,0.000000,7960993.842271,8187161.879957,318932.923301,11049379.189569
13,-41467234.787598,13339145.570132,0.000000,7960993.842271,8187161.879957,11002550.184542,11049379.189569
14,-41274915.386719,13195887.280132,0.000000,7960993.842271,8187161.879957,1718148.812415,11049379.189569
15,-40668262.160156,12747972.380917,0.000000,7960993.842271,8187161.879957,-19462054.809771,11049379.189569
16,-40394154.824219,12547695.986196,0.000000,7960993.842271,8187161.879957,7752957.670204,11049379.189569
17,-40244446.531250,12438899.147074,0.000000,7960993.842271,8187161.879957,784159.090905,11049379.189569
18,-40079048.058594,12319199.185702,0.000000,7960993.842271,8187161.879957,5627081.702189,11049379.189569
19,-39980306.581299,12247995.323685,0.000000,7960993.842271,8187161.879957,-14610641.660148,11049379.189569
20,-39860417.781250,12161804.958371,0.000000,7960993.842271,8187161.879957,-2906141.408750,11049379.189569
21,-39779812.796875,12104021.601029,0.000000,7960993.842271,8187161.879957,1375382.675049,11049379.189569
22,-39764155.925781,12092813.244071,0.000000,7960993.842271,8187161.879957,4339358.041640,11049379.189569
23,-39712193.650391,12055651.448677,0.000000,7960993.842271,8187161.879957,-8924154.848717,11049379.189569
24,-39686631.460938,12037390.971588,0.000000,7960993.842271,8187161.879957,4533008.702577,11049379.189569
25,-39390013.731567,11826526.393152,0.000000,7960993.842271,8187161.879957,11099220.169577,11049379.189569
26,-39208945.832031,11698762.577801,0.000000,7960993.842271,8187161.879957,-1294813.534378,11049379.189569
27,-39157172.718750,11662368.437414,0.000000,7960993.842271,8187161.879957,2332635.409349,11049379.189569
28,-39086303.335938,11612651.544906,0.000000,7960993.842271,8187161.879957,2700320.563951,11049379.189569
29,-39055324.992188,11590956.378148,0.000000,7960993.842271,8187161.879957,-4343979.623173,11049379.189569
30,-38650581.027344,11309634.952091,0.000000,7960993.842271,8187161.879957,-2662793.451809,11049379.189569
