#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,27419136.00,0.00,-27419136.44,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,949.20,27420102.00,0.00,0.00,954.00,954.00,954.00,954.00
CPTY_A,2016-08-05,0.497268,34566.51,27184430.00,0.00,0.00,34916.09,34916.09,17935.04,17935.04
CPTY_A,2016-11-07,0.754098,73538.45,27376998.00,0.00,0.00,74666.29,74666.29,37256.55,37256.55
CPTY_A,2017-02-06,1.003002,32702.02,26241530.00,0.00,0.00,33368.92,74666.29,36291.80,46540.09
CPTY_A,2017-05-05,1.244098,69431.19,26027408.00,0.00,0.00,71193.32,74666.29,43055.43,51990.72
CPTY_A,2017-08-07,1.501632,146444.03,25044500.00,0.00,0.00,150941.23,150941.23,61558.16,68961.02
CPTY_A,2017-11-06,1.750947,159740.64,25175696.00,0.00,0.00,165470.28,165470.28,76354.07,82702.85
CPTY_A,2018-02-05,2.000262,143931.58,23828894.00,0.00,0.00,149836.73,165470.28,85513.04,93019.08
CPTY_A,2018-05-08,2.252317,297037.06,23742030.00,0.00,0.00,310791.48,310791.48,110723.75,117389.80
CPTY_A,2018-08-06,2.498892,438417.91,22877704.00,851096.01,0.00,460995.31,460995.31,145286.40,151294.68
CPTY_A,2018-11-05,2.748207,556214.81,23117598.00,2399817.40,0.00,587793.02,587793.02,185430.23,190893.45
CPTY_A,2019-02-05,3.000262,816186.19,22378086.00,4567739.40,0.00,866899.30,866899.30,242681.08,247685.33
CPTY_A,2019-05-07,3.249577,966967.50,22299132.00,6258018.79,0.00,1032202.68,1032202.68,303255.00,307875.31
CPTY_A,2019-08-05,3.496152,1173794.50,21611642.00,8110691.90,0.00,1259200.80,1259200.80,370675.60,374970.05
CPTY_A,2019-11-05,3.748207,1292276.75,21852198.00,9529727.75,0.00,1393336.47,1393336.47,439446.23,443451.89
CPTY_A,2020-02-05,4.000000,1546865.13,21202254.00,13607310.69,0.00,1676295.30,1676295.30,517303.65,521057.16
CPTY_A,2020-05-05,4.245902,1823342.50,21262800.00,14691063.08,0.00,1985711.18,1985711.18,602346.56,605882.68
CPTY_A,2020-08-05,4.497268,2092801.50,20737886.00,16329458.45,0.00,2290727.18,2290727.18,696715.34,700053.82
CPTY_A,2020-11-05,4.748634,2224948.25,20992410.00,17991158.97,0.00,2447725.87,2447725.87,789404.05,792565.81
CPTY_A,2021-02-05,5.000262,2536884.75,20505752.00,20415693.71,0.00,2805053.27,2805053.27,890837.53,893840.19
CPTY_A,2021-05-05,5.244098,2740156.75,20504420.00,22544884.39,0.00,3044680.01,3044680.01,990985.08,993848.12
CPTY_A,2021-08-05,5.496152,2934455.50,19984796.00,22411145.90,0.00,3277111.97,3277111.97,1095827.38,1098559.11
CPTY_A,2021-11-05,5.748207,3041356.00,20215788.00,21745271.24,0.00,3413725.26,3413725.26,1197465.55,1200077.50
CPTY_A,2022-02-07,6.005741,3428746.75,19870548.00,24157374.51,0.00,3868494.65,3868494.65,1312002.86,1314502.81
CPTY_A,2022-05-05,6.244098,3551827.50,19797412.00,25075514.74,0.00,4026581.83,4026581.83,1415626.58,1418031.10
CPTY_A,2022-08-05,6.496152,3824043.25,19418134.00,26166089.54,0.00,4357174.88,4357174.88,1529760.50,1532071.72
CPTY_A,2022-11-07,6.753687,3867644.75,19582902.00,26631986.43,0.00,4429697.45,4429697.45,1640342.04,1642565.13
CPTY_A,2023-02-06,7.003002,4136778.25,19178780.00,28833254.84,0.00,4761714.77,4761714.77,1751466.57,1753610.52
CPTY_A,2023-05-05,7.244098,4350498.50,19203870.00,28851058.18,0.00,5032017.19,5032017.19,1860648.88,1862721.47
CPTY_A,2023-08-07,7.501632,4629919.00,18841402.00,31463875.90,0.00,5382968.06,5382968.06,1981571.61,1983573.04
CPTY_A,2023-11-06,7.750947,4692760.50,19025648.00,33509298.11,0.00,5483406.32,5483406.32,2094210.77,2096147.83
CPTY_A,2024-02-05,8.000000,4966286.00,18658824.00,34543054.08,0.00,5832132.54,5832132.54,2210578.38,2212455.14
CPTY_A,2024-05-07,8.251366,5138482.50,18651074.00,35488116.60,0.00,6064960.54,6064960.54,2327996.65,2329816.23
CPTY_A,2024-08-05,8.497268,5411191.00,18329992.00,37812968.88,0.00,6418529.84,6418529.84,2446372.20,2448139.13
CPTY_A,2024-11-05,8.748634,5482224.00,18522918.00,36918509.68,0.00,6535772.14,6535772.14,2563869.02,2565585.18
CPTY_A,2025-02-05,9.000262,5756728.50,18197436.00,38362640.40,0.00,6897842.47,6897842.47,2685037.66,2686705.84
CPTY_A,2025-05-06,9.246837,5931098.50,18196982.00,37825263.03,0.00,7142042.60,7142042.60,2803887.76,2805511.46
CPTY_A,2025-08-05,9.496152,6165233.50,17891162.00,40359707.91,0.00,7461231.53,7461231.53,2926163.18,2927744.24
CPTY_A,2025-11-05,9.748207,6212054.00,18056072.00,39522905.56,0.00,7556032.28,7556032.28,3045875.52,3047415.70
CPTY_A,2026-02-05,10.000262,946949.25,589895.94,3821314.09,0.00,1157664.89,7556032.28,2998283.51,3161054.57
CPTY_A,2026-05-05,10.244098,903223.38,599870.38,3754744.21,0.00,1109627.45,7556032.28,2953328.69,3265666.23
CPTY_A,2026-08-05,10.496152,878271.13,611882.75,3657788.04,0.00,1084446.57,7556032.28,2908449.32,3368695.16
CPTY_A,2026-11-05,10.748207,802602.44,623136.88,3391702.45,0.00,996041.76,7556032.28,2863601.70,3466891.85
CPTY_A,2027-02-05,11.000262,777579.13,634471.56,3288668.47,0.00,969882.64,7556032.28,2820209.92,3560588.48
CPTY_A,2027-05-05,11.244098,851800.38,546402.13,3350750.80,0.00,1067673.10,7556032.28,2782205.01,3647232.30
CPTY_A,2027-08-05,11.496152,822858.13,553503.81,3155966.25,0.00,1036628.05,7556032.28,2743932.98,3732933.30
CPTY_A,2027-11-05,11.748207,730239.25,581691.81,2927641.03,0.00,924614.43,7556032.28,2704899.97,3814956.91
CPTY_A,2028-02-07,12.005464,706281.31,593080.00,2960833.03,0.00,898914.73,7556032.28,2666200.69,3895121.98
CPTY_A,2028-05-05,12.245902,774664.00,503568.94,2982202.34,0.00,990731.83,7556032.28,2633304.38,3967000.63
CPTY_A,2028-08-07,12.502732,750573.25,515098.66,2898242.98,0.00,964897.24,7556032.28,2599032.03,4040726.37
CPTY_A,2028-11-06,12.751366,654558.81,538039.00,2687051.84,0.00,845688.17,7556032.28,2564844.26,4109269.94
CPTY_A,2029-02-05,13.000262,627937.44,546051.81,2635991.78,0.00,815364.03,7556032.28,2531349.68,4175259.76
