#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
FXSwap_Far,2016-02-05,0.000000,0,34274,0,0,0,0,0,0.00,0.00
FXSwap_Far,2016-05-06,0.248634,12253,46653,0,0,78858,12315,12315,12314.67,12314.67
FXSwap_Far,2016-08-05,0.497268,21820,55929,0,0,123083,22041,22041,17177.90,17177.90
FXSwap_Far,2016-11-07,0.754098,28932,62997,0,0,158623,29376,29376,21332.21,21332.21
FXSwap_Far,2017-02-06,1.003002,35105,68903,0,0,184048,35821,35821,24927.79,24927.79
FXSwap_Far,2017-05-05,1.244098,40127,73754,0,0,224593,41145,41145,28070.56,28070.56
FXSwap_Far,2017-08-07,1.501632,44704,78581,0,0,238024,46077,46077,31158.77,31158.77
FXSwap_Far,2017-11-06,1.750947,48122,82431,0,0,261528,49848,49848,33819.89,33819.89
FXSwap_Far,2018-02-05,2.000262,52766,86904,0,0,267936,54930,54930,36451.13,36451.13
FXSwap_Far,2018-05-08,2.252317,56527,90889,0,0,294000,59145,59145,38990.75,38990.75
FXSwap_Far,2018-08-06,2.498892,60316,94480,0,0,303387,63422,63422,41401.44,41401.44
FXSwap_Far,2018-11-05,2.748207,63390,97935,0,0,327632,66989,66989,43722.73,43722.73
FXSwap_Far,2019-02-05,3.000262,66540,101519,0,0,337762,70674,70674,45986.93,45986.93
FXSwap_Far,2019-05-07,3.249577,70436,104992,0,0,365439,75188,75188,48227.32,48227.32
FXSwap_Far,2019-08-05,3.496152,73720,108647,0,0,367632,79084,79084,50403.58,50403.58
FXSwap_Far,2019-11-05,3.748207,76461,111290,0,0,390174,82440,82440,52557.94,52557.94
FXSwap_Far,2020-02-05,4.000000,79360,113959,0,0,413147,86000,86000,54663.05,54663.05
FXSwap_Far,2020-05-05,4.245902,81933,116619,0,0,432953,89229,89229,56664.95,56664.95
FXSwap_Far,2020-08-05,4.497268,85259,119585,0,0,447046,93322,93322,58713.82,58713.82
FXSwap_Far,2020-11-05,4.748634,87935,122619,0,0,460544,96740,96740,60726.71,60726.71
FXSwap_Far,2021-02-05,5.000262,90805,125716,0,0,477951,100403,100403,62723.36,62723.36
FXSwap_Far,2021-05-05,5.244098,91533,126512,0,0,483446,101706,101706,64535.93,64535.93
FXSwap_Far,2021-08-05,5.496152,93374,128324,0,0,483197,104277,104277,66358.48,66358.48
FXSwap_Far,2021-11-05,5.748207,94896,130125,0,0,498947,106515,106515,68119.32,68119.32
FXSwap_Far,2022-02-07,6.005741,96135,131772,0,0,493820,108465,108465,69849.38,69849.38
FXSwap_Far,2022-05-05,6.244098,97556,132936,0,0,510408,110596,110596,71404.78,71404.78
FXSwap_Far,2022-08-05,6.496152,100125,135140,0,0,513806,114084,114084,73060.75,73060.75
FXSwap_Far,2022-11-07,6.753687,102026,137095,0,0,538297,116853,116853,74730.64,74730.64
FXSwap_Far,2023-02-06,7.003002,102580,137883,0,0,542299,118077,118077,76273.83,76273.83
FXSwap_Far,2023-05-05,7.244098,103450,139362,0,0,544033,119655,119655,77717.64,77717.64
FXSwap_Far,2023-08-07,7.501632,104838,140861,0,0,551953,121890,121890,79234.09,79234.09
FXSwap_Far,2023-11-06,7.750947,104604,141600,0,0,554144,122228,122228,80617.01,80617.01
FXSwap_Far,2024-02-05,8.000000,106317,142931,0,0,580546,124853,124853,81994.14,81994.14
FXSwap_Far,2024-05-07,8.251366,106944,144053,0,0,576365,126226,126226,83341.62,83341.62
FXSwap_Far,2024-08-05,8.497268,107934,144841,0,0,598929,128027,128027,84634.75,84634.75
FXSwap_Far,2024-11-05,8.748634,109977,146917,0,0,600690,131112,131112,85970.13,85970.13
FXSwap_Far,2025-02-05,9.000262,111153,148076,0,0,589778,133186,133186,87290.18,87290.18
FXSwap_Far,2025-05-06,9.246837,113641,150040,0,0,603767,136843,136843,88611.56,88611.56
FXSwap_Far,2025-08-05,9.496152,115123,151332,0,0,623188,139323,139323,89942.96,89942.96
FXSwap_Far,2025-11-05,9.748207,116744,152652,0,0,644651,142001,142001,91289.00,91289.00
FXSwap_Far,2026-02-05,10.000262,119578,154854,0,0,668768,146186,146186,92672.67,92672.67
FXSwap_Far,2026-05-05,10.244098,120341,156044,0,0,669944,147841,147841,93985.82,93985.82
FXSwap_Far,2026-08-05,10.496152,121596,157341,0,0,687619,150141,150141,95334.34,95334.34
FXSwap_Far,2026-11-05,10.748207,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2027-02-05,11.000262,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2027-05-05,11.244098,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2027-08-05,11.496152,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2027-11-05,11.748207,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2028-02-07,12.005464,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2028-05-05,12.245902,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2028-08-07,12.502732,0,0,0,0,0,0,150141,0.00,0.00
FXSwap_Far,2028-11-06,12.751366,0,0,0,0,0,0,150141,0.00,0.00
