#Portfolio,Sample,AsOfDate,Time,InitialMargin,Currency,SimmSide,Depth
CPTY_A,0,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,0,2016-05-06,0.248634,4137888.250000,,Call,0
CPTY_A,0,2016-08-05,0.497268,3936429.250000,,Call,0
CPTY_A,0,2016-11-07,0.754098,3889223.750000,,Call,0
CPTY_A,0,2017-02-06,1.003002,3884483.750000,,Call,0
CPTY_A,0,2017-05-05,1.244098,3716767.250000,,Call,0
CPTY_A,0,2017-08-07,1.501632,3897627.000000,,Call,0
CPTY_A,0,2017-11-06,1.750947,3794239.000000,,Call,0
CPTY_A,0,2018-02-05,2.000262,4130821.250000,,Call,0
CPTY_A,0,2018-05-08,2.252317,4172979.750000,,Call,0
CPTY_A,0,2018-08-06,2.498892,3818116.500000,,Call,0
CPTY_A,0,2018-11-05,2.748207,4167845.000000,,Call,0
CPTY_A,0,2019-02-05,3.000262,4466453.500000,,Call,0
CPTY_A,0,2019-05-07,3.249577,4131967.250000,,Call,0
CPTY_A,0,2019-08-05,3.496152,4527800.500000,,Call,0
CPTY_A,0,2019-11-05,3.748207,4367691.000000,,Call,0
CPTY_A,0,2020-02-05,4.000000,3677003.750000,,Call,0
CPTY_A,0,2020-05-05,4.245902,4116254.000000,,Call,0
CPTY_A,0,2020-08-05,4.497268,3695077.250000,,Call,0
CPTY_A,0,2020-11-05,4.748634,3281010.500000,,Call,0
CPTY_A,0,2021-02-05,5.000262,2916107.750000,,Call,0
CPTY_A,0,2021-05-05,5.244098,3599192.000000,,Call,0
CPTY_A,0,2021-08-05,5.496152,3366669.500000,,Call,0
CPTY_A,0,2021-11-05,5.748207,2870215.000000,,Call,0
CPTY_A,0,2022-02-07,6.005741,3680411.000000,,Call,0
CPTY_A,0,2022-05-05,6.244098,3234182.750000,,Call,0
CPTY_A,0,2022-08-05,6.496152,3005305.000000,,Call,0
CPTY_A,0,2022-11-07,6.753687,3573937.250000,,Call,0
CPTY_A,0,2023-02-06,7.003002,3615832.250000,,Call,0
CPTY_A,0,2023-05-05,7.244098,3106468.000000,,Call,0
CPTY_A,0,2023-08-07,7.501632,3457323.750000,,Call,0
CPTY_A,0,2023-11-06,7.750947,2869982.500000,,Call,0
CPTY_A,0,2024-02-05,8.000000,3215536.000000,,Call,0
CPTY_A,0,2024-05-07,8.251366,3451069.250000,,Call,0
CPTY_A,0,2024-08-05,8.497268,3032880.250000,,Call,0
CPTY_A,0,2024-11-05,8.748634,3694140.500000,,Call,0
CPTY_A,0,2025-02-05,9.000262,2776455.750000,,Call,0
CPTY_A,0,2025-05-06,9.246837,2915716.500000,,Call,0
CPTY_A,0,2025-08-05,9.496152,3197287.250000,,Call,0
CPTY_A,0,2025-11-05,9.748207,3028468.750000,,Call,0
CPTY_A,0,2026-02-05,10.000262,365070.031250,,Call,0
CPTY_A,0,2026-05-05,10.244098,354271.718750,,Call,0
CPTY_A,0,2026-08-05,10.496152,363877.906250,,Call,0
CPTY_A,0,2026-11-05,10.748207,337316.968750,,Call,0
CPTY_A,0,2027-02-05,11.000262,305516.500000,,Call,0
CPTY_A,0,2027-05-05,11.244098,299050.593750,,Call,0
