#NettingSet,TimeStep,Date,Bound,Count
CPTY_A,0,2016-05-06,1983603.344065,0
CPTY_A,0,2016-05-06,2078843.952240,0
CPTY_A,0,2016-05-06,2174084.560415,0
CPTY_A,0,2016-05-06,2269325.168591,0
CPTY_A,0,2016-05-06,2364565.776766,0
CPTY_A,0,2016-05-06,2459806.384941,0
CPTY_A,0,2016-05-06,2555046.993117,0
CPTY_A,0,2016-05-06,2650287.601292,0
CPTY_A,0,2016-05-06,2745528.209467,0
CPTY_A,0,2016-05-06,2840768.817643,0
CPTY_A,0,2016-05-06,2936009.425818,0
CPTY_A,0,2016-05-06,3031250.033993,0
CPTY_A,0,2016-05-06,3126490.642169,0
CPTY_A,0,2016-05-06,3221731.250344,0
CPTY_A,0,2016-05-06,3316971.858519,0
CPTY_A,0,2016-05-06,3412212.466695,0
CPTY_A,0,2016-05-06,3507453.074870,2
CPTY_A,0,2016-05-06,3602693.683045,7
CPTY_A,0,2016-05-06,3697934.291221,5
CPTY_A,0,2016-05-06,3793174.899396,12
CPTY_A,0,2016-05-06,3888415.507571,19
CPTY_A,0,2016-05-06,3983656.115747,18
CPTY_A,0,2016-05-06,4078896.723922,18
CPTY_A,0,2016-05-06,4174137.332097,21
CPTY_A,0,2016-05-06,4269377.940273,16
CPTY_A,0,2016-05-06,4364618.548448,16
CPTY_A,0,2016-05-06,4459859.156623,8
CPTY_A,0,2016-05-06,4555099.764799,9
CPTY_A,0,2016-05-06,4650340.372974,10
CPTY_A,0,2016-05-06,4745580.981149,4
CPTY_A,0,2016-05-06,4840821.589325,8
CPTY_A,0,2016-05-06,4936062.197500,6
CPTY_A,0,2016-05-06,5031302.805675,4
CPTY_A,0,2016-05-06,5126543.413851,4
CPTY_A,0,2016-05-06,5221784.022026,2
CPTY_A,0,2016-05-06,5317024.630201,4
CPTY_A,0,2016-05-06,5412265.238377,3
CPTY_A,0,2016-05-06,5507505.846552,0
CPTY_A,0,2016-05-06,5602746.454727,1
CPTY_A,0,2016-05-06,5697987.062903,2
CPTY_A,0,2016-05-06,5793227.671078,0
CPTY_A,0,2016-05-06,5888468.279253,0
CPTY_A,0,2016-05-06,5983708.887429,1
CPTY_A,0,2016-05-06,6078949.495604,0
CPTY_A,0,2016-05-06,6174190.103779,0
CPTY_A,0,2016-05-06,6269430.711955,0
CPTY_A,0,2016-05-06,6364671.320130,0
CPTY_A,0,2016-05-06,6459911.928305,0
CPTY_A,0,2016-05-06,6555152.536481,0
CPTY_A,0,2016-05-06,6650393.144656,0
CPTY_A,1,2016-08-05,1055785.761119,0
CPTY_A,1,2016-08-05,1169007.484373,1
CPTY_A,1,2016-08-05,1282229.207627,1
CPTY_A,1,2016-08-05,1395450.930881,0
CPTY_A,1,2016-08-05,1508672.654135,0
CPTY_A,1,2016-08-05,1621894.377389,1
CPTY_A,1,2016-08-05,1735116.100643,0
CPTY_A,1,2016-08-05,1848337.823897,0
CPTY_A,1,2016-08-05,1961559.547151,0
CPTY_A,1,2016-08-05,2074781.270405,1
CPTY_A,1,2016-08-05,2188002.993658,0
CPTY_A,1,2016-08-05,2301224.716912,0
CPTY_A,1,2016-08-05,2414446.440166,2
CPTY_A,1,2016-08-05,2527668.163420,0
CPTY_A,1,2016-08-05,2640889.886674,2
CPTY_A,1,2016-08-05,2754111.609928,2
CPTY_A,1,2016-08-05,2867333.333182,4
CPTY_A,1,2016-08-05,2980555.056436,3
CPTY_A,1,2016-08-05,3093776.779690,2
CPTY_A,1,2016-08-05,3206998.502944,3
CPTY_A,1,2016-08-05,3320220.226198,5
CPTY_A,1,2016-08-05,3433441.949452,11
CPTY_A,1,2016-08-05,3546663.672706,14
CPTY_A,1,2016-08-05,3659885.395960,18
CPTY_A,1,2016-08-05,3773107.119214,21
CPTY_A,1,2016-08-05,3886328.842468,15
CPTY_A,1,2016-08-05,3999550.565722,18
CPTY_A,1,2016-08-05,4112772.288976,13
CPTY_A,1,2016-08-05,4225994.012230,23
CPTY_A,1,2016-08-05,4339215.735484,16
CPTY_A,1,2016-08-05,4452437.458738,16
CPTY_A,1,2016-08-05,4565659.181992,4
CPTY_A,1,2016-08-05,4678880.905246,3
CPTY_A,1,2016-08-05,4792102.628500,1
CPTY_A,1,2016-08-05,4905324.351754,0
CPTY_A,1,2016-08-05,5018546.075008,0
CPTY_A,1,2016-08-05,5131767.798262,0
CPTY_A,1,2016-08-05,5244989.521516,0
CPTY_A,1,2016-08-05,5358211.244769,0
CPTY_A,1,2016-08-05,5471432.968023,0
CPTY_A,1,2016-08-05,5584654.691277,0
CPTY_A,1,2016-08-05,5697876.414531,0
CPTY_A,1,2016-08-05,5811098.137785,0
CPTY_A,1,2016-08-05,5924319.861039,0
CPTY_A,1,2016-08-05,6037541.584293,0
CPTY_A,1,2016-08-05,6150763.307547,0
CPTY_A,1,2016-08-05,6263985.030801,0
CPTY_A,1,2016-08-05,6377206.754055,0
CPTY_A,1,2016-08-05,6490428.477309,0
CPTY_A,1,2016-08-05,6603650.200563,0
CPTY_A,2,2016-11-07,567804.630916,0
CPTY_A,2,2016-11-07,702843.994368,0
CPTY_A,2,2016-11-07,837883.357821,0
CPTY_A,2,2016-11-07,972922.721273,0
CPTY_A,2,2016-11-07,1107962.084726,0
CPTY_A,2,2016-11-07,1243001.448179,0
CPTY_A,2,2016-11-07,1378040.811631,0
CPTY_A,2,2016-11-07,1513080.175084,0
CPTY_A,2,2016-11-07,1648119.538536,0
CPTY_A,2,2016-11-07,1783158.901989,0
CPTY_A,2,2016-11-07,1918198.265441,0
CPTY_A,2,2016-11-07,2053237.628894,0
CPTY_A,2,2016-11-07,2188276.992346,1
CPTY_A,2,2016-11-07,2323316.355799,0
CPTY_A,2,2016-11-07,2458355.719252,4
CPTY_A,2,2016-11-07,2593395.082704,1
CPTY_A,2,2016-11-07,2728434.446157,5
CPTY_A,2,2016-11-07,2863473.809609,4
CPTY_A,2,2016-11-07,2998513.173062,10
CPTY_A,2,2016-11-07,3133552.536514,9
CPTY_A,2,2016-11-07,3268591.899967,12
CPTY_A,2,2016-11-07,3403631.263420,14
CPTY_A,2,2016-11-07,3538670.626872,12
CPTY_A,2,2016-11-07,3673709.990325,14
CPTY_A,2,2016-11-07,3808749.353777,12
CPTY_A,2,2016-11-07,3943788.717230,20
CPTY_A,2,2016-11-07,4078828.080682,11
CPTY_A,2,2016-11-07,4213867.444135,15
CPTY_A,2,2016-11-07,4348906.807587,12
CPTY_A,2,2016-11-07,4483946.171040,10
CPTY_A,2,2016-11-07,4618985.534493,9
CPTY_A,2,2016-11-07,4754024.897945,7
CPTY_A,2,2016-11-07,4889064.261398,5
CPTY_A,2,2016-11-07,5024103.624850,6
CPTY_A,2,2016-11-07,5159142.988303,2
CPTY_A,2,2016-11-07,5294182.351755,4
CPTY_A,2,2016-11-07,5429221.715208,0
CPTY_A,2,2016-11-07,5564261.078661,1
CPTY_A,2,2016-11-07,5699300.442113,0
CPTY_A,2,2016-11-07,5834339.805566,0
CPTY_A,2,2016-11-07,5969379.169018,0
CPTY_A,2,2016-11-07,6104418.532471,0
CPTY_A,2,2016-11-07,6239457.895923,0
CPTY_A,2,2016-11-07,6374497.259376,0
CPTY_A,2,2016-11-07,6509536.622829,0
CPTY_A,2,2016-11-07,6644575.986281,0
CPTY_A,2,2016-11-07,6779615.349734,0
CPTY_A,2,2016-11-07,6914654.713186,0
CPTY_A,2,2016-11-07,7049694.076639,0
CPTY_A,2,2016-11-07,7184733.440091,0
CPTY_A,3,2017-02-06,932356.510948,0
CPTY_A,3,2017-02-06,1056384.740827,0
