#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,4292223.530471,4269377.940273,0.000000,4043089.805071,CPTY_A,0.248634
1,2016-08-05,14,3806969.341801,3773107.119214,0.000000,3692749.692469,CPTY_A,0.497268
2,2016-11-07,14,3857978.142648,3808749.353777,0.000000,3858306.470520,CPTY_A,0.754098
3,2017-02-06,15,3944144.034407,3909034.028041,0.000000,3614319.385651,CPTY_A,1.003002
4,2017-05-05,14,3813544.559027,3793481.782196,0.000000,3088334.306524,CPTY_A,1.244098
5,2017-08-07,14,3965057.475375,3909773.551524,0.000000,3806133.160263,CPTY_A,1.501632
6,2017-11-06,14,3938132.268052,3794802.505420,0.000000,3787962.324176,CPTY_A,1.750947
7,2018-02-05,15,4005519.370344,3986038.744376,0.000000,3838389.177805,CPTY_A,2.000262
8,2018-05-08,14,4177036.902471,4107696.082158,0.000000,4084481.695510,CPTY_A,2.252317
9,2018-08-06,14,4180697.983972,4090004.110824,0.000000,4636016.129553,CPTY_A,2.498892
10,2018-11-05,14,4119865.480061,4001959.764777,0.000000,4471373.590405,CPTY_A,2.748207
11,2019-02-05,14,4521070.665942,4399117.639298,0.000000,4593406.743905,CPTY_A,3.000262
12,2019-05-07,14,4562367.907710,4382649.264873,0.000000,5221273.910145,CPTY_A,3.249577
13,2019-08-05,14,4527757.786540,4475026.474904,0.000000,4407483.200959,CPTY_A,3.496152
14,2019-11-05,14,4512089.182980,4393199.030695,0.000000,5346983.557345,CPTY_A,3.748207
15,2020-02-05,14,3748407.679788,3577409.174182,0.000000,4207674.598149,CPTY_A,4.000000
16,2020-05-05,14,4571753.887394,4285307.456944,0.000000,5491140.212796,CPTY_A,4.245902
17,2020-08-05,14,3885352.866359,3869124.558576,0.000000,3573084.768015,CPTY_A,4.497268
18,2020-11-05,14,4209537.539431,4026396.333015,0.000000,4011780.351178,CPTY_A,4.748634
19,2021-02-05,14,3510353.474417,3386295.697069,0.000000,3278871.854195,CPTY_A,5.000262
20,2021-05-05,14,3665766.878958,3593779.311584,0.000000,3910750.674832,CPTY_A,5.244098
21,2021-08-05,14,3945541.684005,3775099.358954,0.000000,4199446.279156,CPTY_A,5.496152
22,2021-11-05,14,3473337.929840,3344332.718630,0.000000,3065752.955691,CPTY_A,5.748207
23,2022-02-07,15,3754036.453793,3602518.912405,0.000000,3908261.753014,CPTY_A,6.005741
24,2022-05-05,14,3832081.477595,3710660.314227,0.000000,3876440.422324,CPTY_A,6.244098
25,2022-08-05,14,3749654.750153,3626798.165323,0.000000,3261312.110802,CPTY_A,6.496152
26,2022-11-07,14,3795156.911589,3593479.878386,0.000000,3747075.064510,CPTY_A,6.753687
27,2023-02-06,15,3761674.726567,3573294.837220,0.000000,4244907.894010,CPTY_A,7.003002
28,2023-05-05,14,3795262.618014,3605280.380888,0.000000,4108688.642725,CPTY_A,7.244098
29,2023-08-07,14,3454347.016022,3312137.219888,0.000000,3500764.789072,CPTY_A,7.501632
30,2023-11-06,14,4158787.801700,3826202.573626,0.000000,4294668.188534,CPTY_A,7.750947
31,2024-02-05,15,3719666.063185,3524275.645901,0.000000,4520916.751361,CPTY_A,8.000000
32,2024-05-07,14,3665301.955516,3477199.382494,0.000000,3626121.864961,CPTY_A,8.251366
33,2024-08-05,14,3400110.178756,3178175.358326,0.000000,3778641.666131,CPTY_A,8.497268
