#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-39776842.269531,4072139.983445,0.000000,4269377.940273,4292223.530471,1184849.820994,4043089.805071
1,-38790414.703125,3990557.398017,0.000000,4269377.940273,4292223.530471,-1666584.361900,4043089.805071
2,-37817673.863281,3924083.773466,0.000000,4269377.940273,4292223.530471,645953.706736,4043089.805071
3,-35234253.795410,3819930.142335,0.000000,4269377.940273,4292223.530471,393593.996525,4043089.805071
4,-34851108.910156,3813833.516209,0.000000,4269377.940273,4292223.530471,-933699.684440,4043089.805071
5,-34762282.424805,3812772.216359,0.000000,4269377.940273,4292223.530471,-2728955.461214,4043089.805071
6,-34389688.570801,3809768.263157,0.000000,4269377.940273,4292223.530471,-445760.872998,4043089.805071
7,-33793432.869141,3809833.898678,0.000000,4269377.940273,4292223.530471,-3705782.456779,4043089.805071
8,-33723116.033203,3810237.129023,0.000000,4269377.940273,4292223.530471,1004841.446499,4043089.805071
9,-33719543.470703,3810259.841898,0.000000,4269377.940273,4292223.530471,-375973.698073,4043089.805071
10,-33557436.326782,3811516.849592,0.000000,4269377.940273,4292223.530471,-161436.749619,4043089.805071
11,-33314714.569336,3814226.466404,0.000000,4269377.940273,4292223.530471,-4252391.379733,4043089.805071
12,-33273263.667969,3814788.277943,0.000000,4269377.940273,4292223.530471,-2741929.775816,4043089.805071
13,-33194692.734375,3815932.423118,0.000000,4269377.940273,4292223.530471,1433952.299224,4043089.805071
14,-33153845.876953,3816568.185092,0.000000,4269377.940273,4292223.530471,-343864.398768,4043089.805071
15,-33059034.977539,3818151.760174,0.000000,4269377.940273,4292223.530471,1098925.998722,4043089.805071
16,-33026443.803711,3818730.916895,0.000000,4269377.940273,4292223.530471,-1537276.685230,4043089.805071
17,-32861239.244141,3821940.181461,0.000000,4269377.940273,4292223.530471,777773.080109,4043089.805071
18,-32860115.773438,3821963.568589,0.000000,4269377.940273,4292223.530471,-331249.250653,4043089.805071
19,-32751373.796875,3824326.988667,0.000000,4269377.940273,4292223.530471,-670632.817627,4043089.805071
20,-32732798.920898,3824750.430521,0.000000,4269377.940273,4292223.530471,508332.028191,4043089.805071
21,-32495729.088379,3830659.336395,0.000000,4269377.940273,4292223.530471,1244911.774324,4043089.805071
22,-32417881.044922,3832803.327960,0.000000,4269377.940273,4292223.530471,2376584.559164,4043089.805071
23,-32417051.419922,3832826.717460,0.000000,4269377.940273,4292223.530471,-886172.787023,4043089.805071
24,-32332093.044922,3835282.275494,0.000000,4269377.940273,4292223.530471,522004.483064,4043089.805071
25,-32229052.680786,3838420.597664,0.000000,4269377.940273,4292223.530471,2789330.301172,4043089.805071
26,-32179227.984375,3840000.964151,0.000000,4269377.940273,4292223.530471,345037.091034,4043089.805071
27,-32156448.390625,3840737.126642,0.000000,4269377.940273,4292223.530471,-1114740.918542,4043089.805071
28,-32146360.300781,3841065.871006,0.000000,4269377.940273,4292223.530471,-1089290.946100,4043089.805071
29,-31804454.703125,3853195.322431,0.000000,4269377.940273,4292223.530471,1311531.879124,4043089.805071
30,-31591521.724609,3861713.736968,0.000000,4269377.940273,4292223.530471,734876.918792,4043089.805071
31,-31504299.195313,3865415.412311,0.000000,4269377.940273,4292223.530471,150768.436787,4043089.805071
32,-31390279.318359,3870439.606730,0.000000,4269377.940273,4292223.530471,-1535008.640555,4043089.805071
33,-31345380.286133,3872475.493684,0.000000,4269377.940273,4292223.530471,1484399.661886,4043089.805071
34,-31304351.011719,3874364.230415,0.000000,4269377.940273,4292223.530471,3378495.282290,4043089.805071
35,-31030443.524414,3887663.146098,0.000000,4269377.940273,4292223.530471,1607533.449369,4043089.805071
36,-30870475.434570,3895981.767729,0.000000,4269377.940273,4292223.530471,-1988043.951477,4043089.805071
37,-30844209.535034,3897386.293119,0.000000,4269377.940273,4292223.530471,2493372.739825,4043089.805071
38,-30780486.397949,3900838.939939,0.000000,4269377.940273,4292223.530471,744205.730557,4043089.805071
39,-30776272.937500,3901069.484877,0.000000,4269377.940273,4292223.530471,-2774447.581810,4043089.805071
40,-30724408.941406,3903930.125633,0.000000,4269377.940273,4292223.530471,3839694.008106,4043089.805071
41,-30701894.125000,3905185.099556,0.000000,4269377.940273,4292223.530471,-961253.827100,4043089.805071
42,-30691547.975586,3905764.456216,0.000000,4269377.940273,4292223.530471,1473812.794734,4043089.805071
43,-30618440.528320,3909905.996019,0.000000,4269377.940273,4292223.530471,884387.039836,4043089.805071
44,-30578641.886719,3912195.673001,0.000000,4269377.940273,4292223.530471,73947.985319,4043089.805071
45,-30490228.516327,3917370.469375,0.000000,4269377.940273,4292223.530471,3796038.242775,4043089.805071
46,-30338116.612305,3926557.114268,0.000000,4269377.940273,4292223.530471,340194.552151,4043089.805071
