#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,27431876.00,0.00,-27431876.40,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,27292348.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,26894682.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,27039882.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,13335.77,26060594.00,0.00,0.00,13607.73,13607.73,3376.87,3376.87
CPTY_A,2017-05-05,1.244098,8551.86,25709178.00,0.00,0.00,8768.90,13607.73,4421.80,5359.53
CPTY_A,2017-08-07,1.501632,81267.09,24830986.00,0.00,0.00,83762.74,83762.74,18029.00,18805.91
CPTY_A,2017-11-06,1.750947,165468.42,25097606.00,0.00,0.00,171403.50,171403.50,39867.80,40534.08
CPTY_A,2018-02-05,2.000262,213121.72,23882938.00,0.00,0.00,221865.57,221865.57,62552.22,63135.46
CPTY_A,2018-05-08,2.252317,271594.19,23632610.00,0.00,0.00,284170.47,284170.47,87353.33,87871.29
CPTY_A,2018-08-06,2.498892,357507.59,22712668.00,1862323.88,0.00,375918.31,375918.31,115827.15,116294.00
CPTY_A,2018-11-05,2.748207,480277.53,23015110.00,364603.28,0.00,507544.51,507544.51,151363.42,151787.92
CPTY_A,2019-02-05,3.000262,724668.44,22187172.00,1847438.62,0.00,769695.18,769695.18,203310.05,203698.89
CPTY_A,2019-05-07,3.249577,1024224.75,22004016.00,8159250.14,0.00,1093322.71,1093322.71,271593.87,271952.88
CPTY_A,2019-08-05,3.496152,1403614.63,21377276.00,9417858.52,0.00,1505742.85,1505742.85,358635.48,358969.16
CPTY_A,2019-11-05,3.748207,1646648.75,21566288.00,9393371.48,0.00,1775421.46,1775421.46,453909.75,454220.99
CPTY_A,2020-02-05,4.000000,2549266.75,21191442.00,14837756.47,0.00,2762570.47,2762570.47,599235.78,599527.44
CPTY_A,2020-05-05,4.245902,2547787.75,21137064.00,18619672.67,0.00,2774668.13,2774668.13,725226.07,725500.84
CPTY_A,2020-08-05,4.497268,2836923.00,20730102.00,17035749.61,0.00,3105223.72,3105223.72,858251.46,858510.86
CPTY_A,2020-11-05,4.748634,2867431.75,21084422.00,18244667.30,0.00,3154539.34,3154539.34,979804.10,980049.77
CPTY_A,2021-02-05,5.000262,3073239.75,20472064.00,24008577.18,0.00,3398105.27,3398105.27,1101500.23,1101733.55
