#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,52289,0,0,0,52289,52289,52289,52289.34,52289.34
BermSwp,2016-05-06,0.248634,52214,0,0,0,70148,52478,52478,52478.14,52478.14
BermSwp,2016-08-05,0.497268,52642,0,0,0,78325,53174,53174,52826.07,52826.07
BermSwp,2016-11-07,0.754098,52175,0,0,0,85604,52976,53174,52876.99,52944.57
BermSwp,2017-02-06,1.003002,52039,0,0,0,84460,53100,53174,52932.45,53001.50
BermSwp,2017-05-05,1.244098,51973,0,0,0,92585,53292,53292,53002.14,53057.81
BermSwp,2017-08-07,1.501632,52081,0,0,0,100793,53680,53680,53118.39,53164.51
BermSwp,2017-11-06,1.750947,52434,0,0,0,105452,54315,54315,53288.81,53328.36
BermSwp,2018-02-05,2.000262,53000,0,0,0,116183,55175,55175,53523.87,53558.49
BermSwp,2018-05-08,2.252317,52604,0,0,0,114734,55040,55175,53693.50,53739.36
BermSwp,2018-08-06,2.498892,52098,0,0,0,108994,54780,55175,53800.75,53880.99
BermSwp,2018-11-05,2.748207,51864,0,0,0,117944,54809,55175,53892.20,53998.36
BermSwp,2019-02-05,3.000262,52181,0,0,0,121179,55423,55423,54020.81,54118.06
BermSwp,2019-05-07,3.249577,52104,0,0,0,133429,55619,55619,54143.46,54233.24
BermSwp,2019-08-05,3.496152,52252,0,0,0,137674,56053,56053,54278.17,54361.62
BermSwp,2019-11-05,3.748207,52342,0,0,0,137001,56436,56436,54423.26,54501.10
BermSwp,2020-02-05,4.000000,52822,0,0,0,142392,57242,57242,54600.71,54673.65
BermSwp,2020-05-05,4.245902,52966,0,0,0,151471,57683,57683,54779.21,54847.92
BermSwp,2020-08-05,4.497268,53084,0,0,0,150184,58105,58105,54965.07,55029.94
BermSwp,2020-11-05,4.748634,52728,0,0,0,152149,58008,58105,55126.14,55192.70
BermSwp,2021-02-05,5.000262,53536,0,0,0,161604,59195,59195,55330.89,55394.09
BermSwp,2021-05-05,5.244098,54422,0,0,0,169434,60470,60470,55569.83,55630.09
BermSwp,2021-08-05,5.496152,52792,0,0,0,158931,58956,60470,55725.12,55852.03
BermSwp,2021-11-05,5.748207,52254,0,0,0,155779,58652,60470,55853.44,56054.51
BermSwp,2022-02-07,6.005741,51825,0,0,0,159740,58472,60470,55965.74,56243.84
BermSwp,2022-05-05,6.244098,51843,0,0,0,172988,58773,60470,56072.89,56405.15
BermSwp,2022-08-05,6.496152,51498,0,0,0,159760,58677,60470,56173.94,56562.85
BermSwp,2022-11-07,6.753687,52175,0,0,0,167370,59758,60470,56310.59,56711.83
BermSwp,2023-02-06,7.003002,51058,0,0,0,169020,58771,60470,56398.19,56845.61
BermSwp,2023-05-05,7.244098,52328,0,0,0,184173,60525,60525,56535.54,56968.06
BermSwp,2023-08-07,7.501632,51836,0,0,0,193224,60267,60525,56663.65,57090.17
BermSwp,2023-11-06,7.750947,52078,0,0,0,192209,60852,60852,56798.38,57211.18
BermSwp,2024-02-05,8.000000,52137,0,0,0,204955,61227,61227,56936.26,57336.22
BermSwp,2024-05-07,8.251366,52144,0,0,0,182795,61546,61546,57076.69,57464.46
BermSwp,2024-08-05,8.497268,52931,0,0,0,206152,62785,62785,57241.89,57618.43
BermSwp,2024-11-05,8.748634,52326,0,0,0,192200,62381,62785,57389.55,57766.88
BermSwp,2025-02-05,9.000262,52808,0,0,0,196235,63276,63276,57554.12,57920.90
BermSwp,2025-05-06,9.246837,52960,0,0,0,191081,63773,63773,57719.95,58076.95
BermSwp,2025-08-05,9.496152,52677,0,0,0,198137,63750,63773,57878.27,58226.49
BermSwp,2025-11-05,9.748207,52066,0,0,0,213781,63331,63773,58019.26,58369.90
BermSwp,2026-02-05,10.000262,51810,0,0,0,212108,63339,63773,58153.34,58506.08
BermSwp,2026-05-05,10.244098,51783,0,0,0,230566,63616,63773,58283.36,58631.44
BermSwp,2026-08-05,10.496152,52040,0,0,0,226615,64257,64257,58426.81,58766.53
BermSwp,2026-11-05,10.748207,47448,0,0,0,205242,58884,64257,58437.53,58895.29
BermSwp,2027-02-05,11.000262,48205,0,0,0,195362,60126,64257,58476.23,59018.14
BermSwp,2027-05-05,11.244098,47861,13,0,0,188347,59990,64257,58509.06,59131.75
BermSwp,2027-08-05,11.496152,50197,30,0,0,206987,63238,64257,58612.74,59244.12
BermSwp,2027-11-05,11.748207,42973,36,0,0,181163,54411,64257,58522.59,59351.67
BermSwp,2028-02-07,12.005464,42665,182,0,0,178911,54301,64257,58432.13,59456.78
BermSwp,2028-05-05,12.245902,42411,2,0,0,178137,54240,64257,58349.83,59551.03
BermSwp,2028-08-07,12.502732,42789,98,0,0,176972,55007,64257,58281.16,59647.70
