#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
FX_CALL_OPTION,2016-02-05,0.000000,216065,0,0,0,216065,216065,216065,216064.75,216064.75
FX_CALL_OPTION,2016-05-06,0.248634,216537,0,0,0,266249,217632,217632,217631.58,217631.58
FX_CALL_OPTION,2016-08-05,0.497268,216340,0,0,0,285930,218528,218528,218079.68,218079.68
FX_CALL_OPTION,2016-11-07,0.754098,217572,0,0,0,311309,220909,220909,219043.15,219043.15
FX_CALL_OPTION,2017-02-06,1.003002,218261,0,0,0,318781,222712,222712,219953.56,219953.56
FX_CALL_OPTION,2017-05-05,1.244098,218734,0,0,0,327840,224286,224286,220793.09,220793.09
FX_CALL_OPTION,2017-08-07,1.501632,219028,0,0,0,338268,225754,225754,221643.92,221643.92
FX_CALL_OPTION,2017-11-06,1.750947,219871,0,0,0,354230,227757,227757,222514.40,222514.40
FX_CALL_OPTION,2018-02-05,2.000262,219795,0,0,0,357931,228812,228812,223299.36,223299.36
FX_CALL_OPTION,2018-05-08,2.252317,220254,0,0,0,370509,230453,230453,224099.91,224099.91
FX_CALL_OPTION,2018-08-06,2.498892,220846,0,0,0,373152,232219,232219,224901.03,224901.03
FX_CALL_OPTION,2018-11-05,2.748207,220600,0,0,0,382155,233124,233124,225647.03,225647.03
FX_CALL_OPTION,2019-02-05,3.000262,220328,0,0,0,394002,234018,234018,226350.29,226350.29
FX_CALL_OPTION,2019-05-07,3.249577,220171,0,0,0,408241,235025,235025,227015.81,227015.81
FX_CALL_OPTION,2019-08-05,3.496152,220463,0,0,0,404107,236504,236504,227684.97,227684.97
FX_CALL_OPTION,2019-11-05,3.748207,219903,0,0,0,426712,237100,237100,228318.10,228318.10
FX_CALL_OPTION,2020-02-05,4.000000,221115,0,0,0,446116,239616,239616,229029.28,229029.28
FX_CALL_OPTION,2020-05-05,4.245902,220450,0,0,0,443152,240081,240081,229669.35,229669.35
FX_CALL_OPTION,2020-08-05,4.497268,220998,0,0,0,439029,241898,241898,230352.86,230352.86
FX_CALL_OPTION,2020-11-05,4.748634,221641,0,0,0,449079,243834,243834,231066.46,231066.46
FX_CALL_OPTION,2021-02-05,5.000262,221398,0,0,0,454486,244801,244801,231757.62,231757.62
FX_CALL_OPTION,2021-05-05,5.244098,221072,0,0,0,443259,245641,245641,232403.15,232403.15
FX_CALL_OPTION,2021-08-05,5.496152,220714,0,0,0,457827,246487,246487,233049.02,233049.02
FX_CALL_OPTION,2021-11-05,5.748207,220761,0,0,0,451597,247789,247789,233695.38,233695.38
FX_CALL_OPTION,2022-02-07,6.005741,220379,0,0,0,458663,248643,248643,234336.35,234336.35
FX_CALL_OPTION,2022-05-05,6.244098,219208,0,0,0,455060,248508,248643,234877.32,234882.47
FX_CALL_OPTION,2022-08-05,6.496152,218048,0,0,0,453153,248448,248643,235403.86,235416.38
FX_CALL_OPTION,2022-11-07,6.753687,217566,0,0,0,454864,249184,249184,235929.32,235941.35
FX_CALL_OPTION,2023-02-06,7.003002,217623,0,0,0,459835,250499,250499,236448.00,236459.61
FX_CALL_OPTION,2023-05-05,7.244098,217508,0,0,0,473803,251582,251582,236951.67,236962.90
FX_CALL_OPTION,2023-08-07,7.501632,217812,0,0,0,468816,253239,253239,237510.81,237521.65
FX_CALL_OPTION,2023-11-06,7.750947,217464,0,0,0,472049,254103,254103,238044.50,238054.99
FX_CALL_OPTION,2024-02-05,8.000000,217767,0,0,0,477719,255734,255734,238595.21,238605.37
FX_CALL_OPTION,2024-05-07,8.251366,217923,0,0,0,477218,257215,257215,239162.43,239172.29
