#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,200295.95,1995856.72,950399.39,-29319.14,1025177.16,-33588.58,1073703.98,-36458.48,0.00,-34026.09,0.00,0.00,0.00,0.00,0.00,200295.95,1995856.72,None,3376.87,3376.87
AverageOIS_USD,CPTY_A,31.52,2502.75,1235.77,-5.19,1247.76,-5.29,1254.94,-5.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1746.59,1746.59
BermSwp,CPTY_A,4430.65,69.98,29.68,-656.43,38.98,-743.00,45.84,-802.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52932.45,53001.50
CC_SWAP_EUR_USD,CPTY_A,147284.39,1959992.21,935412.66,-21984.46,1005040.40,-24698.85,1049843.41,-26476.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,4574.05,4574.05
Composite,CPTY_A,43071.23,69794.53,32142.10,-6334.36,36749.68,-7222.80,39908.78,-7829.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,262369.29,272761.13
FXSwap,CPTY_A,5115.89,11197.95,5265.56,-774.69,5806.60,-857.91,6159.71,-912.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,29661.91,29661.91
FX_CALL_OPTION,CPTY_A,12499.65,0.00,0.00,-1935.85,0.00,-2096.13,0.00,-2199.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,219953.56,219953.56
OIS_EUR,CPTY_A,150.22,713.96,351.65,-24.91,357.02,-25.19,360.25,-25.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,15459.97,23505.90
Swap_EUR,CPTY_A,39515.25,71029.29,32730.88,-5811.18,37383.26,-6626.48,40571.69,-7183.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,230023.79,238392.55
Swap_USD,CPTY_A,57757.92,58170.33,26962.67,-8525.83,30486.09,-9685.67,32886.10,-10474.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,343607.11,343607.11
