#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,0.0000,#N/A,0.0000
CPTY_A,2022-05-02,0.2493,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-08-01,0.4986,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-10-31,0.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-01-31,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-05-02,1.2493,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-07-31,1.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-10-31,1.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2024-01-31,1.9998,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2024-04-30,2.2457,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2024-07-31,2.4970,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2024-10-31,2.7484,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2025-01-31,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2025-04-30,3.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2025-07-31,3.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2025-10-31,3.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2026-02-02,4.0055,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2026-04-30,4.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2026-07-31,4.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2026-11-02,4.7534,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2027-02-01,5.0027,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2027-04-30,5.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2027-08-02,5.5014,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2027-11-01,5.7507,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2028-01-31,5.9998,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2028-05-02,6.2511,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2028-07-31,6.4970,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2028-10-31,6.7484,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2029-01-31,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2029-04-30,7.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2029-07-31,7.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2029-10-31,7.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2030-01-31,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2030-04-30,8.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2030-07-31,8.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2030-10-31,8.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2031-01-31,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2031-04-30,9.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2031-07-31,9.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2031-10-31,9.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2032-02-02,10.0052,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2032-04-30,10.2457,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2032-08-02,10.5025,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2032-11-01,10.7511,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2033-01-31,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2033-05-02,11.2493,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2033-08-01,11.4986,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2033-10-31,11.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2034-01-31,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2034-05-02,12.2493,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2034-07-31,12.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2034-10-31,12.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2035-01-31,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2035-04-30,13.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2035-07-31,13.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2035-10-31,13.7479,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2036-01-31,13.9998,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2036-04-30,14.2457,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2036-07-31,14.4970,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2036-10-31,14.7484,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2037-02-02,15.0055,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2037-04-30,15.2438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2037-07-31,15.4959,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2037-11-02,15.7534,0.0000,0.0000,0.0000,0.0000,0.0000
