#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2022-01-31,0.000000,13632208.00,0.00,13632208.50,13632208.50,13632208.50,13632208.50,13632208.50,13632208.50
CPTY_A,2022-05-02,0.249315,13720537.00,0.00,14431663.00,0.00,13803765.66,13803765.66,13803765.66,13803765.66
CPTY_A,2022-08-01,0.498630,13797555.00,0.00,14837424.50,0.00,13989079.42,13989079.42,13896422.54,13896422.54
CPTY_A,2022-10-31,0.747945,13890354.00,0.00,15208422.00,0.00,14198660.67,14198660.67,13997168.59,13997168.59
CPTY_A,2023-01-31,1.000000,13976334.00,0.00,15513240.50,0.00,14394205.15,14394205.15,14097243.56,14097243.56
CPTY_A,2023-05-02,1.249315,14084019.00,0.00,15765053.00,0.00,14590696.10,14590696.10,14195717.64,14195717.64
CPTY_A,2023-07-31,1.495890,14168472.00,0.00,16047165.50,0.00,14776654.87,14776654.87,14291476.52,14291476.52
CPTY_A,2023-10-31,1.747945,14253751.00,0.00,16336710.50,0.00,14974502.07,14974502.07,14389969.23,14389969.23
CPTY_A,2024-01-31,1.999775,14338897.00,0.00,16522696.00,0.00,15176153.02,15176153.02,14488972.77,14488972.77
CPTY_A,2024-04-30,2.245677,14429246.00,0.00,16713420.50,0.00,15357747.69,15357747.69,14584103.63,14584103.63
CPTY_A,2024-07-31,2.497043,14522810.00,0.00,16952888.50,0.00,15545690.94,15545690.94,14680902.30,14680902.30
CPTY_A,2024-10-31,2.748409,14616850.00,0.00,17149213.00,0.00,15735793.49,15735793.49,14777381.35,14777381.35
CPTY_A,2025-01-31,3.000000,14711444.00,0.00,17370442.00,0.00,15928162.47,15928162.47,14873889.95,14873889.95
CPTY_A,2025-04-30,3.243836,14804816.00,0.00,17540644.00,0.00,16112969.37,16112969.37,14967030.21,14967030.21
CPTY_A,2025-07-31,3.495890,14901290.00,0.00,17761702.00,0.00,16305349.94,16305349.94,15063523.48,15063523.48
CPTY_A,2025-10-31,3.747945,14997407.00,0.00,17940006.00,0.00,16498943.84,16498943.84,15160057.60,15160057.60
CPTY_A,2026-02-02,4.005479,7648220.50,0.00,9212551.00,0.00,8460280.70,16498943.84,14729292.19,15246141.94
CPTY_A,2026-04-30,4.243836,6419245.00,0.00,7886006.00,0.00,7137474.93,16498943.84,14302895.74,15316505.89
CPTY_A,2026-07-31,4.495890,6458579.50,0.00,7953776.50,0.00,7220420.52,16498943.84,13905828.27,15382797.36
CPTY_A,2026-11-02,4.753425,6498621.00,0.00,8017085.50,0.00,7305717.81,16498943.84,13548243.03,15443268.69
CPTY_A,2027-02-01,5.002740,6537898.50,0.00,8094785.50,0.00,7389566.21,16498943.84,13241321.02,15495879.01
CPTY_A,2027-04-30,5.243836,5375148.00,0.00,6798875.50,0.00,6107148.44,16498943.84,12913313.09,15541996.93
CPTY_A,2027-08-02,5.501370,5409408.00,0.00,6870047.50,0.00,6180444.37,16498943.84,12598128.99,15586794.25
CPTY_A,2027-11-01,5.750685,5442438.00,0.00,6950832.50,0.00,6251842.71,16498943.84,12322992.24,15626339.56
CPTY_A,2028-01-31,5.999775,5475271.00,0.00,7022794.50,0.00,6323605.81,16498943.84,12073917.89,15662567.16
CPTY_A,2028-05-02,6.251142,4376840.00,0.00,5725447.50,0.00,5083077.75,16498943.84,11792807.57,15696198.90
CPTY_A,2028-07-31,6.497043,4402639.00,0.00,5779633.00,0.00,5140845.58,16498943.84,11541042.53,15726581.38
CPTY_A,2028-10-31,6.748409,4429368.00,0.00,5832412.50,0.00,5200810.14,16498943.84,11304880.27,15755350.49
CPTY_A,2029-01-31,7.000000,4456680.50,0.00,5894468.50,0.00,5261971.19,16498943.84,11087688.89,15782076.37
CPTY_A,2029-04-30,7.243836,3417587.25,0.00,4597149.50,0.00,4057725.05,16498943.84,10851052.44,15806206.93
CPTY_A,2029-07-31,7.495890,3438469.00,0.00,4640637.50,0.00,4106182.19,16498943.84,10624251.24,15829500.72
CPTY_A,2029-10-31,7.747945,3459530.75,0.00,4703235.00,0.00,4155281.13,16498943.84,10413803.84,15851278.92
CPTY_A,2030-01-31,8.000000,3479726.50,0.00,4738603.50,0.00,4203765.26,16498943.84,10218145.09,15871684.81
CPTY_A,2030-04-30,8.243836,2501732.75,0.00,3484375.75,0.00,3040071.23,16498943.84,10005832.51,15890237.83
CPTY_A,2030-07-31,8.495890,2516574.00,0.00,3525564.00,0.00,3076761.54,16498943.84,9800261.87,15908296.83
CPTY_A,2030-10-31,8.747945,2531120.25,0.00,3563191.50,0.00,3113423.93,16498943.84,9607593.82,15925315.16
CPTY_A,2031-01-31,9.000000,2546006.00,0.00,3596725.00,0.00,3150839.03,16498943.84,9426765.38,15941380.25
CPTY_A,2031-04-30,9.243836,1626810.63,0.00,2343242.50,0.00,2025399.12,16498943.84,9231530.76,15956087.77
CPTY_A,2031-07-31,9.495890,1636398.25,0.00,2365027.00,0.00,2050025.19,16498943.84,9040907.99,15970497.11
CPTY_A,2031-10-31,9.747945,1645992.75,0.00,2390220.00,0.00,2074888.02,16498943.84,8860786.06,15984161.27
CPTY_A,2032-02-02,10.005240,1655878.13,0.00,2407924.25,0.00,2100633.61,16498943.84,8686942.01,15997399.42
CPTY_A,2032-04-30,10.245677,793338.63,0.00,1181838.00,0.00,1012444.68,16498943.84,8506843.19,16009169.25
CPTY_A,2032-08-02,10.502508,798230.94,0.00,1193713.00,0.00,1025200.19,16498943.84,8323885.47,16021146.30
CPTY_A,2032-11-01,10.751142,802547.06,0.00,1203439.38,0.00,1037121.68,16498943.84,8155369.75,16032195.98
CPTY_A,2033-01-31,11.000000,807115.31,0.00,1221512.25,0.00,1049479.31,16498943.84,7994609.67,16042755.45
CPTY_A,2033-05-02,11.249315,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2033-08-01,11.498630,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2033-10-31,11.747945,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2034-01-31,12.000000,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2034-05-02,12.249315,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2034-07-31,12.495890,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2034-10-31,12.747945,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2035-01-31,13.000000,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2035-04-30,13.243836,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2035-07-31,13.495890,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2035-10-31,13.747945,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2036-01-31,13.999775,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2036-04-30,14.245677,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2036-07-31,14.497043,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2036-10-31,14.748409,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2037-02-02,15.005479,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2037-04-30,15.243836,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2037-07-31,15.495890,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2037-11-02,15.753425,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2038-02-01,16.002740,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2038-04-30,16.243836,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2038-08-02,16.501370,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2038-11-01,16.750685,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2039-01-31,17.000000,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2039-05-02,17.249315,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2039-08-01,17.498630,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2039-10-31,17.747945,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2040-01-31,17.999775,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2040-04-30,18.245677,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2040-07-31,18.497043,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2040-10-31,18.748409,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2041-01-31,19.000000,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2041-04-30,19.243836,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2041-07-31,19.495890,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2041-10-31,19.747945,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2042-01-31,20.000000,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
CPTY_A,2042-04-30,20.243836,0.00,0.00,0.00,0.00,0.00,16498943.84,0.00,0.00
