#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
FwdBond,ForwardBond,1,0,2026-02-03,Bond_Interest,400000.0000,EUR,0.0500000000,1.0000000000,2025-02-03,2026-02-03,0.0000,#N/A,#N/A,8000000.0000,0.8928084441,357123.3776218838,1.0000000000,357123.3776218838,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,2,0,2026-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8928084441,892808.4440547084,1.0000000000,892808.4440547084,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,3,0,2027-02-03,Bond_Interest,350000.0000,EUR,0.0500000000,1.0000000000,2026-02-03,2027-02-03,0.0000,#N/A,#N/A,7000000.0000,0.8456864157,295990.2454877593,1.0000000000,295990.2454877593,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,4,0,2027-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8456864157,845686.4156793114,1.0000000000,845686.4156793114,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,5,0,2028-02-03,Bond_Interest,299925.8927,EUR,0.0500000000,0.9997529755,2027-02-03,2028-02-03,0.0000,#N/A,#N/A,6000000.0000,0.8009686182,240231.2278059946,1.0000000000,240231.2278059946,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,6,0,2028-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8009686182,800968.6182080270,1.0000000000,800968.6182080270,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,7,0,2029-02-05,Bond_Interest,251431.6191,EUR,0.0500000000,1.0057264765,2028-02-03,2029-02-05,0.0000,#N/A,#N/A,5000000.0000,0.7581704558,190628.0252717341,1.0000000000,190628.0252717341,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,8,0,2029-02-05,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7581704558,758170.4557642342,1.0000000000,758170.4557642342,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,9,0,2030-02-04,Bond_Interest,199452.0548,EUR,0.0500000000,0.9972602740,2029-02-05,2030-02-04,0.0000,#N/A,#N/A,4000000.0000,0.7175049080,143107.8282201555,1.0000000000,143107.8282201555,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,10,0,2030-02-04,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7175049080,717504.9079719316,1.0000000000,717504.9079719316,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,11,0,2031-02-03,Bond_Interest,149589.0411,EUR,0.0500000000,0.9972602740,2030-02-04,2031-02-03,0.0000,#N/A,#N/A,3000000.0000,0.6786475882,101518.2419590741,1.0000000000,101518.2419590741,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,12,0,2031-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6786475882,678647.5881879482,1.0000000000,678647.5881879482,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,13,0,2032-02-03,Bond_Interest,99975.2976,EUR,0.0500000000,0.9997529755,2031-02-03,2032-02-03,0.0000,#N/A,#N/A,2000000.0000,0.6413308559,64117.2431497560,1.0000000000,64117.2431497560,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,14,0,2032-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6413308559,641330.8559173918,1.0000000000,641330.8559173918,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,15,0,2033-02-03,Bond_Interest,50012.3512,EUR,0.0500000000,1.0002470245,2032-02-03,2033-02-03,0.0000,#N/A,#N/A,1000000.0000,0.6061407087,30314.5220139769,1.0000000000,30314.5220139769,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,16,0,2033-02-03,Bond_Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6061407087,606140.7086874531,1.0000000000,606140.7086874531,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FwdBond,ForwardBond,1,1,2025-12-22,ForwardPayoff,7364288.7060,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9062353609,6673778.8331543077,1.0000000000,6673778.8331543077,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,1,0,2026-02-03,Interest,400000.0000,EUR,0.0500000000,1.0000000000,2025-02-03,2026-02-03,0.0000,#N/A,#N/A,8000000.0000,0.8224583049,328983.3219407804,1.0000000000,328983.3219407804,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,2,0,2026-02-03,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8224583049,822458.3048519503,1.0000000000,822458.3048519503,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,3,0,2027-02-03,Interest,350000.0000,EUR,0.0500000000,1.0000000000,2026-02-03,2027-02-03,0.0000,#N/A,#N/A,7000000.0000,0.7857052002,274996.8200554826,1.0000000000,274996.8200554826,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,4,0,2027-02-03,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7857052002,785705.2001585208,1.0000000000,785705.2001585208,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,5,0,2028-02-03,Interest,299925.8927,EUR,0.0500000000,0.9997529755,2027-02-03,2028-02-03,0.0000,#N/A,#N/A,6000000.0000,0.7505168474,225099.4354048205,1.0000000000,225099.4354048205,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,6,0,2028-02-03,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7505168474,750516.8473817670,1.0000000000,750516.8473817670,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,7,0,2029-02-05,Interest,251431.6191,EUR,0.0500000000,1.0057264765,2028-02-03,2029-02-05,0.0000,#N/A,#N/A,5000000.0000,0.7165340625,180159.3194871418,1.0000000000,180159.3194871418,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,8,0,2029-02-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7165340625,716534.0624550555,1.0000000000,716534.0624550555,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,9,0,2030-02-04,Interest,199452.0548,EUR,0.0500000000,0.9972602740,2029-02-05,2030-02-04,0.0000,#N/A,#N/A,4000000.0000,0.6838792225,136401.1161495647,1.0000000000,136401.1161495647,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,10,0,2030-02-04,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6838792225,683879.2224531735,1.0000000000,683879.2224531735,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,11,0,2031-02-03,Interest,149589.0411,EUR,0.0500000000,0.9972602740,2030-02-04,2031-02-03,0.0000,#N/A,#N/A,3000000.0000,0.6523540944,97585.0234385573,1.0000000000,97585.0234385573,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,12,0,2031-02-03,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523540944,652354.0944152626,1.0000000000,652354.0944152626,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,13,0,2032-02-03,Interest,99975.2976,EUR,0.0500000000,0.9997529755,2031-02-03,2032-02-03,0.0000,#N/A,#N/A,2000000.0000,0.6217501370,62159.6549489499,1.0000000000,62159.6549489499,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,14,0,2032-02-03,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6217501370,621750.1369924621,1.0000000000,621750.1369924621,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NoFwdContract,Bond,15,0,2033-02-03,Interest,50012.3512,EUR,0.0500000000,1.0002470245,2032-02-03,2033-02-03,0.0000,#N/A,#N/A,1000000.0000,0.5926687123,29640.7557965602,1.0000000000,29640.7557965602,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
