#TradeId,ResultId,ResultType,ResultValue
CallableBondCertainCall,PricingConfigEngine,string,Grid
CallableBondCertainCall,PricingConfigModel,string,LGM
CallableBondCertainCall,PricingConfigProductType,string,CallableBond
CallableBondCertainCall,isdaAssetClass,string,Credit
CallableBondCertainCall,isdaBaseProduct,string,
CallableBondCertainCall,isdaSubProduct,string,
CallableBondCertainCall,isdaTransaction,string,
CallableBondCertainCall,callPutValue,double,0.498979019055
CallableBondCertainCall,cashFlowResults[0],cashflows,0.025000000000  @ 2016-02-25
CallableBondCertainCall,cashFlowResults[1],cashflows,0.025000000000  @ 2017-02-27
CallableBondCertainCall,cashFlowResults[2],cashflows,0.025000000000  @ 2018-02-26
CallableBondCertainCall,cashFlowResults[3],cashflows,0.025000000000  @ 2019-02-25
CallableBondCertainCall,cashFlowResults[4],cashflows,0.025000000000  @ 2020-02-25
CallableBondCertainCall,cashFlowResults[5],cashflows,0.025000000000  @ 2021-02-25
CallableBondCertainCall,cashFlowResults[6],cashflows,0.025000000000  @ 2022-02-25
CallableBondCertainCall,cashFlowResults[7],cashflows,0.025000000000  @ 2023-02-27
CallableBondCertainCall,cashFlowResults[8],cashflows,0.025000000000  @ 2024-02-26
CallableBondCertainCall,cashFlowResults[9],cashflows,1.000000000000  @ 2024-02-26
CallableBondCertainCall,event_0000!,string,|time        |date        |notional    |accrual     |flow        |call        |put         |refDsc      |survProb    |secSprdDsc  |effDsc      |
CallableBondCertainCall,event_00000,string,|0           |2016-02-05  |1           |0.0236301   |            |            |            |1           |1           |1           |1           |
CallableBondCertainCall,event_00001,string,|0.0547945   |2016-02-25  |1           |0           |0.025       |            |            |1.00002     |0.999452    |1           |0.999696    |
CallableBondCertainCall,event_00002,string,|1.06301     |2017-02-27  |1           |0           |0.025       |            |            |1.00166     |0.989426    |1           |0.995287    |
CallableBondCertainCall,event_00003,string,|2.06027     |2018-02-26  |1           |0           |0.025       |            |            |1.00367     |0.979608    |1           |0.99134     |
CallableBondCertainCall,event_00004,string,|3.05753     |2019-02-25  |1           |0           |0.025       |            |            |1.00439     |0.969887    |1           |0.986132    |
CallableBondCertainCall,event_00005,string,|4.05753     |2020-02-25  |1           |0           |0.025       |            |            |1.00301     |0.960237    |1           |0.978883    |
CallableBondCertainCall,event_00006,string,|4.72329     |2020-10-25  |1           |0.0165984   |            |@5          |            |1.00058     |0.953865    |1           |0.972623    |
CallableBondCertainCall,event_00007,string,|5.06027     |2021-02-25  |1           |0           |0.025       |@5          |            |0.99924     |0.950656    |1           |0.969357    |
CallableBondCertainCall,event_00008,string,|5.72329     |2021-10-25  |1           |0.0165753   |            |@0.5        |            |0.995084    |0.944374    |1           |0.961493    |
CallableBondCertainCall,event_00009,string,|6.06027     |2022-02-25  |1           |0           |0.025       |@0.5        |            |0.992866    |0.941197    |1           |0.957412    |
CallableBondCertainCall,event_00010,string,|6.72329     |2022-10-25  |1           |0.016485    |            |@5          |            |0.987045    |0.934977    |1           |0.94802     |
CallableBondCertainCall,event_00011,string,|7.06575     |2023-02-27  |1           |0           |0.025       |            |            |0.983839    |0.931781    |1           |0.943002    |
CallableBondCertainCall,event_00012,string,|8.06301     |2024-02-26  |1           |0           |1.025       |            |            |0.970973    |0.922535    |1           |0.925117    |
CallableBondCertainCall,instMultiplier,double,100000000.000000000000
CallableBondCertainCall,lgmCalibrationBasketAnnuities[0],double,7.821355003233
CallableBondCertainCall,lgmCalibrationBasketAnnuities[1],double,7.570522682766
CallableBondCertainCall,lgmCalibrationBasketAnnuities[2],double,7.319745857930
CallableBondCertainCall,lgmCalibrationBasketAnnuities[3],double,7.071944237847
CallableBondCertainCall,lgmCalibrationBasketAnnuities[4],double,6.817137942285
CallableBondCertainCall,lgmCalibrationBasketAnnuities[5],double,6.565435515299
CallableBondCertainCall,lgmCalibrationBasketAnnuities[6],double,6.316544941445
CallableBondCertainCall,lgmCalibrationBasketAnnuities[7],double,6.067666191197
CallableBondCertainCall,lgmCalibrationBasketAnnuities[8],double,5.809452490612
CallableBondCertainCall,lgmCalibrationBasketAnnuities[9],double,5.559956018838
CallableBondCertainCall,lgmCalibrationBasketAnnuities[10],double,5.310471029845
CallableBondCertainCall,lgmCalibrationBasketAnnuities[11],double,5.058177855411
CallableBondCertainCall,lgmCalibrationBasketAnnuities[12],double,4.802580670278
CallableBondCertainCall,lgmCalibrationBasketAnnuities[13],double,4.552920582469
CallableBondCertainCall,lgmCalibrationBasketAnnuities[14],double,4.300472512755
CallableBondCertainCall,lgmCalibrationBasketAnnuities[15],double,4.048015453527
CallableBondCertainCall,lgmCalibrationBasketAnnuities[16],double,3.795499004682
CallableBondCertainCall,lgmCalibrationBasketAnnuities[17],double,3.543353824032
CallableBondCertainCall,lgmCalibrationBasketAnnuities[18],double,3.285595733037
CallableBondCertainCall,lgmCalibrationBasketAnnuities[19],double,3.033461224445
CallableBondCertainCall,lgmCalibrationBasketAnnuities[20],double,2.787714438422
CallableBondCertainCall,lgmCalibrationBasketAnnuities[21],double,2.531212027927
CallableBondCertainCall,lgmCalibrationBasketAnnuities[22],double,2.280292457481
CallableBondCertainCall,lgmCalibrationBasketAnnuities[23],double,2.029382994820
CallableBondCertainCall,lgmCalibrationBasketAnnuities[24],double,1.779935751033
CallableBondCertainCall,lgmCalibrationBasketAnnuities[25],double,1.530945810591
CallableBondCertainCall,lgmCalibrationBasketAnnuities[26],double,1.281962246962
CallableBondCertainCall,lgmCalibrationBasketAnnuities[27],double,1.035750818186
CallableBondCertainCall,lgmCalibrationBasketAnnuities[28],double,0.785972904500
CallableBondCertainCall,lgmCalibrationBasketAnnuities[29],double,0.539500565110
CallableBondCertainCall,lgmCalibrationBasketAnnuities[30],double,0.295766807268
CallableBondCertainCall,lgmCalibrationBasketAnnuities[31],double,0.082130181928
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[0],double,0.005262056138
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[1],double,0.005428508806
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[2],double,0.005638281285
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[3],double,0.005861141938
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[4],double,0.006105257029
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[5],double,0.006366915797
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[6],double,0.006645162050
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[7],double,0.006947307305
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[8],double,0.007236853553
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[9],double,0.007541437063
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[10],double,0.007873441721
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[11],double,0.008243693070
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[12],double,0.008532627944
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[13],double,0.008835722037
CallableBondCertainCall,lgmCalibrationBasketAtmForwards[14],double,0.009176684405
