#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
CallableBondCertainCall,CallableBond,5,0,2016-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2015-02-25,2016-02-25,2363013.6986,#N/A,#N/A,100000000.0000,1.0000715733,2500178.9332060646,1.0000000000,2500178.9332060646,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,6,0,2017-02-27,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2016-02-25,2017-02-27,0.0000,#N/A,#N/A,100000000.0000,1.0034105541,2508526.3852510871,1.0000000000,2508526.3852510871,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,7,0,2018-02-26,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2017-02-27,2018-02-26,0.0000,#N/A,#N/A,100000000.0000,1.0072122355,2518030.5888668587,1.0000000000,2518030.5888668587,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,8,0,2019-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2018-02-26,2019-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0095444102,2523861.0253997510,1.0000000000,2523861.0253997510,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,9,0,2020-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2019-02-25,2020-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0101221060,2525305.2651016326,1.0000000000,2525305.2651016326,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,10,0,2021-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2020-02-25,2021-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0087333399,2521833.3496822412,1.0000000000,2521833.3496822412,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,11,0,2022-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2021-02-25,2022-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0037478131,2509369.5328259845,1.0000000000,2509369.5328259845,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,12,0,2023-02-27,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2022-02-25,2023-02-27,0.0000,#N/A,#N/A,100000000.0000,0.9959101476,2489775.3689470771,1.0000000000,2489775.3689470771,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,13,0,2024-02-26,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2023-02-27,2024-02-26,0.0000,#N/A,#N/A,100000000.0000,0.9858893576,2464723.3939029472,1.0000000000,2464723.3939029472,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondCertainCall,CallableBond,14,0,2024-02-26,Notional,100000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9858893576,98588935.7561182529,1.0000000000,98588935.7561182529,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,5,0,2016-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2015-02-25,2016-02-25,2363013.6986,#N/A,#N/A,100000000.0000,1.0000715733,2500178.9332060646,1.0000000000,2500178.9332060646,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,6,0,2017-02-27,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2016-02-25,2017-02-27,0.0000,#N/A,#N/A,100000000.0000,1.0034105541,2508526.3852510871,1.0000000000,2508526.3852510871,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,7,0,2018-02-26,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2017-02-27,2018-02-26,0.0000,#N/A,#N/A,100000000.0000,1.0072122355,2518030.5888668587,1.0000000000,2518030.5888668587,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,8,0,2019-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2018-02-26,2019-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0095444102,2523861.0253997510,1.0000000000,2523861.0253997510,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,9,0,2020-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2019-02-25,2020-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0101221060,2525305.2651016326,1.0000000000,2525305.2651016326,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,10,0,2021-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2020-02-25,2021-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0087333399,2521833.3496822412,1.0000000000,2521833.3496822412,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,11,0,2022-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2021-02-25,2022-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0037478131,2509369.5328259845,1.0000000000,2509369.5328259845,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,12,0,2023-02-27,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2022-02-25,2023-02-27,0.0000,#N/A,#N/A,100000000.0000,0.9959101476,2489775.3689470771,1.0000000000,2489775.3689470771,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,13,0,2024-02-26,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2023-02-27,2024-02-26,0.0000,#N/A,#N/A,100000000.0000,0.9858893576,2464723.3939029472,1.0000000000,2464723.3939029472,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondNoCall,CallableBond,14,0,2024-02-26,Notional,100000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9858893576,98588935.7561182529,1.0000000000,98588935.7561182529,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,5,0,2016-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2015-02-25,2016-02-25,2363013.6986,#N/A,#N/A,100000000.0000,1.0000715733,2500178.9332060646,1.0000000000,2500178.9332060646,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,6,0,2017-02-27,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2016-02-25,2017-02-27,0.0000,#N/A,#N/A,100000000.0000,1.0034105541,2508526.3852510871,1.0000000000,2508526.3852510871,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,7,0,2018-02-26,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2017-02-27,2018-02-26,0.0000,#N/A,#N/A,100000000.0000,1.0072122355,2518030.5888668587,1.0000000000,2518030.5888668587,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,8,0,2019-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2018-02-26,2019-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0095444102,2523861.0253997510,1.0000000000,2523861.0253997510,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,9,0,2020-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2019-02-25,2020-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0101221060,2525305.2651016326,1.0000000000,2525305.2651016326,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CallableBondTrade,CallableBond,10,0,2021-02-25,Interest,2500000.0000,EUR,0.0250000000,1.0000000000,2020-02-25,2021-02-25,0.0000,#N/A,#N/A,100000000.0000,1.0087333399,2521833.3496822412,1.0000000000,2521833.3496822412,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
