#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20,2016-02-05,0.000000,598,0,0,0,598,598,598,597.96,597.96
Swap_20,2016-03-07,0.084699,96930,96054,0,0,386883,97096,97096,97096.22,97096.22
Swap_20,2016-04-05,0.163934,130896,130205,0,0,551667,131331,131331,113643.03,113643.03
Swap_20,2016-05-06,0.248634,159249,158382,0,0,655156,160052,160052,129452.57,129452.57
Swap_20,2016-06-06,0.333333,182673,182141,0,0,800491,183909,183909,143289.88,143289.88
Swap_20,2016-07-05,0.412568,202228,202389,0,0,864579,203923,203923,154934.67,154934.67
Swap_20,2016-08-05,0.497268,222167,221827,0,0,986649,224413,224413,166768.87,166768.87
Swap_20,2016-09-06,0.584699,292443,190371,0,0,1133517,295911,295911,186079.82,186079.82
Swap_20,2016-10-05,0.663934,303932,201603,0,0,1162971,308017,308017,200631.94,200631.94
Swap_20,2016-11-07,0.754098,324111,221052,0,0,1223620,329050,329050,215986.31,215986.31
Swap_20,2016-12-05,0.830601,336183,234465,0,0,1280391,341820,341820,227576.27,227576.27
Swap_20,2017-01-05,0.915330,347443,245284,0,0,1328454,353859,353859,239265.88,239265.88
Swap_20,2017-02-06,1.003002,358948,257299,0,0,1421967,366207,366207,250361.65,250361.65
Swap_20,2017-03-06,1.079714,314139,312847,0,0,1348465,320974,366207,255378.59,258592.31
Swap_20,2017-04-05,1.161906,326071,325235,0,0,1375426,333705,366207,260919.27,266204.83
Swap_20,2017-05-05,1.244098,337618,336663,0,0,1399835,346080,366207,266545.43,272811.50
Swap_20,2017-06-06,1.331769,350645,349337,0,0,1488251,360053,366207,272701.07,278959.78
Swap_20,2017-07-05,1.411221,361552,360359,0,0,1523934,371833,371833,278282.20,284188.55
Swap_20,2017-08-07,1.501632,367769,367189,0,0,1578462,378898,378898,284340.11,289890.84
Swap_20,2017-09-05,1.581084,418538,319592,0,0,1761890,431876,431876,291754.04,297025.84
Swap_20,2017-10-05,1.663276,428174,328178,0,0,1798975,442534,442534,299204.92,304216.21
Swap_20,2017-11-06,1.750947,441283,340459,0,0,1843343,456868,456868,307099.25,311859.62
Swap_20,2017-12-05,1.830399,449983,348816,0,0,1844495,466603,466603,314022.80,318576.54
Swap_20,2018-01-05,1.915330,459383,359075,0,0,1847601,477145,477145,321256.14,325607.95
Swap_20,2018-02-05,2.000262,466907,366135,0,0,1873258,485769,485769,328241.41,332408.44
Swap_20,2018-03-05,2.076974,412993,412508,0,0,1776214,430330,485769,332012.02,338072.77
Swap_20,2018-04-05,2.161906,421406,421661,0,0,1823635,439835,485769,336247.89,343875.11
Swap_20,2018-05-08,2.252317,434807,434399,0,0,1888494,454636,485769,341000.13,349570.93
Swap_20,2018-06-05,2.329029,444122,442445,0,0,1896453,465081,485769,345087.04,354056.96
