leg,pay_date,obs_date,obs_time_model,obs_time_report,xva_state_at_obs,ore_flow_leg,ore_flow_pay_date,ore_flow_pay_time_model,ore_flow_pay_time_report,ore_flow_start_date,ore_flow_end_date,ore_flow_fixing_date,ore_flow_accrual,ore_flow_coupon,ore_flow_notional,ore_flow_sign,ore_flow_amount,py_portfolio_pay_date,py_portfolio_pay_time_model,py_portfolio_pay_time_report,py_portfolio_start_date,py_portfolio_end_date,py_portfolio_fixing_date,py_portfolio_accrual,py_portfolio_coupon,py_portfolio_notional,py_portfolio_sign,py_portfolio_amount,py_active_pay_date,py_active_pay_time_model,py_active_pay_time_report,py_active_start_date,py_active_end_date,py_active_fixing_date,py_active_accrual,py_active_coupon,py_active_notional,py_active_sign,py_active_amount,diff_portfolio_vs_ore_amount,diff_active_vs_ore_amount,diff_active_vs_portfolio_amount
fixed,2017-02-28,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2017-02-28,1.066015420315892,1.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,2017-02-28,1.066015420315892,1.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,,,0.0
fixed,2017-03-01,2016-03-07,0.0849315068,0.0846994536,dead,fixed,2017-03-01,1.0684931506849316,1.066015420315892,,,,1.0,0.02,10000000.0,1.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,2018-02-28,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2018-02-28,2.066015420315892,2.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,2018-02-28,2.066015420315892,2.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,,,0.0
fixed,2018-03-01,2016-03-07,0.0849315068,0.0846994536,dead,fixed,2018-03-01,2.0684931506849313,2.066015420315892,,,,1.0,0.02,10000000.0,1.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,2019-02-28,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2019-02-28,3.066015420315892,3.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,2019-02-28,3.066015420315892,3.0632756942884947,,,,1.0,0.02,10000000.0,1.0,200000.0,,,0.0
fixed,2019-03-01,2016-03-07,0.0849315068,0.0846994536,dead,fixed,2019-03-01,3.0684931506849313,3.066015420315892,,,,1.0,0.02,10000000.0,1.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,2020-03-01,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2020-03-01,4.0710382513661205,4.0683060109289615,,,,1.0027777777777778,0.02,10000000.0,1.0,200555.55555555556,2020-03-01,4.0710382513661205,4.0683060109289615,,,,1.0027777778,0.02,10000000.0,1.0,200555.5556,,,4.444443038664758e-05
fixed,2020-03-02,2016-03-07,0.0849315068,0.0846994536,dead,fixed,2020-03-02,4.073972602739726,4.0710382513661205,,,,1.0027777778,0.02,10000000.0,1.0,200555.5556,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,2021-02-27,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2021-02-27,5.066015420315892,5.060535968261098,,,,0.9972222222222222,0.02,10000000.0,1.0,199444.44444444444,2021-02-27,5.066015420315892,5.060535968261098,,,,0.9972222222,0.02,10000000.0,1.0,199444.4444,,,-4.444443038664758e-05
fixed,2021-03-01,2016-03-07,0.0849315068,0.0846994536,dead,fixed,2021-03-01,5.071232876712329,5.066015420315892,,,,0.9972222222,0.02,10000000.0,1.0,199444.4444,,,,,,,,,,,,,,,,,,,,,,,,,
