#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
PORTFOLIO,DiscountCurve/USD/0/1Y,Up,15233312.41,0.000100,#N/A,15235307.00,1994.59
PORTFOLIO,DiscountCurve/USD/0/1Y,Down,15233312.41,0.000100,#N/A,15236235.25,2922.84
PORTFOLIO,DiscountCurve/USD/1/5Y,Up,15233312.41,0.000100,#N/A,15228629.19,-4683.22
PORTFOLIO,DiscountCurve/USD/1/5Y,Down,15233312.41,0.000100,#N/A,15242917.71,9605.30
PORTFOLIO,IndexCurve/USD-SOFR-3M/0/1Y,Up,15233312.41,0.000100,#N/A,15233400.39,87.98
PORTFOLIO,IndexCurve/USD-SOFR-3M/0/1Y,Down,15233312.41,0.000100,#N/A,15240993.33,7680.92
PORTFOLIO,IndexCurve/USD-SOFR-3M/1/5Y,Up,15233312.41,0.000100,#N/A,15136346.47,-96965.94
PORTFOLIO,IndexCurve/USD-SOFR-3M/1/5Y,Down,15233312.41,0.000100,#N/A,15338044.82,104732.42
PORTFOLIO,IndexCurve/USD-LIBOR-6M/0/1Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-LIBOR-6M/0/1Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-LIBOR-6M/1/5Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-LIBOR-6M/1/5Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-FEDFUNDS/0/1Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-FEDFUNDS/0/1Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-FEDFUNDS/1/5Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-FEDFUNDS/1/5Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-SIFMA/0/1Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-SIFMA/0/1Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-SIFMA/1/5Y,Up,15233312.41,0.000100,#N/A,15233312.41,0.00
PORTFOLIO,IndexCurve/USD-SIFMA/1/5Y,Down,15233312.41,0.000100,#N/A,15233312.41,0.00
