#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
PORTFOLIO,false,DiscountCurve/USD/0/6M,0.000100,,0.000000,USD,1702209820.41,-804281.89,0.00
PORTFOLIO,false,DiscountCurve/USD/1/1Y,0.000100,,0.000000,USD,1702209820.41,-809235.12,0.00
PORTFOLIO,false,DiscountCurve/USD/2/18M,0.000100,,0.000000,USD,1702209820.41,-813830.62,0.00
PORTFOLIO,false,DiscountCurve/USD/3/2Y,0.000100,,0.000000,USD,1702209820.41,-828358.14,0.00
PORTFOLIO,false,DiscountCurve/USD/4/3Y,0.000100,,0.000000,USD,1702209820.41,-855729.48,0.00
PORTFOLIO,false,DiscountCurve/USD/5/4Y,0.000100,,0.000000,USD,1702209820.41,-870523.80,0.00
PORTFOLIO,false,DiscountCurve/USD/6/5Y,0.000100,,0.000000,USD,1702209820.41,-926927.35,0.00
PORTFOLIO,false,DiscountCurve/USD/7/7Y,0.000100,,0.000000,USD,1702209820.41,-1070594.73,0.00
PORTFOLIO,false,DiscountCurve/USD/8/10Y,0.000100,,0.000000,USD,1702209820.41,-1057835.42,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/0/6M,0.000100,,0.000000,USD,1702209820.41,-417777.60,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/1/1Y,0.000100,,0.000000,USD,1702209820.41,-495738.77,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/2/18M,0.000100,,0.000000,USD,1702209820.41,-498620.30,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/3/2Y,0.000100,,0.000000,USD,1702209820.41,-507216.41,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/4/3Y,0.000100,,0.000000,USD,1702209820.41,-523350.17,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/5/4Y,0.000100,,0.000000,USD,1702209820.41,-533743.14,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/6/5Y,0.000100,,0.000000,USD,1702209820.41,-566451.17,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/7/7Y,0.000100,,0.000000,USD,1702209820.41,-656150.54,0.00
PORTFOLIO,false,IndexCurve/USD-LIBOR-3M/8/10Y,0.000100,,0.000000,USD,1702209820.41,-2571364.51,0.00
