#NettingSetId,Sample,PosExpNoColl,NegExpNoColl,PosExpWithColl,NegExpWithColl
CPTY_A,0,2863.8876,-181081.2140,2863.8876,-181081.2140
CPTY_A,1,0.0000,-759161.1297,0.0000,-759161.1297
CPTY_A,2,684271.2050,-7860.5851,684271.2050,-7860.5851
CPTY_A,3,156449.3462,-407628.1735,156449.3462,-407628.1735
CPTY_A,4,72649.1824,-263526.5072,72649.1824,-263526.5072
CPTY_A,5,357098.5255,-216140.4712,357098.5255,-216140.4712
CPTY_A,6,145134.3940,-234521.2467,145134.3940,-234521.2467
CPTY_A,7,634115.2861,-145729.3057,634115.2861,-145729.3057
CPTY_A,8,4814.1687,-691322.2794,4814.1687,-691322.2794
CPTY_A,9,16.7202,-666749.4307,16.7202,-666749.4307
CPTY_A,10,421064.2359,-80360.0334,421064.2359,-80360.0334
CPTY_A,11,263211.9712,-273035.8572,263211.9712,-273035.8572
CPTY_A,12,19340.8872,-629757.9761,19340.8872,-629757.9761
CPTY_A,13,271700.5056,-116673.0309,271700.5056,-116673.0309
CPTY_A,14,671974.7197,-21022.0279,671974.7197,-21022.0279
CPTY_A,15,1131259.5994,-6262.8346,1131259.5994,-6262.8346
CPTY_A,16,92335.9155,-449258.0613,92335.9155,-449258.0613
CPTY_A,17,179670.2924,-567087.2385,179670.2924,-567087.2385
CPTY_A,18,189469.1687,-50999.6539,189469.1687,-50999.6539
CPTY_A,19,217537.0361,-205411.7044,217537.0361,-205411.7044
CPTY_A,20,166634.7394,-380323.1829,166634.7394,-380323.1829
CPTY_A,21,38766.9181,-587399.3925,38766.9181,-587399.3925
CPTY_A,22,96503.1937,-117869.5423,96503.1937,-117869.5423
CPTY_A,23,645495.7905,-8329.2815,645495.7905,-8329.2815
CPTY_A,24,301.4608,-978822.4157,301.4608,-978822.4157
CPTY_A,25,2333.0017,-1147081.4745,2333.0017,-1147081.4745
CPTY_A,26,640225.3170,-45491.1858,640225.3170,-45491.1858
CPTY_A,27,156086.3603,-430479.6616,156086.3603,-430479.6616
CPTY_A,28,50226.0543,-313053.9259,50226.0543,-313053.9259
CPTY_A,29,877462.6509,-21471.0803,877462.6509,-21471.0803
CPTY_A,30,1265805.1511,-109995.3901,1265805.1511,-109995.3901
CPTY_A,31,2644683.0572,0.0000,2644683.0572,0.0000
CPTY_A,32,1530.7963,-631737.0378,1530.7963,-631737.0378
CPTY_A,33,0.0000,-905558.8261,0.0000,-905558.8261
CPTY_A,34,587995.9678,-15227.6003,587995.9678,-15227.6003
CPTY_A,35,102971.0649,-180790.8983,102971.0649,-180790.8983
CPTY_A,36,117140.6071,-442108.0678,117140.6071,-442108.0678
CPTY_A,37,138688.8528,-246540.0283,138688.8528,-246540.0283
CPTY_A,38,69802.8210,-518726.1864,69802.8210,-518726.1864
CPTY_A,39,553549.3619,-2976.8041,553549.3619,-2976.8041
CPTY_A,40,143851.2013,-590920.9020,143851.2013,-590920.9020
CPTY_A,41,0.0000,-725303.4425,0.0000,-725303.4425
CPTY_A,42,337112.0526,-196209.4063,337112.0526,-196209.4063
CPTY_A,43,10932.0342,-688663.1111,10932.0342,-688663.1111
CPTY_A,44,28020.0696,-887646.5903,28020.0696,-887646.5903
CPTY_A,45,241116.4626,-72571.5879,241116.4626,-72571.5879
CPTY_A,46,772623.3816,-36429.9974,772623.3816,-36429.9974
CPTY_A,47,1500178.7211,-66149.8976,1500178.7211,-66149.8976
CPTY_A,48,92670.1545,-301421.9491,92670.1545,-301421.9491
CPTY_A,49,0.0000,-968556.7959,0.0000,-968556.7959
CPTY_A,50,74904.5245,-274127.7413,74904.5245,-274127.7413
CPTY_A,51,278301.3846,-165607.9990,278301.3846,-165607.9990
CPTY_A,52,189463.1001,-286847.1576,189463.1001,-286847.1576
CPTY_A,53,62933.2547,-292361.6108,62933.2547,-292361.6108
CPTY_A,54,240520.2850,-179956.8230,240520.2850,-179956.8230
CPTY_A,55,1031880.8141,0.0000,1031880.8141,0.0000
CPTY_A,56,0.0000,-1036535.5509,0.0000,-1036535.5509
CPTY_A,57,29413.0302,-717539.0215,29413.0302,-717539.0215
CPTY_A,58,1066986.7093,-105828.4775,1066986.7093,-105828.4775
CPTY_A,59,349967.8523,-420855.2194,349967.8523,-420855.2194
CPTY_A,60,340705.5478,-300059.7734,340705.5478,-300059.7734
CPTY_A,61,389804.7138,-61276.8256,389804.7138,-61276.8256
