#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,10363.00,0.00,-10363.00,0.00,0.00,0.00,0.00
CPTY_A,2016-03-07,0.084699,267012.84,281281.75,1157186.86,0.00,266974.13,266974.13,266974.13,266974.13
CPTY_A,2016-04-05,0.163934,369056.72,382861.38,1574368.50,0.00,368933.79,368933.79,316254.63,316254.63
CPTY_A,2016-05-06,0.248634,448980.09,458953.44,1717395.31,0.00,448722.44,448722.44,361381.03,361381.03
CPTY_A,2016-06-06,0.333333,513778.63,520189.97,2127469.69,-5094.91,513359.93,513359.93,399998.62,399998.62
CPTY_A,2016-07-05,0.412568,570150.13,568085.81,2395202.06,-14390.40,569524.74,569524.74,432556.62,432556.62
CPTY_A,2016-08-05,0.497268,622089.75,613871.63,2445457.56,-22826.65,621284.12,621284.12,464702.51,464702.51
CPTY_A,2016-09-06,0.584699,668150.19,652717.56,2637976.75,-31280.82,667058.48,667058.48,494961.35,494961.35
CPTY_A,2016-10-05,0.663934,706753.50,681942.38,2763272.38,-39125.63,705415.67,705415.67,520077.29,520077.29
CPTY_A,2016-11-07,0.754098,757696.56,707866.69,2926098.13,-61992.82,755943.22,755943.22,548278.65,548278.65
CPTY_A,2016-12-05,0.830601,802080.19,744077.19,2974472.50,-70816.97,799993.28,799993.28,571462.90,571462.90
CPTY_A,2017-01-05,0.915330,842110.13,751472.06,3150828.06,-104438.00,839669.28,839669.28,596289.96,596289.96
CPTY_A,2017-02-06,1.003002,877742.19,763391.81,3257129.81,-129265.01,874956.64,874956.64,620647.89,620647.89
CPTY_A,2017-03-06,1.079714,998126.56,671763.31,3460871.63,-139726.37,994655.18,994655.18,647220.64,647220.64
CPTY_A,2017-04-05,1.161906,1030171.75,701452.25,3612561.00,-142281.55,1026240.44,1026240.44,674032.03,674032.03
CPTY_A,2017-05-05,1.244098,1054424.25,726291.31,3868326.63,-141010.25,1050043.83,1050043.83,698873.39,698873.39
CPTY_A,2017-06-06,1.331769,1074432.63,722445.81,3880211.50,-165189.71,1069637.26,1069637.26,723281.03,723281.03
CPTY_A,2017-07-05,1.411221,1096078.63,741554.88,3898443.50,-168578.80,1090889.49,1090889.49,743977.47,743977.47
CPTY_A,2017-08-07,1.501632,1134708.25,745770.69,3932426.50,-204274.40,1128986.20,1128986.20,767158.25,767158.25
CPTY_A,2017-09-05,1.581084,1119451.13,721349.38,4013160.38,-205240.05,1113490.14,1128986.20,784562.00,785340.70
CPTY_A,2017-10-05,1.663276,1133934.75,714680.19,4124086.13,-226756.29,1127564.14,1128986.20,801511.66,802322.15
CPTY_A,2017-11-06,1.750947,1160952.00,720110.81,4305646.75,-245634.97,1154066.60,1154066.60,819164.35,819934.26
CPTY_A,2017-12-05,1.830399,1189792.13,747796.63,4129763.88,-248588.46,1182340.93,1182340.93,834928.74,835665.23
CPTY_A,2018-01-05,1.915330,1207622.25,754251.13,4301875.25,-258477.64,1199621.33,1199621.33,851100.31,851804.14
CPTY_A,2018-02-05,2.000262,1229099.13,752798.19,4339643.38,-281498.48,1220510.08,1220510.08,866785.52,867459.46
CPTY_A,2018-03-05,2.076974,1329049.50,661799.88,4438582.75,-264451.48,1319472.52,1319472.52,883505.35,884154.41
CPTY_A,2018-04-05,2.161906,1350800.50,689090.44,4406812.25,-262152.68,1340795.53,1340795.53,901470.22,902093.78
CPTY_A,2018-05-08,2.252317,1378504.63,694654.06,4479867.88,-282965.40,1367999.94,1367999.94,920197.33,920795.86
CPTY_A,2018-06-05,2.329029,1398962.13,683047.56,4524774.88,-314776.01,1388047.99,1388047.99,935607.15,936185.97
CPTY_A,2018-07-05,2.411221,1417333.63,688154.38,4624580.38,-329921.96,1406000.87,1406000.87,951641.56,952200.64
CPTY_A,2018-08-06,2.498892,1444010.25,723756.81,4726833.63,-324260.02,1432165.21,1432165.21,968500.27,969039.74
CPTY_A,2018-09-05,2.581084,1408800.38,687658.75,4501177.00,-330024.72,1396970.70,1432165.21,982144.44,983787.46
CPTY_A,2018-10-05,2.663276,1426028.38,707293.88,4460792.75,-330605.98,1413777.35,1432165.21,995465.13,997624.92
CPTY_A,2018-11-05,2.748207,1450517.38,721272.25,4638982.50,-341703.38,1437765.11,1437765.11,1009134.12,1011227.16
CPTY_A,2018-12-05,2.830399,1464434.63,731652.19,4621341.00,-344368.30,1451276.00,1451276.00,1021973.45,1024005.71
CPTY_A,2019-01-07,2.920810,1486357.63,733140.44,4702352.13,-368845.96,1472684.92,1472684.92,1035924.80,1037894.16
CPTY_A,2019-02-05,3.000262,1507009.75,737946.25,4685041.75,-387236.84,1492864.56,1492864.56,1048025.35,1049942.55
CPTY_A,2019-03-05,3.076974,1590398.00,649422.00,4735587.25,-371852.03,1575339.93,1575339.93,1061171.88,1063041.28
CPTY_A,2019-04-05,3.161906,1602958.50,647017.38,4800029.00,-380808.78,1587694.64,1587694.64,1075314.73,1077133.92
CPTY_A,2019-05-07,3.249577,1618600.00,669683.13,4743140.88,-373243.21,1603096.68,1603096.68,1089553.90,1091324.01
CPTY_A,2019-06-05,3.329029,1642836.63,696793.19,4910017.88,-378480.71,1627018.01,1627018.01,1102381.26,1104109.12
CPTY_A,2019-07-05,3.411221,1642462.25,677448.88,4913035.00,-380919.71,1626561.22,1627018.01,1115011.13,1116708.36
CPTY_A,2019-08-05,3.496152,1651604.13,645673.31,4968039.13,-412295.48,1635525.16,1635525.16,1127655.90,1129311.90
CPTY_A,2019-09-05,3.581084,1587270.75,618484.13,4689260.25,-404394.10,1571732.06,1635525.16,1138187.92,1141317.61
CPTY_A,2019-10-07,3.668755,1603914.25,648658.38,4680834.63,-389535.69,1588123.09,1635525.16,1148939.90,1153127.56
CPTY_A,2019-11-05,3.748207,1609569.88,646361.88,4709782.00,-392337.19,1593641.44,1635525.16,1158366.39,1163353.11
CPTY_A,2019-12-05,3.830399,1622522.75,645862.25,4768149.88,-405529.16,1606381.23,1635525.16,1167979.79,1173484.86
CPTY_A,2020-01-06,3.918033,1634566.38,659818.31,4809170.38,-405857.03,1618213.68,1635525.16,1178050.07,1183819.22
CPTY_A,2020-02-05,4.000000,1654018.13,673645.94,4957040.00,-414704.89,1637384.23,1637384.23,1187462.66,1193113.58
CPTY_A,2020-03-05,4.079235,1702798.13,558131.31,4904290.75,-414277.71,1685785.83,1685785.83,1197142.08,1202683.24
CPTY_A,2020-04-06,4.166667,1717367.25,558608.81,4972854.38,-429797.08,1700391.89,1700391.89,1207702.07,1213126.96
CPTY_A,2020-05-05,4.245902,1734140.75,577361.19,4910848.38,-424913.89,1717166.56,1717166.56,1217209.45,1222533.10
CPTY_A,2020-06-05,4.330601,1747609.50,598127.00,4961760.50,-418663.89,1730683.32,1730683.32,1227252.16,1232471.69
CPTY_A,2020-07-06,4.415301,1759144.00,577273.31,5002697.50,-443293.32,1742287.16,1742287.16,1237132.16,1242251.56
CPTY_A,2020-08-05,4.497268,1770459.38,603437.94,5054472.13,-426722.74,1753670.57,1753670.57,1246546.59,1251572.69
CPTY_A,2020-09-08,4.590164,1685672.75,581343.06,4821150.00,-413750.30,1669878.36,1753670.57,1255114.02,1261734.19
CPTY_A,2020-10-05,4.663934,1692248.25,597534.13,4866180.88,-406505.47,1676544.01,1753670.57,1261779.87,1269515.26
CPTY_A,2020-11-05,4.748634,1703252.00,599107.94,4851768.38,-408381.48,1687621.08,1753670.57,1269375.43,1278150.94
CPTY_A,2020-12-07,4.836066,1717878.75,609942.31,4919158.63,-411432.53,1702296.26,1753670.57,1277202.25,1286747.91
CPTY_A,2021-01-05,4.915330,1724594.88,611984.88,4889441.63,-420878.29,1709117.62,1753670.57,1284167.34,1294277.53
CPTY_A,2021-02-05,5.000262,1738062.25,613207.13,4970625.50,-428295.07,1722643.21,1753670.57,1291615.03,1302080.51
CPTY_A,2021-03-05,5.076974,1767361.88,514559.91,4741867.63,-415814.18,1752246.37,1753670.57,1298575.10,1308903.97
CPTY_A,2021-04-06,5.164646,1770545.63,528079.88,4799946.00,-402520.27,1756147.49,1756147.49,1306342.52,1316496.05
CPTY_A,2021-05-05,5.244098,1776886.00,530169.88,4799214.75,-406788.09,1763113.83,1763113.83,1313262.95,1323262.65
CPTY_A,2021-06-07,5.334509,1782964.75,559092.50,4792329.50,-396654.68,1769919.35,1769919.35,1321002.51,1330832.73
CPTY_A,2021-07-06,5.413961,1786221.13,535744.31,4776703.75,-408819.08,1773833.58,1773833.58,1327647.99,1337333.94
CPTY_A,2021-08-05,5.496152,1802195.50,556152.06,4845162.25,-420183.26,1790408.90,1790408.90,1334568.31,1344109.42
CPTY_A,2021-09-07,5.586563,1673510.25,516512.69,4476812.00,-410411.58,1663292.54,1790408.90,1339888.26,1351332.17
CPTY_A,2021-10-05,5.663276,1677778.50,536906.00,4517787.75,-392152.36,1668153.66,1790408.90,1344334.81,1357279.72
CPTY_A,2021-11-05,5.748207,1681342.13,523000.38,4546768.88,-407689.49,1672383.82,1790408.90,1349181.83,1363679.33
CPTY_A,2021-12-06,5.833139,1686670.88,512007.88,4609906.63,-422521.05,1678373.65,1790408.90,1353974.92,1369892.59
CPTY_A,2022-01-05,5.915330,1693987.88,535665.63,4606974.38,-407887.48,1686325.01,1790408.90,1358592.83,1375735.54
CPTY_A,2022-02-07,6.005741,1702174.88,536817.56,4632480.00,-416108.04,1695216.32,1790408.90,1363660.39,1381978.07
CPTY_A,2022-03-07,6.082454,1705322.75,459449.78,4449432.63,-390069.80,1699313.20,1790408.90,1367893.67,1387129.22
CPTY_A,2022-04-05,6.161906,1714337.13,461361.50,4478242.00,-397716.10,1709339.41,1790408.90,1372296.29,1392329.14
