#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-7256884.1561,#N/A,-7517994.9656
CPTY_A,2016-03-07,0.0847,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2016-04-05,0.1639,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2016-05-06,0.2486,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2016-06-06,0.3333,5094.9106,-442.4123,-442.4123,-453.8713,-453.8713
CPTY_A,2016-07-05,0.4126,14390.3987,-1170.8755,-1613.2878,-1199.8176,-1653.6890
CPTY_A,2016-08-05,0.4973,22826.6462,-1989.5594,-3602.8472,-2040.5279,-3694.2169
CPTY_A,2016-09-06,0.5847,31280.8178,-2822.5837,-6425.4309,-2897.2129,-6591.4298
CPTY_A,2016-10-05,0.6639,39125.6293,-3207.0596,-9632.4905,-3294.3146,-9885.7444
CPTY_A,2016-11-07,0.7541,61992.8218,-5798.5412,-15431.0316,-5955.0109,-15840.7553
CPTY_A,2016-12-05,0.8306,70816.9658,-5625.5287,-21056.5603,-5766.5164,-21607.2717
CPTY_A,2017-01-05,0.9153,104437.9964,-9211.0361,-30267.5964,-9449.5933,-31056.8650
CPTY_A,2017-02-06,1.0030,129265.0122,-11794.9236,-42062.5200,-12100.0805,-43156.9455
CPTY_A,2017-03-06,1.0797,139726.3728,-11183.5936,-53246.1136,-11484.8548,-54641.8003
CPTY_A,2017-04-05,1.1619,142281.5515,-12234.4771,-65480.5906,-12561.8055,-67203.6057
CPTY_A,2017-05-05,1.2441,141010.2462,-12148.3603,-77628.9510,-12470.0008,-79673.6066
CPTY_A,2017-06-06,1.3318,165189.7131,-15222.5456,-92851.4965,-15629.9552,-95303.5617
CPTY_A,2017-07-05,1.4112,168578.7993,-14125.7348,-106977.2313,-14515.8672,-109819.4289
CPTY_A,2017-08-07,1.5016,204274.3971,-19537.1910,-126514.4223,-20083.3602,-129902.7891
CPTY_A,2017-09-05,1.5811,205240.0470,-17302.0985,-143816.5207,-17791.2492,-147694.0382
CPTY_A,2017-10-05,1.6633,226756.2856,-19842.0262,-163658.5469,-20424.6721,-168118.7103
CPTY_A,2017-11-06,1.7509,245634.9682,-22960.1152,-186618.6621,-23624.3166,-191743.0269
CPTY_A,2017-12-05,1.8304,248588.4624,-21119.7229,-207738.3850,-21714.5127,-213457.5396
