#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,10363.00,0.00,10363.00,10363.00,10363.00,10363.00,10363.00,10363.00
CPTY_A,2016-03-07,0.084699,281281.75,267012.84,1165418.78,0.00,281240.97,281240.97,281240.97,281240.97
CPTY_A,2016-04-05,0.163934,382861.38,369056.72,1570049.75,0.00,382733.85,382733.85,330295.86,330295.86
CPTY_A,2016-05-06,0.248634,458953.44,448980.09,1932074.50,0.00,458690.05,458690.05,374034.54,374034.54
CPTY_A,2016-06-06,0.333333,520189.97,513778.63,2265191.88,5094.91,519766.07,519766.07,411064.68,411064.68
CPTY_A,2016-07-05,0.412568,568085.81,570150.13,2399920.13,14390.40,567462.72,567462.72,441101.39,441101.39
CPTY_A,2016-08-05,0.497268,613871.63,622089.75,2657767.00,22826.65,613076.62,613076.62,470393.88,470393.88
CPTY_A,2016-09-06,0.584699,652717.56,668150.19,2790087.88,31280.82,651651.01,651651.01,497497.75,497497.75
CPTY_A,2016-10-05,0.663934,681942.38,706753.50,3014715.25,39125.63,680651.56,680651.56,519355.61,519355.61
CPTY_A,2016-11-07,0.754098,707866.69,757696.56,3156930.25,61992.82,706228.66,706228.66,541699.13,541699.13
CPTY_A,2016-12-05,0.830601,744077.19,802080.19,3305538.38,70816.97,742141.19,742141.19,560160.90,560160.90
CPTY_A,2017-01-05,0.915330,751472.06,842110.13,3386720.75,104438.00,749293.93,749293.93,577668.37,577668.37
CPTY_A,2017-02-06,1.003002,763391.81,877742.19,3248039.25,129265.01,760969.19,760969.19,593690.49,593690.49
CPTY_A,2017-03-06,1.079714,671763.31,998126.56,3127895.38,139726.37,669426.97,760969.19,599071.47,605575.43
CPTY_A,2017-04-05,1.161906,701452.25,1030171.75,3227494.25,142281.55,698775.41,760969.19,606124.40,616567.79
CPTY_A,2017-05-05,1.244098,726291.31,1054424.25,3331937.00,141010.25,723274.07,760969.19,613863.94,626107.72
CPTY_A,2017-06-06,1.331769,722445.81,1074432.63,3435926.88,165189.71,719221.43,760969.19,620799.69,634985.74
CPTY_A,2017-07-05,1.411221,741554.88,1096078.63,3542403.38,168578.80,738044.14,760969.19,627400.58,642078.64
CPTY_A,2017-08-07,1.501632,745770.69,1134708.25,3384453.38,204274.40,742009.98,760969.19,634301.04,649236.86
CPTY_A,2017-09-05,1.581084,721349.38,1119451.13,3237371.00,205240.05,717508.21,760969.19,638482.34,654851.59
CPTY_A,2017-10-05,1.663276,714680.19,1133934.75,3260918.77,226756.29,710664.96,760969.19,642049.28,660095.46
CPTY_A,2017-11-06,1.750947,720110.81,1160952.00,3303790.88,245634.97,715839.95,760969.19,645744.04,665146.28
CPTY_A,2017-12-05,1.830399,747796.63,1189792.13,3584987.75,248588.46,743113.47,760969.19,649970.55,669305.66
CPTY_A,2018-01-05,1.915330,754251.13,1207622.25,3645867.13,258477.64,749253.91,760969.19,654373.07,673370.30
CPTY_A,2018-02-05,2.000262,752798.19,1229099.13,3607421.63,281498.48,747537.59,760969.19,658328.86,677089.76
CPTY_A,2018-03-05,2.076974,661799.88,1329049.50,3270478.38,264451.48,657030.97,760969.19,658280.92,680187.82
CPTY_A,2018-04-05,2.161906,689090.44,1350800.50,3556864.25,262152.68,683986.55,760969.19,659290.78,683361.35
CPTY_A,2018-05-08,2.252317,694654.06,1378504.63,3554920.91,282965.40,689360.53,760969.19,660497.82,686476.63
CPTY_A,2018-06-05,2.329029,683047.56,1398962.13,3410986.25,314776.01,677718.70,760969.19,661065.03,688930.23
CPTY_A,2018-07-05,2.411221,688154.38,1417333.63,3347467.50,329921.96,682652.01,760969.19,661800.87,691385.84
CPTY_A,2018-08-06,2.498892,723756.81,1444010.25,3514995.20,324260.02,717819.96,760969.19,663766.24,693827.10
CPTY_A,2018-09-05,2.581084,687658.75,1408800.38,3382927.35,330024.72,681884.51,760969.19,664343.20,695965.17
CPTY_A,2018-10-05,2.663276,707293.88,1426028.38,3412248.40,330605.98,701217.49,760969.19,665481.18,697971.27
CPTY_A,2018-11-05,2.748207,721272.25,1450517.38,3522703.03,341703.38,714931.17,760969.19,667009.40,699918.18
CPTY_A,2018-12-05,2.830399,731652.19,1464434.63,3509897.53,344368.30,725077.95,760969.19,668695.65,701691.03
CPTY_A,2019-01-07,2.920810,733140.44,1486357.63,3444399.69,368845.96,726396.41,760969.19,670481.72,703525.93
CPTY_A,2019-02-05,3.000262,737946.25,1507009.75,3522329.55,387236.84,731019.73,760969.19,672084.87,705047.13
CPTY_A,2019-03-05,3.076974,649422.00,1590398.00,3334290.60,371852.03,643273.16,760969.19,671366.57,706441.33
CPTY_A,2019-04-05,3.161906,647017.38,1602958.50,3232410.38,380808.78,640856.29,760969.19,670547.03,707905.99
CPTY_A,2019-05-07,3.249577,669683.13,1618600.00,3355478.75,373243.21,663268.74,760969.19,670350.67,709337.60
CPTY_A,2019-06-05,3.329029,696793.19,1642836.63,3522591.50,378480.71,690083.87,760969.19,670821.63,710569.86
CPTY_A,2019-07-05,3.411221,677448.88,1642462.25,3355267.40,380919.71,670890.30,760969.19,670823.29,711784.21
CPTY_A,2019-08-05,3.496152,645673.31,1651604.13,3361978.75,412295.48,639387.46,760969.19,670059.62,712979.05
CPTY_A,2019-09-05,3.581084,618484.13,1587270.75,3094997.00,404394.10,612429.44,760969.19,668692.82,714117.22
CPTY_A,2019-10-07,3.668755,648658.38,1603914.25,3345600.23,389535.69,642272.09,760969.19,668061.45,715236.83
CPTY_A,2019-11-05,3.748207,646361.88,1609569.88,3449138.50,392337.19,639965.47,760969.19,667465.89,716206.23
CPTY_A,2019-12-05,3.830399,645862.25,1622522.75,3313227.75,405529.16,639436.96,760969.19,666864.46,717166.75
CPTY_A,2020-01-06,3.918033,659818.31,1634566.38,3396448.17,405857.03,653217.27,760969.19,666559.21,718146.46
CPTY_A,2020-02-05,4.000000,673645.94,1654018.13,3511079.25,414704.89,666871.31,760969.19,666565.61,719023.98
CPTY_A,2020-03-05,4.079235,558131.31,1702798.13,3157060.87,414277.71,552555.16,760969.19,664351.07,719838.72
CPTY_A,2020-04-06,4.166667,558608.81,1717367.25,3189125.25,429797.08,553087.20,760969.19,662016.35,720701.79
CPTY_A,2020-05-05,4.245902,577361.19,1734140.75,3247113.25,424913.89,571709.85,760969.19,660331.10,721453.24
CPTY_A,2020-06-05,4.330601,598127.00,1747609.50,3261024.30,418663.89,592333.93,760969.19,659001.18,722226.11
CPTY_A,2020-07-06,4.415301,577273.31,1759144.00,3180464.00,443293.32,571741.68,760969.19,657327.27,722969.32
CPTY_A,2020-08-05,4.497268,603437.94,1770459.38,3064466.36,426722.74,597715.72,760969.19,656240.79,723661.91
CPTY_A,2020-09-08,4.590164,581343.06,1685672.75,3054025.75,413750.30,575895.99,760969.19,654614.76,724416.93
CPTY_A,2020-10-05,4.663934,597534.13,1692248.25,3155032.23,406505.47,591988.96,760969.19,653624.20,724995.09
CPTY_A,2020-11-05,4.748634,599107.94,1703252.00,3199517.62,408381.48,593609.85,760969.19,652553.75,725636.75
CPTY_A,2020-12-07,4.836066,609942.31,1717878.75,3209004.43,411432.53,604409.67,760969.19,651683.35,726275.52
CPTY_A,2021-01-05,4.915330,611984.88,1724594.88,3388225.71,420878.29,606492.67,760969.19,650954.60,726835.00
CPTY_A,2021-02-05,5.000262,613207.13,1738062.25,3139556.50,428295.07,607767.14,760969.19,650221.04,727414.78
CPTY_A,2021-03-05,5.076974,514559.91,1767361.88,2991869.77,415814.18,510159.07,760969.19,648104.73,727921.78
CPTY_A,2021-04-06,5.164646,528079.88,1770545.63,2836130.88,402520.27,523785.52,760969.19,645994.37,728482.77
CPTY_A,2021-05-05,5.244098,530169.88,1776886.00,2954572.00,406788.09,526060.70,760969.19,644177.29,728974.96
CPTY_A,2021-06-07,5.334509,559092.50,1782964.75,3126185.88,396654.68,555001.81,760969.19,642665.91,729517.21
CPTY_A,2021-07-06,5.413961,535744.31,1786221.13,3013199.86,408819.08,532028.91,760969.19,641042.27,729978.78
CPTY_A,2021-08-05,5.496152,556152.06,1802195.50,3200719.66,420183.26,552514.76,760969.19,639718.39,730442.23
CPTY_A,2021-09-07,5.586563,516512.69,1673510.25,2995010.19,410411.58,513359.10,760969.19,637673.44,730936.26
CPTY_A,2021-10-05,5.663276,536906.00,1677778.50,3194927.13,392152.36,533825.98,760969.19,636266.77,731343.08
CPTY_A,2021-11-05,5.748207,523000.38,1681342.13,3123781.88,407689.49,520213.80,760969.19,634552.05,731780.81
CPTY_A,2021-12-06,5.833139,512007.88,1686670.88,3142022.44,422521.05,509489.15,760969.19,632731.11,732205.80
CPTY_A,2022-01-05,5.915330,535665.63,1693987.88,3149646.81,407887.48,533242.49,760969.19,631348.74,732605.46
CPTY_A,2022-02-07,6.005741,536817.56,1702174.88,3081983.22,416108.04,534623.01,760969.19,629892.63,733032.45
