#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_21,2016-02-05,0.000000,280798,0,0,0,280798,280798,280798,280797.97,280797.97
Swap_21,2016-03-07,0.084699,301548,19483,0,0,723932,301504,301504,301503.85,301503.85
Swap_21,2016-04-05,0.163934,328264,47510,0,0,872330,328155,328155,314385.19,314385.19
Swap_21,2016-05-06,0.248634,346240,67654,0,0,1002426,346042,346042,325169.25,325169.25
Swap_21,2016-06-06,0.333333,365575,87238,0,0,1131999,365277,365277,335360.50,335360.50
Swap_21,2016-07-05,0.412568,384339,106543,0,0,1186335,383917,383917,344685.92,344685.92
Swap_21,2016-08-05,0.497268,403644,125722,0,0,1313232,403121,403121,354639.18,354639.18
Swap_21,2016-09-06,0.584699,418025,140361,0,0,1362376,417342,417342,364015.37,364015.37
Swap_21,2016-10-05,0.663934,428780,152318,0,0,1453981,427968,427968,371647.59,371647.59
Swap_21,2016-11-07,0.754098,440573,165563,0,0,1535789,439553,439553,379766.76,379766.76
Swap_21,2016-12-05,0.830601,453995,179294,0,0,1655608,452813,452813,386494.74,386494.74
Swap_21,2017-01-05,0.915330,467615,193244,0,0,1714996,466260,466260,393878.32,393878.32
Swap_21,2017-02-06,1.003002,483407,209131,0,0,1840256,481873,481873,401569.84,401569.84
Swap_21,2017-03-06,1.079714,427299,254823,0,0,1684170,425813,481873,403292.30,407275.29
Swap_21,2017-04-05,1.161906,434199,262045,0,0,1682962,432542,481873,405361.38,412552.24
Swap_21,2017-05-05,1.244098,442931,271379,0,0,1735517,441091,481873,407721.87,417131.95
Swap_21,2017-06-06,1.331769,450277,278873,0,0,1685211,448268,481873,410391.03,421393.90
Swap_21,2017-07-05,1.411221,457594,285980,0,0,1776131,455428,481873,412926.61,424798.89
Swap_21,2017-08-07,1.501632,471783,300078,0,0,1842196,469404,481873,416327.04,428235.24
Swap_21,2017-09-05,1.581084,458646,290928,0,0,1786441,456204,481873,418330.93,430930.62
Swap_21,2017-10-05,1.663276,465594,297746,0,0,1775368,462978,481873,420537.20,433447.98
Swap_21,2017-11-06,1.750947,473209,306427,0,0,1864410,470402,481873,423033.99,435872.66
Swap_21,2017-12-05,1.830399,482031,314795,0,0,1874062,479012,481873,425463.84,437869.39
Swap_21,2018-01-05,1.915330,488512,321525,0,0,1914792,485275,485275,428116.05,439971.51
Swap_21,2018-02-05,2.000262,495490,328584,0,0,1997383,492028,492028,430829.74,442181.82
Swap_21,2018-03-05,2.076974,426516,363183,0,0,1792553,423443,492028,430556.91,444022.85
Swap_21,2018-04-05,2.161906,434590,370498,0,0,1865782,431371,492028,430588.89,445908.74
Swap_21,2018-05-08,2.252317,444206,380621,0,0,1930668,440821,492028,430999.61,447760.01
Swap_21,2018-06-05,2.329029,451894,388340,0,0,1965195,448368,492028,431571.68,449218.07
Swap_21,2018-07-05,2.411221,459239,394910,0,0,2018475,455567,492028,432389.60,450677.33
Swap_21,2018-08-06,2.498892,468330,402888,0,0,2029471,464489,492028,433515.76,452128.06
Swap_21,2018-09-05,2.581084,451075,382977,0,0,1970055,447288,492028,433954.31,453398.61
Swap_21,2018-10-05,2.663276,460732,390867,0,0,1967650,456774,492028,434658.56,454590.75
Swap_21,2018-11-05,2.748207,468309,397941,0,0,1968845,464192,492028,435571.27,455747.71
Swap_21,2018-12-05,2.830399,473773,402942,0,0,2056712,469516,492028,436556.98,456801.24
Swap_21,2019-01-07,2.920810,481497,408291,0,0,2072695,477068,492028,437810.96,457891.63
Swap_21,2019-02-05,3.000262,489662,415303,0,0,2105327,485066,492028,439062.34,458795.61
Swap_21,2019-03-05,3.076974,424998,444887,0,0,1948120,420974,492028,438611.39,459624.12
Swap_21,2019-04-05,3.161906,427888,449804,0,0,1849204,423813,492028,438213.90,460494.50
Swap_21,2019-05-07,3.249577,432399,454707,0,0,1992919,428257,492028,437945.28,461345.24
Swap_21,2019-06-05,3.329029,441145,461747,0,0,1972177,436897,492028,437920.28,462077.52
Swap_21,2019-07-05,3.411221,436724,462025,0,0,1940694,432496,492028,437789.58,462799.15
Swap_21,2019-08-05,3.496152,435394,463391,0,0,1947043,431155,492028,437628.42,463509.19
Swap_21,2019-09-05,3.581084,416071,429214,0,0,1890506,411998,492028,437020.54,464185.56
Swap_21,2019-10-07,3.668755,418655,431904,0,0,1864755,414533,492028,436483.16,464850.89
Swap_21,2019-11-05,3.748207,419151,433908,0,0,1874098,415003,492028,436027.84,465426.96
Swap_21,2019-12-05,3.830399,423363,438212,0,0,1949178,419151,492028,435665.70,465997.75
Swap_21,2020-01-06,3.918033,428944,442760,0,0,2022236,424652,492028,435419.37,466579.95
Swap_21,2020-02-05,4.000000,436195,449459,0,0,2029820,431808,492028,435345.37,467101.42
Swap_21,2020-03-05,4.079235,367145,462877,0,0,1758185,363476,492028,433949.39,467585.59
Swap_21,2020-04-06,4.166667,371218,466557,0,0,1922646,367549,492028,432556.07,468098.47
Swap_21,2020-05-05,4.245902,375860,471438,0,0,1993497,372181,492028,431429.37,468545.02
Swap_21,2020-06-05,4.330601,381486,476384,0,0,1951854,377791,492028,430380.30,469004.30
Swap_21,2020-07-06,4.415301,382888,479126,0,0,1900090,379219,492028,429398.87,469445.96
Swap_21,2020-08-05,4.497268,387006,483089,0,0,1962091,383337,492028,428559.34,469857.53
Swap_21,2020-09-08,4.590164,366452,436504,0,0,1899989,363019,492028,427232.92,470306.21
Swap_21,2020-10-05,4.663934,370971,439186,0,0,1888643,367529,492028,426288.56,470649.78
Swap_21,2020-11-05,4.748634,371178,440935,0,0,1920163,367772,492028,425244.82,471031.09
Swap_21,2020-12-07,4.836066,375577,444742,0,0,1890858,372170,492028,424285.29,471410.69
Swap_21,2021-01-05,4.915330,379992,446641,0,0,1926873,376582,492028,423516.02,471743.15
Swap_21,2021-02-05,5.000262,381172,448631,0,0,2019943,377791,492028,422739.36,472087.69
Swap_21,2021-03-05,5.076974,315451,453186,0,0,1711315,312753,492028,421077.48,472388.98
