#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_21,2016-02-05,0.000000,0,280798,0,0,0,0,0,0.00,0.00
Swap_21,2016-03-07,0.084699,19483,301548,0,0,173276,19480,19480,19480.23,19480.23
Swap_21,2016-04-05,0.163934,47510,328264,0,0,335374,47494,47494,33020.45,33020.45
Swap_21,2016-05-06,0.248634,67654,346240,0,0,392585,67615,67615,44805.36,44805.36
Swap_21,2016-06-06,0.333333,87238,365575,0,0,551850,87167,87167,55569.40,55569.40
Swap_21,2016-07-05,0.412568,106543,384339,0,0,654486,106426,106426,65336.52,65336.52
Swap_21,2016-08-05,0.497268,125722,403644,0,0,673517,125559,125559,75594.22,75594.22
Swap_21,2016-09-06,0.584699,140361,418025,0,0,748609,140131,140131,85244.65,85244.65
Swap_21,2016-10-05,0.663934,152318,428780,0,0,795092,152030,152030,93214.93,93214.93
Swap_21,2016-11-07,0.754098,165563,440573,0,0,868357,165180,165180,101819.49,101819.49
Swap_21,2016-12-05,0.830601,179294,453995,0,0,877634,178828,178828,108912.35,108912.35
Swap_21,2017-01-05,0.915330,193244,467615,0,0,950463,192684,192684,116666.80,116666.80
Swap_21,2017-02-06,1.003002,209131,483407,0,0,988822,208467,208467,124690.97,124690.97
Swap_21,2017-03-06,1.079714,254823,427299,0,0,1080496,253937,253937,133873.75,133873.75
Swap_21,2017-04-05,1.161906,262045,434199,0,0,1143988,261045,261045,142869.69,142869.69
Swap_21,2017-05-05,1.244098,271379,442931,0,0,1241944,270252,270252,151285.25,151285.25
Swap_21,2017-06-06,1.331769,278873,450277,0,0,1242457,277629,277629,159602.51,159602.51
Swap_21,2017-07-05,1.411221,285980,457594,0,0,1251482,284626,284626,166641.36,166641.36
Swap_21,2017-08-07,1.501632,300078,471783,0,0,1258121,298565,298565,174584.28,174584.28
Swap_21,2017-09-05,1.581084,290928,458646,0,0,1281452,289378,298565,180352.87,180814.51
Swap_21,2017-10-05,1.663276,297746,465594,0,0,1324664,296073,298565,186071.25,186633.22
Swap_21,2017-11-06,1.750947,306427,473209,0,0,1395342,304609,304609,192006.53,192540.37
Swap_21,2017-12-05,1.830399,314795,482031,0,0,1326002,312823,312823,197250.83,197761.48
Swap_21,2018-01-05,1.915330,321525,488512,0,0,1386550,319395,319395,202667.05,203155.07
Swap_21,2018-02-05,2.000262,328584,495490,0,0,1408808,326288,326288,207916.00,208383.30
Swap_21,2018-03-05,2.076974,363183,426516,0,0,1446818,360566,360566,213554.06,214004.10
Swap_21,2018-04-05,2.161906,370498,434590,0,0,1431936,367754,367754,219611.89,220044.24
Swap_21,2018-05-08,2.252317,380621,444206,0,0,1461688,377721,377721,225958.59,226373.59
Swap_21,2018-06-05,2.329029,388340,451894,0,0,1476834,385311,385311,231207.25,231608.58
Swap_21,2018-07-05,2.411221,394910,459239,0,0,1516693,391753,391753,236679.79,237067.44
Swap_21,2018-08-06,2.498892,402888,468330,0,0,1555678,399584,399584,242395.11,242769.16
Swap_21,2018-09-05,2.581084,382977,451075,0,0,1443141,379761,399584,246769.39,247762.74
Swap_21,2018-10-05,2.663276,390867,460732,0,0,1428254,387509,399584,251112.77,252448.11
Swap_21,2018-11-05,2.748207,397941,468309,0,0,1493842,394443,399584,255542.30,256995.23
Swap_21,2018-12-05,2.830399,402942,473773,0,0,1489133,399322,399584,259717.50,261135.85
Swap_21,2019-01-07,2.920810,408291,481497,0,0,1520611,404535,404535,264200.20,265574.64
Swap_21,2019-02-05,3.000262,415303,489662,0,0,1505131,411405,411405,268098.43,269436.48
Swap_21,2019-03-05,3.076974,444887,424998,0,0,1523972,440675,440675,272400.95,273705.64
Swap_21,2019-04-05,3.161906,449804,427888,0,0,1547282,445521,445521,277051.10,278320.74
Swap_21,2019-05-07,3.249577,454707,432399,0,0,1521277,450351,450351,281726.61,282962.00
Swap_21,2019-06-05,3.329029,461747,441145,0,0,1587118,457301,457301,285916.95,287122.86
Swap_21,2019-07-05,3.411221,462025,436724,0,0,1590092,457552,457552,290052.41,291229.26
Swap_21,2019-08-05,3.496152,463391,435394,0,0,1612501,458880,458880,294153.70,295301.97
Swap_21,2019-09-05,3.581084,429214,416071,0,0,1469937,425013,458880,297257.25,299181.49
Swap_21,2019-10-07,3.668755,431904,418655,0,0,1461813,427652,458880,300373.24,302997.75
Swap_21,2019-11-05,3.748207,433908,419151,0,0,1472688,429614,458880,303112.81,306302.03
Swap_21,2019-12-05,3.830399,438212,423363,0,0,1496788,433853,458880,305918.20,309576.00
Swap_21,2020-01-06,3.918033,442760,428944,0,0,1512781,438331,458880,308879.84,312915.44
Swap_21,2020-02-05,4.000000,449459,436195,0,0,1564584,444939,458880,311667.94,315906.51
Swap_21,2020-03-05,4.079235,462877,367145,0,0,1534601,458253,458880,314515.20,318683.62
Swap_21,2020-04-06,4.166667,466557,371218,0,0,1561599,461945,461945,317608.81,321689.76
Swap_21,2020-05-05,4.245902,471438,375860,0,0,1536159,466823,466823,320393.38,324398.17
Swap_21,2020-06-05,4.330601,476384,381486,0,0,1553750,471770,471770,323354.06,327280.52
Swap_21,2020-07-06,4.415301,479126,382888,0,0,1566304,474535,474535,326254.19,330105.33
Swap_21,2020-08-05,4.497268,483089,387006,0,0,1585562,478508,478508,329029.16,332810.12
Swap_21,2020-09-08,4.590164,436504,366452,0,0,1458662,432414,478508,331121.47,335758.76
Swap_21,2020-10-05,4.663934,439186,370971,0,0,1475554,435110,478508,332766.29,338016.66
Swap_21,2020-11-05,4.748634,440935,371178,0,0,1468219,436889,478508,334623.48,340522.55
Swap_21,2020-12-07,4.836066,444742,375577,0,0,1488724,440707,478508,336541.38,343017.20
Swap_21,2021-01-05,4.915330,446641,379992,0,0,1480151,442632,478508,338252.21,345202.13
Swap_21,2021-02-05,5.000262,448631,381172,0,0,1509457,444651,478508,340059.44,347466.39
Swap_21,2021-03-05,5.076974,453186,315451,0,0,1400707,449310,478508,341710.20,349446.41
Swap_21,2021-04-06,5.164646,454204,314899,0,0,1422683,450510,478508,343557.11,351637.26
Swap_21,2021-05-05,5.244098,456510,316641,0,0,1422954,452972,478508,345214.83,353559.45
Swap_21,2021-06-07,5.334509,460311,322485,0,0,1420249,456943,478508,347108.43,355677.12
Swap_21,2021-07-06,5.413961,462124,320477,0,0,1412972,458919,478508,348749.30,357479.71
Swap_21,2021-08-05,5.496152,465883,327122,0,0,1436638,462836,478508,350455.40,359289.62
