#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,597.96,597.96,597.96,597.96,597.96
CPTY_A,2016-03-07,0.084699,95823.25,94285.34,398373.00,0.00,95987.59,95987.59,95987.59,95987.59
CPTY_A,2016-04-05,0.163934,130972.01,130463.09,537579.38,0.00,131407.11,131407.11,113107.03,113107.03
CPTY_A,2016-05-06,0.248634,157827.80,158192.64,662135.56,0.00,158623.69,158623.69,128612.71,128612.71
CPTY_A,2016-06-06,0.333333,180924.05,180930.47,779272.38,0.00,182148.27,182148.27,142216.00,142216.00
CPTY_A,2016-07-05,0.412568,200683.48,200913.81,829938.94,0.00,202365.55,202365.55,153767.90,153767.90
CPTY_A,2016-08-05,0.497268,219346.47,219392.53,951236.69,0.00,221564.31,221564.31,165315.64,165315.64
CPTY_A,2016-09-06,0.584699,289221.34,187980.55,1094124.25,0.00,292650.85,292650.85,184356.42,184356.42
CPTY_A,2016-10-05,0.663934,302107.16,200699.67,1180594.00,0.00,306166.78,306166.78,198893.46,198893.46
CPTY_A,2016-11-07,0.754098,317862.25,217130.92,1262821.50,0.00,322706.06,322706.06,213697.14,213697.14
CPTY_A,2016-12-05,0.830601,331965.06,231856.13,1373455.25,0.00,337531.92,337531.92,225102.98,225102.98
CPTY_A,2017-01-05,0.915330,345800.56,245706.55,1434102.00,0.00,352186.35,352186.35,236866.70,236866.70
CPTY_A,2017-02-06,1.003002,359601.94,259468.09,1536685.50,0.00,366873.69,366873.69,248230.46,248230.46
CPTY_A,2017-03-06,1.079714,317335.53,316785.22,1413114.63,0.00,324240.70,366873.69,253630.90,256659.92
CPTY_A,2017-04-05,1.161906,328126.38,328137.25,1414825.50,0.00,335807.95,366873.69,259444.00,264456.30
CPTY_A,2017-05-05,1.244098,338032.72,337882.41,1457820.38,0.00,346505.03,366873.69,265195.72,271222.55
CPTY_A,2017-06-06,1.331769,346081.75,345884.28,1454308.50,0.00,355367.14,366873.69,271131.76,277519.32
CPTY_A,2017-07-05,1.411221,355088.47,354885.22,1522356.75,0.00,365184.86,366873.69,276426.97,282550.00
CPTY_A,2017-08-07,1.501632,370284.81,370317.53,1592601.00,0.00,381490.02,381490.02,282752.66,288507.02
CPTY_A,2017-09-05,1.581084,415520.09,318618.50,1659886.38,0.00,428762.65,428762.65,290089.90,295555.10
CPTY_A,2017-10-05,1.663276,423294.84,325773.97,1701402.75,0.00,437490.80,437490.80,297373.81,302568.94
CPTY_A,2017-11-06,1.750947,432297.63,335473.00,1759917.88,0.00,447565.40,447565.40,304894.01,309829.02
CPTY_A,2017-12-05,1.830399,441511.53,345014.66,1778268.88,0.00,457818.50,457818.50,311532.00,316252.79
CPTY_A,2018-01-05,1.915330,448921.66,353226.03,1888739.38,0.00,466279.40,466279.40,318393.96,322905.42
CPTY_A,2018-02-05,2.000262,456792.44,361312.28,1920172.50,0.00,475246.52,475246.52,325053.95,329373.86
CPTY_A,2018-03-05,2.076974,403612.72,407896.13,1777773.25,0.00,420555.99,475246.52,328581.29,334761.61
CPTY_A,2018-04-05,2.161906,412629.91,416505.31,1846773.00,0.00,430675.39,475246.52,332592.10,340280.63
CPTY_A,2018-05-08,2.252317,424411.53,428434.25,1916770.50,0.00,443766.03,475246.52,337054.77,345698.34
CPTY_A,2018-06-05,2.329029,432931.53,437162.31,1979118.63,0.00,453362.70,475246.52,340885.66,349965.33
CPTY_A,2018-07-05,2.411221,441126.41,445170.19,2043028.75,0.00,462696.78,475246.52,345037.86,354235.81
CPTY_A,2018-08-06,2.498892,451767.53,455464.13,2059605.13,0.00,474681.57,475246.52,349586.29,358481.36
CPTY_A,2018-09-05,2.581084,492511.50,399302.78,2119711.25,0.00,518335.06,518335.06,354959.91,363571.72
CPTY_A,2018-10-05,2.663276,503587.06,409321.22,2108116.75,0.00,530854.59,530854.59,360388.22,368734.27
CPTY_A,2018-11-05,2.748207,512400.53,417569.19,2150982.25,0.00,541054.45,541054.45,365971.59,374059.71
CPTY_A,2018-12-05,2.830399,518378.09,424401.56,2203855.50,0.00,548257.89,548257.89,371264.99,379118.24
CPTY_A,2019-01-07,2.920810,526720.69,432215.09,2213248.25,0.00,558079.61,558079.61,377047.66,384657.82
CPTY_A,2019-02-05,3.000262,535803.75,440579.81,2204125.50,0.00,568597.31,568597.31,382120.22,389528.85
CPTY_A,2019-03-05,3.076974,483079.78,483290.09,2173879.75,0.00,513425.66,568597.31,385393.81,393993.22
CPTY_A,2019-04-05,3.161906,487515.16,489517.81,2105909.50,0.00,519011.76,568597.31,388982.90,398683.24
CPTY_A,2019-05-07,3.249577,494021.50,495188.34,2264229.75,0.00,526852.27,568597.31,392702.52,403267.40
CPTY_A,2019-06-05,3.329029,505915.41,504359.75,2235209.50,0.00,540386.09,568597.31,396227.20,407213.23
CPTY_A,2019-07-05,3.411221,501471.66,505023.22,2215271.50,0.00,536512.03,568597.31,399607.30,411101.71
CPTY_A,2019-08-05,3.496152,500296.81,506622.53,2246053.75,0.00,536156.00,568597.31,402924.46,414927.72
CPTY_A,2019-09-05,3.581084,534535.25,446054.97,2313996.00,0.00,573812.72,573812.72,406977.36,418695.95
CPTY_A,2019-10-07,3.668755,538566.75,450099.41,2271676.75,0.00,579144.96,579144.96,411091.60,422530.16
CPTY_A,2019-11-05,3.748207,540877.50,453242.47,2300901.00,0.00,582545.59,582545.59,414725.97,425922.06
CPTY_A,2019-12-05,3.830399,546627.38,458896.13,2395047.50,0.00,589697.31,589697.31,418480.47,429436.31
CPTY_A,2020-01-06,3.918033,553554.00,465412.63,2468072.25,0.00,598207.27,598207.27,422500.38,433211.17
CPTY_A,2020-02-05,4.000000,562702.75,473440.88,2528847.75,0.00,609084.51,609084.51,426323.82,436815.14
CPTY_A,2020-03-05,4.079235,502431.16,505754.97,2272614.50,0.00,544699.24,609084.51,428623.14,440161.29
CPTY_A,2020-04-06,4.166667,508232.94,511423.81,2526725.25,0.00,551943.81,609084.51,431210.86,443705.91
CPTY_A,2020-05-05,4.245902,513853.56,517202.44,2549008.50,0.00,558924.06,609084.51,433594.18,446792.13
CPTY_A,2020-06-05,4.330601,522736.47,525425.69,2510125.25,0.00,569540.47,609084.51,436253.07,449966.30
CPTY_A,2020-07-06,4.415301,525588.44,530397.31,2491898.75,0.00,573609.00,609084.51,438887.99,453018.69
CPTY_A,2020-08-05,4.497268,530715.81,535788.88,2547572.75,0.00,580145.61,609084.51,441462.55,455863.15
CPTY_A,2020-09-08,4.590164,558436.63,471974.13,2673236.50,0.00,611572.20,611572.20,444905.24,459014.40
CPTY_A,2020-10-05,4.663934,565355.25,477893.97,2680253.50,0.00,620054.22,620054.22,447675.62,461561.60
CPTY_A,2020-11-05,4.748634,566979.00,480669.91,2675228.50,0.00,622878.80,622878.80,450800.64,464438.95
CPTY_A,2020-12-07,4.836066,571692.81,485672.25,2658563.00,0.00,629145.59,629145.59,454024.96,467416.70
CPTY_A,2021-01-05,4.915330,577727.38,490565.59,2683707.50,0.00,636784.92,636784.92,456972.16,470147.94
CPTY_A,2021-02-05,5.000262,579771.88,493103.97,2811170.50,0.00,640110.99,640110.99,460082.85,473034.84
CPTY_A,2021-03-05,5.076974,517743.97,522688.81,2570611.75,0.00,572496.25,640110.99,461781.40,475559.33
CPTY_A,2021-04-06,5.164646,518365.47,524648.19,2617542.25,0.00,574179.37,640110.99,463689.38,478352.64
CPTY_A,2021-05-05,5.244098,522241.72,528472.50,2600199.75,0.00,579383.81,640110.99,465442.24,480803.40
CPTY_A,2021-06-07,5.334509,533010.13,535768.50,2573235.50,0.00,592390.00,640110.99,467593.79,483503.40
CPTY_A,2021-07-06,5.413961,531122.44,538932.81,2519642.00,0.00,591221.46,640110.99,469408.08,485801.68
CPTY_A,2021-08-05,5.496152,540088.94,543815.69,2676279.75,0.00,602181.81,640110.99,471393.63,488109.28
CPTY_A,2021-09-07,5.586563,555865.50,473677.22,2695404.50,0.00,620882.73,640110.99,473812.91,490569.23
CPTY_A,2021-10-05,5.663276,555744.44,474205.72,2699655.25,0.00,621691.11,640110.99,475816.00,492594.85
CPTY_A,2021-11-05,5.748207,558061.56,477265.19,2662308.50,0.00,625333.99,640110.99,478025.18,494774.45
CPTY_A,2021-12-06,5.833139,559569.94,480142.09,2597224.25,0.00,628079.57,640110.99,480210.00,496890.58
CPTY_A,2022-01-05,5.915330,564391.94,484838.84,2521673.50,0.00,634523.79,640110.99,482354.14,498880.58
CPTY_A,2022-02-07,6.005741,568625.38,489328.25,2640157.25,0.00,640428.77,640428.77,484733.81,501011.46
CPTY_A,2022-03-07,6.082454,506961.63,518050.94,2375761.50,0.00,571846.38,640428.77,485832.48,502769.80
CPTY_A,2022-04-05,6.161906,510091.75,521479.47,2391979.75,0.00,576283.06,640428.77,486998.76,504544.79
CPTY_A,2022-05-05,6.244098,512398.69,523503.34,2518099.00,0.00,579832.28,640428.77,488220.74,506333.44
CPTY_A,2022-06-07,6.334509,518483.94,529524.56,2327862.75,0.00,587769.66,640428.77,489641.57,508247.35
CPTY_A,2022-07-05,6.411221,520922.94,532812.81,2440715.75,0.00,591432.32,640428.77,490859.53,509828.95
CPTY_A,2022-08-05,6.496152,524623.50,537007.81,2493181.00,0.00,596636.33,640428.77,492242.47,511536.42
CPTY_A,2022-09-06,6.583824,547200.13,471945.72,2353008.50,0.00,623393.18,640428.77,493988.90,513252.78
CPTY_A,2022-10-05,6.663276,550808.00,475418.91,2451407.25,0.00,628491.43,640428.77,495592.69,514769.21
CPTY_A,2022-11-07,6.753687,556543.38,480270.72,2500288.75,0.00,636173.60,640428.77,497474.63,516451.40
CPTY_A,2022-12-05,6.830399,561777.13,485843.25,2470928.50,0.00,643132.39,643132.39,499110.51,517874.16
CPTY_A,2023-01-05,6.915330,562848.00,487831.09,2454828.25,0.00,645442.89,645442.89,500907.71,519440.91
