#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,597.96,597.96,597.96,597.96,597.96
CPTY_A,2016-03-07,0.084699,96929.98,96054.23,386882.53,0.00,97096.22,97096.22,97096.22,97096.22
CPTY_A,2016-04-05,0.163934,130896.14,130205.13,551666.63,0.00,131330.99,131330.99,113643.03,113643.03
CPTY_A,2016-05-06,0.248634,159248.64,158382.00,655156.25,0.00,160051.70,160051.70,129452.57,129452.57
CPTY_A,2016-06-06,0.333333,182673.00,182140.92,800490.63,0.00,183909.07,183909.07,143289.88,143289.88
CPTY_A,2016-07-05,0.412568,202228.08,202389.14,864578.81,0.00,203923.10,203923.10,154934.67,154934.67
CPTY_A,2016-08-05,0.497268,222166.55,221826.53,986649.38,0.00,224412.89,224412.89,166768.87,166768.87
CPTY_A,2016-09-06,0.584699,292443.13,190370.70,1133516.88,0.00,295910.82,295910.82,186079.82,186079.82
CPTY_A,2016-10-05,0.663934,303932.41,201602.94,1162970.63,0.00,308016.56,308016.56,200631.94,200631.94
CPTY_A,2016-11-07,0.754098,324111.25,221052.39,1223620.38,0.00,329050.29,329050.29,215986.31,215986.31
CPTY_A,2016-12-05,0.830601,336182.66,234465.25,1280390.75,0.00,341820.23,341820.23,227576.27,227576.27
CPTY_A,2017-01-05,0.915330,347442.78,245283.95,1328454.13,0.00,353858.90,353858.90,239265.88,239265.88
CPTY_A,2017-02-06,1.003002,358948.34,257299.06,1421967.13,0.00,366206.89,366206.89,250361.65,250361.65
CPTY_A,2017-03-06,1.079714,314138.69,312847.31,1348464.88,0.00,320974.30,366206.89,255378.59,258592.31
CPTY_A,2017-04-05,1.161906,326071.06,325234.97,1375425.50,0.00,333704.51,366206.89,260919.27,266204.83
CPTY_A,2017-05-05,1.244098,337617.97,336663.16,1399835.13,0.00,346079.89,366206.89,266545.43,272811.50
CPTY_A,2017-06-06,1.331769,350644.75,349337.03,1488251.38,0.00,360052.56,366206.89,272701.07,278959.78
CPTY_A,2017-07-05,1.411221,361552.44,360359.28,1523934.38,0.00,371832.63,371832.63,278282.20,284188.55
CPTY_A,2017-08-07,1.501632,367768.72,367188.63,1578462.13,0.00,378897.79,378897.79,284340.11,289890.84
CPTY_A,2017-09-05,1.581084,418537.50,319592.19,1761890.38,0.00,431876.25,431876.25,291754.04,297025.84
CPTY_A,2017-10-05,1.663276,428174.31,328177.91,1798974.75,0.00,442533.89,442533.89,299204.92,304216.21
CPTY_A,2017-11-06,1.750947,441283.19,340459.31,1843342.75,0.00,456868.34,456868.34,307099.25,311859.62
CPTY_A,2017-12-05,1.830399,449982.69,348815.94,1844494.88,0.00,466602.55,466602.55,314022.80,318576.54
CPTY_A,2018-01-05,1.915330,459383.06,359074.94,1847601.13,0.00,477145.31,477145.31,321256.14,325607.95
CPTY_A,2018-02-05,2.000262,466906.69,366135.38,1873258.25,0.00,485769.39,485769.39,328241.41,332408.44
CPTY_A,2018-03-05,2.076974,412993.25,412507.53,1776214.13,0.00,430330.29,485769.39,332012.02,338072.77
CPTY_A,2018-04-05,2.161906,421405.53,421660.50,1823635.00,0.00,439834.82,485769.39,336247.89,343875.11
CPTY_A,2018-05-08,2.252317,434807.00,434398.97,1888494.13,0.00,454635.57,485769.39,341000.13,349570.93
CPTY_A,2018-06-05,2.329029,444121.69,442444.69,1896453.00,0.00,465080.97,485769.39,345087.04,354056.96
CPTY_A,2018-07-05,2.411221,450021.69,449596.97,1894428.00,0.00,472027.03,485769.39,349414.07,358546.67
CPTY_A,2018-08-06,2.498892,453837.94,454090.41,1939163.13,0.00,476856.99,485769.39,353885.28,363010.16
CPTY_A,2018-09-05,2.581084,490843.63,394215.28,1998640.63,0.00,516579.73,516579.73,359066.11,367900.41
CPTY_A,2018-10-05,2.663276,499767.75,401869.56,2085006.88,0.00,526828.50,526828.50,364243.45,372805.12
