#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,597.96,597.96,597.96,597.96,597.96
CPTY_A,2016-03-07,0.084699,95879.12,94222.53,387085.28,0.00,96043.56,96043.56,96043.56,96043.56
CPTY_A,2016-04-05,0.163934,131095.75,130967.95,517079.28,0.00,131531.27,131531.27,113195.95,113195.95
CPTY_A,2016-05-06,0.248634,158443.27,158177.20,630487.19,0.00,159242.27,159242.27,128882.06,128882.06
CPTY_A,2016-06-06,0.333333,181260.63,180139.95,735517.25,0.00,182487.12,182487.12,142503.02,142503.02
CPTY_A,2016-07-05,0.412568,201555.88,200426.70,782681.25,0.00,203245.25,203245.25,154168.75,154168.75
CPTY_A,2016-08-05,0.497268,220511.67,219068.42,886004.13,0.00,222741.29,222741.29,165848.68,165848.68
CPTY_A,2016-09-06,0.584699,290929.66,188247.77,1015167.94,0.00,294379.41,294379.41,185068.23,185068.23
CPTY_A,2016-10-05,0.663934,303762.97,200494.06,1087318.25,0.00,307844.86,307844.86,199720.59,199720.59
CPTY_A,2016-11-07,0.754098,318454.84,215159.98,1153458.63,0.00,323307.70,323307.70,214497.31,214497.31
CPTY_A,2016-12-05,0.830601,332077.53,229117.14,1240089.25,0.00,337646.24,337646.24,225839.97,225839.97
CPTY_A,2017-01-05,0.915330,345375.69,242534.41,1288756.50,0.00,351753.63,351753.63,237495.42,237495.42
CPTY_A,2017-02-06,1.003002,360277.53,257267.66,1369515.75,0.00,367562.95,367562.95,248864.47,248864.47
CPTY_A,2017-03-06,1.079714,318802.06,315969.63,1265635.13,0.00,325739.15,367562.95,254326.32,257297.85
CPTY_A,2017-04-05,1.161906,327727.59,324795.50,1272408.63,0.00,335399.83,367562.95,260061.36,265097.87
CPTY_A,2017-05-05,1.244098,338685.97,335701.28,1310027.25,0.00,347174.67,367562.95,265816.54,271867.26
CPTY_A,2017-06-06,1.331769,347554.75,343846.44,1310448.25,0.00,356879.65,367562.95,271811.28,278166.97
CPTY_A,2017-07-05,1.411221,356828.94,352005.19,1358500.25,0.00,366974.80,367562.95,277169.01,283199.99
CPTY_A,2017-08-07,1.501632,371842.06,367454.44,1416343.50,0.00,383094.41,383094.41,283546.62,289214.48
CPTY_A,2017-09-05,1.581084,418346.91,316384.91,1470000.13,0.00,431679.58,431679.58,290990.54,296373.58
CPTY_A,2017-10-05,1.663276,427381.69,324477.09,1501850.63,0.00,441714.69,441714.69,298438.67,303555.70
CPTY_A,2017-11-06,1.750947,436514.94,333764.97,1545081.75,0.00,451931.69,451931.69,306124.18,310985.00
CPTY_A,2017-12-05,1.830399,445649.66,343812.09,1561222.50,0.00,462109.49,462109.49,312895.02,317544.85
CPTY_A,2018-01-05,1.915330,453466.78,351420.63,1633412.38,0.00,471000.27,471000.27,319905.89,324349.53
CPTY_A,2018-02-05,2.000262,461864.31,360336.81,1664892.25,0.00,480523.29,480523.29,326725.73,330980.70
CPTY_A,2018-03-05,2.076974,406860.38,404542.81,1547272.38,0.00,423939.96,480523.29,330316.31,336504.00
CPTY_A,2018-04-05,2.161906,415389.75,413815.69,1594794.75,0.00,433555.95,480523.29,334372.13,342161.87
CPTY_A,2018-05-08,2.252317,427792.66,426598.28,1641896.88,0.00,447301.35,480523.29,338905.25,347715.88
