#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20y,2016-02-05,0.000000,598,0,0,0,598,598,598,597.96,597.96
Swap_20y,2016-03-07,0.084699,95879,94223,0,0,387085,96044,96044,96043.56,96043.56
Swap_20y,2016-04-05,0.163934,131096,130968,0,0,517079,131531,131531,113195.95,113195.95
Swap_20y,2016-05-06,0.248634,158443,158177,0,0,630487,159242,159242,128882.06,128882.06
Swap_20y,2016-06-06,0.333333,181261,180140,0,0,735517,182487,182487,142503.02,142503.02
Swap_20y,2016-07-05,0.412568,201556,200427,0,0,782681,203245,203245,154168.75,154168.75
Swap_20y,2016-08-05,0.497268,220512,219068,0,0,886004,222741,222741,165848.68,165848.68
Swap_20y,2016-09-06,0.584699,290930,188248,0,0,1015168,294379,294379,185068.23,185068.23
Swap_20y,2016-10-05,0.663934,303763,200494,0,0,1087318,307845,307845,199720.59,199720.59
Swap_20y,2016-11-07,0.754098,318455,215160,0,0,1153459,323308,323308,214497.31,214497.31
Swap_20y,2016-12-05,0.830601,332078,229117,0,0,1240089,337646,337646,225839.97,225839.97
Swap_20y,2017-01-05,0.915330,345376,242534,0,0,1288757,351754,351754,237495.42,237495.42
Swap_20y,2017-02-06,1.003002,360278,257268,0,0,1369516,367563,367563,248864.47,248864.47
Swap_20y,2017-03-06,1.079714,318802,315970,0,0,1265635,325739,367563,254326.32,257297.85
Swap_20y,2017-04-05,1.161906,327728,324796,0,0,1272409,335400,367563,260061.36,265097.87
Swap_20y,2017-05-05,1.244098,338686,335701,0,0,1310027,347175,367563,265816.54,271867.26
Swap_20y,2017-06-06,1.331769,347555,343846,0,0,1310448,356880,367563,271811.28,278166.97
Swap_20y,2017-07-05,1.411221,356829,352005,0,0,1358500,366975,367563,277169.01,283199.99
Swap_20y,2017-08-07,1.501632,371842,367454,0,0,1416344,383094,383094,283546.62,289214.48
Swap_20y,2017-09-05,1.581084,418347,316385,0,0,1470000,431680,431680,290990.54,296373.58
Swap_20y,2017-10-05,1.663276,427382,324477,0,0,1501851,441715,441715,298438.67,303555.70
Swap_20y,2017-11-06,1.750947,436515,333765,0,0,1545082,451932,451932,306124.18,310985.00
Swap_20y,2017-12-05,1.830399,445650,343812,0,0,1561223,462109,462109,312895.02,317544.85
Swap_20y,2018-01-05,1.915330,453467,351421,0,0,1633412,471000,471000,319905.89,324349.53
Swap_20y,2018-02-05,2.000262,461864,360337,0,0,1664892,480523,480523,326725.73,330980.70
Swap_20y,2018-03-05,2.076974,406860,404543,0,0,1547272,423940,480523,330316.31,336504.00
Swap_20y,2018-04-05,2.161906,415390,413816,0,0,1594795,433556,480523,334372.13,342161.87
Swap_20y,2018-05-08,2.252317,427793,426598,0,0,1641897,447301,480523,338905.25,347715.88
Swap_20y,2018-06-05,2.329029,436019,434976,0,0,1686305,456595,480523,342781.67,352090.22
Swap_20y,2018-07-05,2.411221,444300,443262,0,0,1730809,466026,480523,346982.71,356468.14
Swap_20y,2018-08-06,2.498892,452033,451613,0,0,1740352,474961,480523,351472.69,360820.50
Swap_20y,2018-09-05,2.581084,492905,396279,0,0,1784253,518749,518749,356799.43,365849.56
Swap_20y,2018-10-05,2.663276,505346,408837,0,0,1782205,532708,532708,362228.18,370999.02
Swap_20y,2018-11-05,2.748207,512638,416220,0,0,1811057,541305,541305,367762.42,376262.20
Swap_20y,2018-12-05,2.830399,520402,424037,0,0,1847327,550398,550398,373065.97,381318.93
Swap_20y,2019-01-07,2.920810,527248,431117,0,0,1854930,558638,558638,378810.18,386807.68
Swap_20y,2019-02-05,3.000262,534995,439281,0,0,1855520,567739,567739,383813.33,391599.04
Swap_20y,2019-03-05,3.076974,479378,480034,0,0,1804788,509491,567739,386946.62,395990.40
Swap_20y,2019-04-05,3.161906,485493,486817,0,0,1772477,516859,567739,390436.19,400603.70
Swap_20y,2019-05-07,3.249577,493843,494171,0,0,1865738,526662,567739,394111.45,405112.89
Swap_20y,2019-06-05,3.329029,503364,505730,0,0,1853237,537661,567739,397537.47,408994.18
Swap_20y,2019-07-05,3.411221,502720,504607,0,0,1842828,537848,567739,400918.19,412819.06
Swap_20y,2019-08-05,3.496152,504883,506596,0,0,1863015,541071,567739,404322.90,416582.50
Swap_20y,2019-09-05,3.581084,539066,445337,0,0,1903082,578677,578677,408458.00,420426.84
Swap_20y,2019-10-07,3.668755,540581,445179,0,0,1885175,581311,581311,412588.63,424271.45
Swap_20y,2019-11-05,3.748207,544762,449252,0,0,1907093,586729,586729,416279.94,427715.12
Swap_20y,2019-12-05,3.830399,552287,457434,0,0,1959300,595803,595803,420132.10,431321.90
Swap_20y,2020-01-06,3.918033,558968,464704,0,0,1997569,604058,604058,424245.93,435185.46
Swap_20y,2020-02-05,4.000000,565851,473102,0,0,2035765,612492,612492,428103.44,438818.80
Swap_20y,2020-03-05,4.079235,505968,506058,0,0,1863244,548533,612492,430442.67,442192.23
Swap_20y,2020-04-06,4.166667,510659,511404,0,0,1993550,554578,612492,433047.48,445765.74
Swap_20y,2020-05-05,4.245902,517295,517389,0,0,2014428,562667,612492,435466.39,448877.11
Swap_20y,2020-06-05,4.330601,522279,522340,0,0,1998429,569042,612492,438078.92,452077.16
Swap_20y,2020-07-06,4.415301,529239,528984,0,0,1989019,577593,612492,440755.23,455154.43
Swap_20y,2020-08-05,4.497268,533703,532935,0,0,2023123,583411,612492,443355.28,458022.08
Swap_20y,2020-09-08,4.590164,562661,469587,0,0,2081129,616199,616199,446853.30,461223.27
Swap_20y,2020-10-05,4.663934,567541,473918,0,0,2086521,622451,622451,449630.76,463773.44
Swap_20y,2020-11-05,4.748634,572971,478935,0,0,2087208,629462,629462,452838.33,466728.75
Swap_20y,2020-12-07,4.836066,575844,482152,0,0,2085873,633714,633714,456108.40,469747.70
Swap_20y,2021-01-05,4.915330,580710,487689,0,0,2102877,640073,640073,459075.03,472494.37
Swap_20y,2021-02-05,5.000262,584960,490929,0,0,2170017,645839,645839,462247.29,475438.71
Swap_20y,2021-03-05,5.076974,522383,519701,0,0,2006853,577625,645839,463990.64,478013.44
Swap_20y,2021-04-06,5.164646,526056,523874,0,0,2034046,582698,645839,466005.74,480862.33
Swap_20y,2021-05-05,5.244098,530708,528351,0,0,2026031,588776,645839,467865.80,483361.85
Swap_20y,2021-06-07,5.334509,539930,539838,0,0,2017949,600081,645839,470106.62,486115.57
Swap_20y,2021-07-06,5.413961,541250,539114,0,0,2001827,602495,645839,472049.48,488459.59
Swap_20y,2021-08-05,5.496152,546884,547176,0,0,2066764,609758,645839,474108.84,490813.11
Swap_20y,2021-09-07,5.586563,566788,474972,0,0,2073741,633083,645839,476681.61,493322.00
Swap_20y,2021-10-05,5.663276,569404,476600,0,0,2079599,636971,645839,478852.83,495387.93
Swap_20y,2021-11-05,5.748207,572816,479946,0,0,2062891,641867,645839,481261.42,497610.90
Swap_20y,2021-12-06,5.833139,575345,483304,0,0,2039659,645786,645839,483656.93,499769.13
Swap_20y,2022-01-05,5.915330,581505,489945,0,0,2009317,653763,653763,486020.50,501908.83
Swap_20y,2022-02-07,6.005741,584335,493106,0,0,2060646,658122,658122,488611.34,504260.48
Swap_20y,2022-03-07,6.082454,521654,520614,0,0,1896366,588419,658122,489870.12,506200.99
Swap_20y,2022-04-05,6.161906,526845,526745,0,0,1904758,595210,658122,491228.38,508159.88
Swap_20y,2022-05-05,6.244098,529163,527870,0,0,1964845,598802,658122,492644.39,510133.85
Swap_20y,2022-06-07,6.334509,533729,531996,0,0,1886954,605052,658122,494248.75,512246.05
