#TradeId,ResultId,ResultType,ResultValue
BERMUDAN_SWAPTION,PricingConfigEngine,string,Grid
BERMUDAN_SWAPTION,PricingConfigModel,string,LGM
BERMUDAN_SWAPTION,PricingConfigProductType[0],string,AmericanSwaption
BERMUDAN_SWAPTION,PricingConfigProductType[1],string,AmericanSwaption_NonStandard
BERMUDAN_SWAPTION,PricingConfigProductType[2],string,BermudanSwaption
BERMUDAN_SWAPTION,PricingConfigProductType[3],string,BermudanSwaption_NonStandard
BERMUDAN_SWAPTION,PricingConfigProductType[4],string,EuropeanSwaption
BERMUDAN_SWAPTION,PricingConfigProductType[5],string,EuropeanSwaption_NonStandard
BERMUDAN_SWAPTION,amount[1],double,64037.864927102280
BERMUDAN_SWAPTION,amount[2],double,499004.416498241015
BERMUDAN_SWAPTION,currentNotional[1],double,10000000.000000000000
BERMUDAN_SWAPTION,currentNotional[2],double,10000000.000000000000
BERMUDAN_SWAPTION,index[1],string,Euribor3M Actual/360
BERMUDAN_SWAPTION,isPayer[1],bool,true
BERMUDAN_SWAPTION,isPayer[2],bool,false
BERMUDAN_SWAPTION,isdaAssetClass,string,Interest Rate
BERMUDAN_SWAPTION,isdaBaseProduct,string,Option
BERMUDAN_SWAPTION,isdaSubProduct,string,Swaption
BERMUDAN_SWAPTION,isdaTransaction,string,
BERMUDAN_SWAPTION,legType[1],string,Floating
BERMUDAN_SWAPTION,legType[2],string,Fixed
BERMUDAN_SWAPTION,notionalCurrency[1],string,EUR
BERMUDAN_SWAPTION,notionalCurrency[2],string,EUR
BERMUDAN_SWAPTION,originalNotional[1],double,10000000.000000000000
BERMUDAN_SWAPTION,originalNotional[2],double,10000000.000000000000
BERMUDAN_SWAPTION,paymentDate[1],string,2035-12-24
BERMUDAN_SWAPTION,paymentDate[2],string,2036-09-23
BERMUDAN_SWAPTION,rate[1],double,0.025333660850
BERMUDAN_SWAPTION,rate[2],double,0.050000000000
BERMUDAN_SWAPTION,spread[1],double,0.000000000000
BERMUDAN_SWAPTION,instMultiplier,double,1.000000000000
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[0],double,6.822034779311
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[1],double,6.063795442088
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[2],double,5.321020103719
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[3],double,4.597649054703
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[4],double,3.887451171020
BERMUDAN_SWAPTION,lgmCalibrationBasketAnnuities[5],double,3.202076239961
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[0],double,0.022642005700
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[1],double,0.022321691132
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[2],double,0.021926197234
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[3],double,0.021416557459
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[4],double,0.020731762331
BERMUDAN_SWAPTION,lgmCalibrationBasketAtmForwards[5],double,0.020362868620
BERMUDAN_SWAPTION,lgmCalibrationBasketExpiryTimes[0],double,10.621917808219
BERMUDAN_SWAPTION,lgmCalibrationBasketExpiryTimes[1],double,11.621917808219
BERMUDAN_SWAPTION,lgmCalibrationBasketExpiryTimes[2],double,12.621917808219
BERMUDAN_SWAPTION,lgmCalibrationBasketExpiryTimes[3],double,13.621917808219
