#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,36916588.00,0.00,-36916587.49,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-05,0.245902,0.00,36916588.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,15048.65,36518648.00,0.00,0.00,15200.84,15200.84,7683.94,7683.94
BASE,CPTY_A,2016-11-07,0.754098,0.00,36615168.00,0.00,0.00,0.00,15200.84,5066.95,10244.05
BASE,CPTY_A,2017-02-06,1.003002,2015.11,35276436.00,0.00,0.00,2056.21,15200.84,4319.81,11474.12
BASE,CPTY_A,2017-05-05,1.244098,68134.52,35173828.00,0.00,0.00,69863.75,69863.75,17021.68,22789.55
BASE,CPTY_A,2017-08-07,1.501632,114572.98,33992380.00,0.00,0.00,118091.43,118091.43,34355.44,39134.10
BASE,CPTY_A,2017-11-06,1.750947,67388.95,34055256.00,0.00,0.00,69806.07,118091.43,39403.21,50376.73
BASE,CPTY_A,2018-02-05,2.000262,131034.92,32766868.00,0.00,0.00,136410.95,136410.95,51494.37,61100.14
BASE,CPTY_A,2018-05-07,2.249577,143875.70,32557256.00,0.00,0.00,150529.64,150529.64,62470.21,71011.39
BASE,CPTY_A,2018-08-06,2.498892,262061.97,31610130.00,0.00,0.00,275557.48,275557.48,83729.97,91419.00
BASE,CPTY_A,2018-11-05,2.748207,326361.31,31792972.00,0.00,0.00,344889.96,344889.96,107422.19,114413.68
BASE,CPTY_A,2019-02-05,3.000262,357870.59,30764618.00,0.00,0.00,380106.62,380106.62,130330.66,136734.79
BASE,CPTY_A,2019-05-06,3.246837,443439.56,30637696.00,0.00,0.00,473329.59,473329.59,156379.11,162296.89
BASE,CPTY_A,2019-08-05,3.496152,444481.13,29673468.00,0.00,0.00,476821.94,476821.94,179230.30,184726.07
BASE,CPTY_A,2019-11-05,3.748207,576135.94,29923762.00,0.00,0.00,621191.45,621191.45,208950.75,214076.95
BASE,CPTY_A,2020-02-05,4.000000,601782.31,28975230.00,0.00,0.00,652134.98,652134.98,236848.40,241651.92
BASE,CPTY_A,2020-05-05,4.245902,674452.06,28847342.00,1557360.46,0.00,734512.01,734512.01,265670.62,270195.94
BASE,CPTY_A,2020-08-05,4.497268,763131.19,28064892.00,489800.57,0.00,835303.95,835303.95,297509.18,301781.56
BASE,CPTY_A,2020-11-05,4.748634,843389.56,28263280.00,1573277.45,0.00,927835.74,927835.74,330875.14,334921.37
BASE,CPTY_A,2021-02-05,5.000262,1018424.13,27560726.00,4597765.27,0.00,1126079.53,1126079.53,370892.20,374734.81
BASE,CPTY_A,2021-05-05,5.244098,1102100.13,27454094.00,3649468.71,0.00,1224580.34,1224580.34,410586.27,414250.21
BASE,CPTY_A,2021-08-05,5.496152,1176707.13,26733888.00,3700351.82,0.00,1314111.27,1314111.27,452022.13,455518.04
BASE,CPTY_A,2021-11-05,5.748207,1243277.00,26920112.00,5642068.16,0.00,1395497.88,1395497.88,493392.87,496735.49
BASE,CPTY_A,2022-02-07,6.005741,1310407.75,26170668.00,5396907.92,0.00,1478471.81,1478471.81,535634.38,538833.66
BASE,CPTY_A,2022-05-05,6.244098,1465340.13,26143270.00,9499443.62,0.00,1661204.57,1661204.57,578600.81,581677.96
BASE,CPTY_A,2022-08-05,6.496152,1545192.00,25489314.00,9512235.87,0.00,1760615.95,1760615.95,624463.74,627421.50
BASE,CPTY_A,2022-11-07,6.753687,1587921.00,25649348.00,8301360.05,0.00,1818680.37,1818680.37,670002.08,672847.05
BASE,CPTY_A,2023-02-06,7.003002,1782980.50,25086100.00,12566594.90,0.00,2052332.55,2052332.55,719214.66,721958.35
BASE,CPTY_A,2023-05-05,7.244098,1910558.00,25037740.00,12911653.19,0.00,2209852.65,2209852.65,768825.63,771478.01
BASE,CPTY_A,2023-08-07,7.501632,2028465.88,24431434.00,13842767.01,0.00,2358392.59,2358392.59,823396.15,825957.47
BASE,CPTY_A,2023-11-06,7.750947,2045774.00,24565268.00,14719625.63,0.00,2390450.18,2390450.18,873801.63,876280.56
BASE,CPTY_A,2024-02-05,8.000000,2286833.75,24082616.00,17441138.88,0.00,2685531.59,2685531.59,930203.74,932605.50
BASE,CPTY_A,2024-05-06,8.248634,2431420.75,24058886.00,18412964.21,0.00,2869652.48,2869652.48,988663.44,990992.80
BASE,CPTY_A,2024-08-05,8.497268,2593796.50,23541796.00,19012702.78,0.00,3076653.53,3076653.53,1049758.97,1052020.17
BASE,CPTY_A,2024-11-05,8.748634,2569550.00,23635160.00,18384770.49,0.00,3063353.93,3076653.53,1107613.67,1110192.03
BASE,CPTY_A,2025-02-05,9.000262,2763830.50,23142176.00,21483522.93,0.00,3311684.28,3311684.28,1169234.78,1171741.05
BASE,CPTY_A,2025-05-05,9.244098,2850255.50,23065704.00,22249422.21,0.00,3431999.31,3431999.31,1228920.71,1231360.87
BASE,CPTY_A,2025-08-05,9.496152,3045687.25,22632248.00,19065356.28,0.00,3685923.31,3685923.31,1294136.52,1296511.92
BASE,CPTY_A,2025-11-05,9.748207,3137315.50,22837886.00,20381582.66,0.00,3816074.03,3816074.03,1359345.07,1361659.05
