#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,BermSwp,2016-02-05,0.000000,51438,0,0,0,51438,51438,51438,51438.23,51438.23
BASE,BermSwp,2016-05-05,0.245902,51438,0,0,0,66681,51695,51695,51695.47,51695.47
BASE,BermSwp,2016-08-05,0.497268,51450,0,0,0,75871,51971,51971,51834.52,51834.52
BASE,BermSwp,2016-11-07,0.754098,51506,0,0,0,80150,52296,52296,51991.79,51991.79
BASE,BermSwp,2017-02-06,1.003002,51463,0,0,0,88040,52512,52512,52120.96,52120.96
BASE,BermSwp,2017-05-05,1.244098,51457,0,0,0,84562,52763,52763,52245.43,52245.43
BASE,BermSwp,2017-08-07,1.501632,51452,0,0,0,89190,53032,53032,52380.40,52380.40
BASE,BermSwp,2017-11-06,1.750947,51440,0,0,0,89044,53285,53285,52509.18,52509.18
BASE,BermSwp,2018-02-05,2.000262,51442,0,0,0,88302,53553,53553,52639.24,52639.24
BASE,BermSwp,2018-05-07,2.249577,51438,0,0,0,98244,53817,53817,52769.79,52769.79
BASE,BermSwp,2018-08-06,2.498892,51438,0,0,0,98614,54087,54087,52901.22,52901.22
BASE,BermSwp,2018-11-05,2.748207,51526,0,0,0,99028,54451,54451,53041.81,53041.81
BASE,BermSwp,2019-02-05,3.000262,51438,0,0,0,104980,54634,54634,53175.59,53175.59
BASE,BermSwp,2019-05-06,3.246837,51438,0,0,0,118954,54905,54905,53306.96,53306.96
BASE,BermSwp,2019-08-05,3.496152,51438,0,0,0,113960,55181,55181,53440.60,53440.60
BASE,BermSwp,2019-11-05,3.748207,51438,0,0,0,118765,55461,55461,53576.45,53576.45
BASE,BermSwp,2020-02-05,4.000000,51438,0,0,0,130895,55742,55742,53712.78,53712.78
BASE,BermSwp,2020-05-05,4.245902,51438,0,0,0,130194,56019,56019,53846.33,53846.33
BASE,BermSwp,2020-08-05,4.497268,51439,0,0,0,125696,56304,56304,53983.71,53983.71
BASE,BermSwp,2020-11-05,4.748634,51458,0,0,0,128453,56610,56610,54122.75,54122.75
BASE,BermSwp,2021-02-05,5.000262,51438,0,0,0,130585,56876,56876,54261.28,54261.28
BASE,BermSwp,2021-05-05,5.244098,51438,0,0,0,138329,57155,57155,54395.82,54395.82
BASE,BermSwp,2021-08-05,5.496152,51438,0,0,0,139321,57445,57445,54535.64,54535.64
BASE,BermSwp,2021-11-05,5.748207,51525,0,0,0,136526,57834,57834,54680.25,54680.25
BASE,BermSwp,2022-02-07,6.005741,51511,0,0,0,141390,58117,58117,54827.63,54827.63
BASE,BermSwp,2022-05-05,6.244098,51487,0,0,0,145777,58369,58369,54962.81,54962.81
BASE,BermSwp,2022-08-05,6.496152,51651,0,0,0,150304,58852,58852,55113.72,55113.72
BASE,BermSwp,2022-11-07,6.753687,51473,0,0,0,151660,58953,58953,55260.12,55260.12
BASE,BermSwp,2023-02-06,7.003002,51519,0,0,0,151142,59302,59302,55404.00,55404.00
BASE,BermSwp,2023-05-05,7.244098,51447,0,0,0,158433,59507,59507,55540.55,55540.55
BASE,BermSwp,2023-08-07,7.501632,51454,0,0,0,165644,59823,59823,55687.57,55687.57
BASE,BermSwp,2023-11-06,7.750947,51462,0,0,0,163471,60132,60132,55830.54,55830.54
BASE,BermSwp,2024-02-05,8.000000,51476,0,0,0,173201,60451,60451,55974.39,55974.39
BASE,BermSwp,2024-05-06,8.248634,51500,0,0,0,175912,60782,60782,56119.32,56119.32
BASE,BermSwp,2024-08-05,8.497268,51511,0,0,0,179554,61100,61100,56265.06,56265.06
BASE,BermSwp,2024-11-05,8.748634,51519,0,0,0,181365,61420,61420,56413.18,56413.18
BASE,BermSwp,2025-02-05,9.000262,51537,0,0,0,181155,61753,61753,56562.47,56562.47
BASE,BermSwp,2025-05-05,9.244098,51545,0,0,0,182191,62066,62066,56707.62,56707.62
BASE,BermSwp,2025-08-05,9.496152,51532,0,0,0,189631,62365,62365,56857.79,56857.79
BASE,BermSwp,2025-11-05,9.748207,51512,0,0,0,193820,62657,62657,57007.73,57007.73
BASE,BermSwp,2026-02-05,10.000262,51505,0,0,0,194817,62965,62965,57157.89,57157.89
BASE,BermSwp,2026-05-05,10.244098,51593,0,0,0,195009,63383,63383,57306.05,57306.05
BASE,BermSwp,2026-08-05,10.496152,51479,6,0,0,197187,63563,63563,57456.32,57456.32
BASE,BermSwp,2026-11-05,10.748207,46100,68,0,0,174366,57211,63563,57450.55,57599.53
BASE,BermSwp,2027-02-05,11.000262,46091,117,0,0,182866,57490,63563,57451.45,57736.19
BASE,BermSwp,2027-05-05,11.244098,46826,114,0,0,188420,58693,63563,57478.38,57862.55
BASE,BermSwp,2027-08-05,11.496152,46864,184,0,0,193207,59038,63563,57512.58,57987.54
BASE,BermSwp,2027-11-05,11.748207,41325,366,0,0,171024,52325,63563,57401.28,58107.17
BASE,BermSwp,2028-02-07,12.005464,41432,458,0,0,169387,52732,63563,57301.22,58224.09
BASE,BermSwp,2028-05-05,12.245902,42281,348,0,0,173611,54074,63563,57237.84,58328.92
BASE,BermSwp,2028-08-07,12.502732,42487,445,0,0,177745,54619,63563,57184.06,58436.44
BASE,BermSwp,2028-11-06,12.751366,36998,719,0,0,157716,47802,63563,57001.11,58536.41
BASE,BermSwp,2029-02-05,13.000262,37093,922,0,0,160504,48164,63563,56831.93,58632.66
BASE,BermSwp,2029-05-07,13.249577,37640,654,0,0,157368,49119,63563,56686.81,58725.44
BASE,BermSwp,2029-08-06,13.498892,37665,667,0,0,156704,49400,63563,56552.22,58814.79
BASE,BermSwp,2029-11-05,13.748207,31862,983,0,0,134835,41998,63563,56288.29,58900.90
BASE,BermSwp,2030-02-05,14.000262,31904,1096,0,0,135759,42267,63563,56035.86,58984.84
BASE,BermSwp,2030-05-06,14.246837,32752,818,0,0,137743,43606,63563,55820.72,59064.08
BASE,BermSwp,2030-08-05,14.496152,32918,892,0,0,134066,44046,63563,55618.21,59141.47
BASE,BermSwp,2030-11-05,14.748207,27073,1369,0,0,116958,36409,63563,55289.92,59217.04
BASE,BermSwp,2031-02-05,15.000262,27191,1469,0,0,116473,36753,63563,54978.44,59290.07
BASE,BermSwp,2031-05-05,15.244098,27886,1043,0,0,113439,37878,63563,54704.92,59358.42
BASE,BermSwp,2031-08-05,15.496152,27980,1157,0,0,112694,38199,63563,54436.43,59426.82
BASE,BermSwp,2031-11-05,15.748207,22139,1712,0,0,96207,30377,63563,54051.35,59493.03
BASE,BermSwp,2032-02-05,16.000000,22276,1855,0,0,94724,30720,63563,53684.18,59557.08
BASE,BermSwp,2032-05-05,16.245902,22738,1222,0,0,89952,31513,63563,53348.59,59617.72
BASE,BermSwp,2032-08-05,16.497268,22845,1359,0,0,93696,31823,63563,53020.60,59677.84
BASE,BermSwp,2032-11-05,16.748634,16969,1911,0,0,72715,23757,63563,52581.40,59736.16
BASE,BermSwp,2033-02-07,17.005741,17078,1964,0,0,76714,24033,63563,52149.78,59794.02
BASE,BermSwp,2033-05-05,17.244098,17384,1205,0,0,69586,24582,63563,51768.72,59846.12
BASE,BermSwp,2033-08-05,17.496152,17404,1256,0,0,71308,24734,63563,51379.25,59899.67
BASE,BermSwp,2033-11-07,17.753687,11423,1796,0,0,50594,16318,63563,50870.66,59952.82
BASE,BermSwp,2034-02-06,18.003002,11446,1799,0,0,49823,16434,63563,50393.76,60002.82
BASE,BermSwp,2034-05-05,18.244098,11712,883,0,0,47421,16897,63563,49951.09,60049.87
BASE,BermSwp,2034-08-07,18.501632,11728,868,0,0,46159,17007,63563,49492.53,60098.78
BASE,BermSwp,2034-11-06,18.750947,5767,1642,0,0,29408,8406,63563,48946.23,60144.84
BASE,BermSwp,2035-02-05,19.000262,5798,1733,0,0,29410,8492,63563,48415.41,60189.70
BASE,BermSwp,2035-05-07,19.249577,5893,502,0,0,23524,8675,63563,47900.70,60233.39
BASE,BermSwp,2035-08-06,19.498892,5881,522,0,0,23469,8700,63563,47399.48,60275.97
BASE,BermSwp,2035-11-05,19.748207,656,2103,0,0,4777,975,63563,46813.38,60317.47
