#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,FX_CALL_OPTION,2016-02-05,0.000000,271308,0,0,0,271308,271308,271308,271308.34,271308.34
BASE,FX_CALL_OPTION,2016-05-05,0.245902,271308,0,0,0,327814,272665,272665,272665.15,272665.15
BASE,FX_CALL_OPTION,2016-08-05,0.497268,271308,0,0,0,337599,274052,274052,273366.26,273366.26
BASE,FX_CALL_OPTION,2016-11-07,0.754098,271308,0,0,0,364003,275469,275469,274082.52,274082.52
BASE,FX_CALL_OPTION,2017-02-06,1.003002,271308,0,0,0,370030,276841,276841,274767.11,274767.11
BASE,FX_CALL_OPTION,2017-05-05,1.244098,271329,0,0,0,381405,278215,278215,275435.30,275435.30
BASE,FX_CALL_OPTION,2017-08-07,1.501632,271444,0,0,0,399144,279780,279780,276180.38,276180.38
BASE,FX_CALL_OPTION,2017-11-06,1.750947,271427,0,0,0,413728,281163,281163,276889.82,276889.82
BASE,FX_CALL_OPTION,2018-02-05,2.000262,271433,0,0,0,408356,282569,282569,277597.73,277597.73
BASE,FX_CALL_OPTION,2018-05-07,2.249577,271594,0,0,0,423842,284154,284154,278324.39,278324.39
BASE,FX_CALL_OPTION,2018-08-06,2.498892,271678,0,0,0,427686,285669,285669,279057.14,279057.14
BASE,FX_CALL_OPTION,2018-11-05,2.748207,271492,0,0,0,440109,286906,286906,279769.18,279769.18
BASE,FX_CALL_OPTION,2019-02-05,3.000262,271371,0,0,0,452460,288233,288233,280480.22,280480.22
BASE,FX_CALL_OPTION,2019-05-06,3.246837,271385,0,0,0,458320,289678,289678,281178.71,281178.71
BASE,FX_CALL_OPTION,2019-08-05,3.496152,271417,0,0,0,465432,291166,291166,281890.90,281890.90
BASE,FX_CALL_OPTION,2019-11-05,3.748207,271350,0,0,0,470235,292571,292571,282609.07,282609.07
BASE,FX_CALL_OPTION,2020-02-05,4.000000,271360,0,0,0,475271,294065,294065,283330.20,283330.20
BASE,FX_CALL_OPTION,2020-05-05,4.245902,271360,0,0,0,479361,295524,295524,284036.42,284036.42
BASE,FX_CALL_OPTION,2020-08-05,4.497268,271320,0,0,0,491162,296980,296980,284759.87,284759.87
BASE,FX_CALL_OPTION,2020-11-05,4.748634,271364,0,0,0,492669,298535,298535,285489.05,285489.05
BASE,FX_CALL_OPTION,2021-02-05,5.000262,271422,0,0,0,507977,300114,300114,286225.00,286225.00
BASE,FX_CALL_OPTION,2021-05-05,5.244098,271407,0,0,0,510341,301569,301569,286938.46,286938.46
BASE,FX_CALL_OPTION,2021-08-05,5.496152,271395,0,0,0,510012,303086,303086,287678.97,287678.97
BASE,FX_CALL_OPTION,2021-11-05,5.748207,271395,0,0,0,517230,304623,304623,288421.94,288421.94
BASE,FX_CALL_OPTION,2022-02-07,6.005741,271429,0,0,0,516328,306241,306241,289186.04,289186.04
BASE,FX_CALL_OPTION,2022-05-05,6.244098,271430,0,0,0,517722,307711,307711,289893.18,289893.18
BASE,FX_CALL_OPTION,2022-08-05,6.496152,271422,0,0,0,524692,309263,309263,290644.72,290644.72
BASE,FX_CALL_OPTION,2022-11-07,6.753687,271584,0,0,0,528898,311051,311051,291422.88,291422.88
BASE,FX_CALL_OPTION,2023-02-06,7.003002,271597,0,0,0,535157,312626,312626,292177.74,292177.74
BASE,FX_CALL_OPTION,2023-05-05,7.244098,271584,0,0,0,533328,314128,314128,292908.29,292908.29
BASE,FX_CALL_OPTION,2023-08-07,7.501632,271602,0,0,0,542469,315777,315777,293693.38,293693.38
BASE,FX_CALL_OPTION,2023-11-06,7.750947,271659,0,0,0,550581,317428,317428,294456.84,294456.84
BASE,FX_CALL_OPTION,2024-02-05,8.000000,271688,0,0,0,551479,319055,319055,295222.62,295222.62
BASE,FX_CALL_OPTION,2024-05-06,8.248634,271712,0,0,0,542584,320684,320684,295990.10,295990.10
BASE,FX_CALL_OPTION,2024-08-05,8.497268,271921,0,0,0,547965,322541,322541,296766.99,296766.99
BASE,FX_CALL_OPTION,2024-11-05,8.748634,271863,0,0,0,555151,324108,324108,297552.55,297552.55
BASE,FX_CALL_OPTION,2025-02-05,9.000262,272069,0,0,0,551770,326000,326000,298347.88,298347.88
BASE,FX_CALL_OPTION,2025-05-05,9.244098,272231,0,0,0,563632,327794,327794,299124.60,299124.60
BASE,FX_CALL_OPTION,2025-08-05,9.496152,272249,0,0,0,556437,329478,329478,299930.28,299930.28
BASE,FX_CALL_OPTION,2025-11-05,9.748207,272414,0,0,0,560724,331351,331351,300742.71,300742.71
BASE,FX_CALL_OPTION,2026-02-05,10.000262,273036,0,0,0,568435,333792,333792,301575.71,301575.71
BASE,FX_CALL_OPTION,2026-05-05,10.244098,0,0,0,0,0,0,333792,0.00,0.00
BASE,FX_CALL_OPTION,2026-08-05,10.496152,0,0,0,0,0,0,333792,0.00,0.00
BASE,FX_CALL_OPTION,2026-11-05,10.748207,0,0,0,0,0,0,333792,0.00,0.00
BASE,FX_CALL_OPTION,2027-02-05,11.000262,0,0,0,0,0,0,333792,0.00,0.00
BASE,FX_CALL_OPTION,2027-05-05,11.244098,0,0,0,0,0,0,333792,0.00,0.00
BASE,FX_CALL_OPTION,2027-08-05,11.496152,0,0,0,0,0,0,333792,0.00,0.00
