#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_EUR,2016-02-05,0.000000,0,2361,0,0,0,0,0,0.00,0.00
BASE,Swap_EUR,2016-05-05,0.245902,153241,155602,0,0,642693,154007,154007,154007.07,154007.07
BASE,Swap_EUR,2016-08-05,0.497268,204969,207330,0,0,902572,207042,207042,180815.69,180815.69
BASE,Swap_EUR,2016-11-07,0.754098,203571,306629,0,0,1037945,206693,207042,189629.07,189747.67
BASE,Swap_EUR,2017-02-06,1.003002,251328,354386,0,0,1357650,256454,256454,206212.15,206301.32
BASE,Swap_EUR,2017-05-05,1.244098,315709,318777,0,0,1401325,323722,323722,228984.56,229056.44
BASE,Swap_EUR,2017-08-07,1.501632,351841,354909,0,0,1616600,362646,362646,251907.85,251967.41
BASE,Swap_EUR,2017-11-06,1.750947,324749,424258,0,0,1550595,336397,362646,263938.11,267726.77
BASE,Swap_EUR,2018-02-05,2.000262,348192,447702,0,0,1564686,362477,362646,276220.17,279557.59
BASE,Swap_EUR,2018-05-07,2.249577,418310,419965,0,0,1898794,437656,437656,294111.75,297079.29
BASE,Swap_EUR,2018-08-06,2.498892,443170,444824,0,0,1889293,465992,465992,311260.29,313931.76
BASE,Swap_EUR,2018-11-05,2.748207,394634,492596,0,0,1744819,417038,465992,320856.37,327726.54
BASE,Swap_EUR,2019-02-05,3.000262,419253,517216,0,0,1858045,445303,465992,331311.28,339342.35
BASE,Swap_EUR,2019-05-06,3.246837,470820,472522,0,0,2207600,502556,502556,344316.15,351737.31
BASE,Swap_EUR,2019-08-05,3.496152,489602,491304,0,0,2103111,525225,525225,357217.01,364108.97
BASE,Swap_EUR,2019-11-05,3.748207,445771,541517,0,0,1944885,480631,525225,365516.23,374943.52
BASE,Swap_EUR,2020-02-05,4.000000,460172,555918,0,0,2204256,498676,525225,373898.39,384403.50
BASE,Swap_EUR,2020-05-05,4.245902,502297,504736,0,0,2245877,547027,547027,383925.14,393821.85
BASE,Swap_EUR,2020-08-05,4.497268,518510,520949,0,0,2153654,567548,567548,394188.39,403531.94
BASE,Swap_EUR,2020-11-05,4.748634,464198,557458,0,0,2038232,510677,567548,400354.65,412214.03
BASE,Swap_EUR,2021-02-05,5.000262,480305,573565,0,0,2071054,531077,567548,406932.99,420030.90
BASE,Swap_EUR,2021-05-05,5.244098,523019,525070,0,0,2245094,581144,581144,415033.30,427522.19
BASE,Swap_EUR,2021-08-05,5.496152,536200,538252,0,0,2259368,598813,598813,423461.46,435377.61
BASE,Swap_EUR,2021-11-05,5.748207,473714,565551,0,0,2027964,531714,598813,428208.25,442544.12
BASE,Swap_EUR,2022-02-07,6.005741,484101,575938,0,0,2135727,546189,598813,433267.40,449245.12
BASE,Swap_EUR,2022-05-05,6.244098,519140,521316,0,0,2229704,588530,598813,439194.26,454954.57
BASE,Swap_EUR,2022-08-05,6.496152,528680,530856,0,0,2299352,602386,602386,445526.22,460675.02
BASE,Swap_EUR,2022-11-07,6.753687,478858,568919,0,0,2106501,548447,602386,449450.82,466078.81
BASE,Swap_EUR,2023-02-06,7.003002,482413,572474,0,0,2092428,555291,602386,453218.84,470931.52
BASE,Swap_EUR,2023-05-05,7.244098,518241,520342,0,0,2199553,599425,602386,458084.82,475306.57
BASE,Swap_EUR,2023-08-07,7.501632,528321,530422,0,0,2291667,614251,614251,463446.08,480076.60
BASE,Swap_EUR,2023-11-06,7.750947,467275,555362,0,0,2056143,546002,614251,466101.56,484392.43
BASE,Swap_EUR,2024-02-05,8.000000,475526,563614,0,0,2182574,558432,614251,468975.96,488435.16
BASE,Swap_EUR,2024-05-06,8.248634,507170,509377,0,0,2209288,598581,614251,472882.56,492227.56
BASE,Swap_EUR,2024-08-05,8.497268,512265,514472,0,0,2257738,607628,614251,476825.26,495798.03
BASE,Swap_EUR,2024-11-05,8.748634,454332,541235,0,0,2053601,541643,614251,478687.62,499201.44
BASE,Swap_EUR,2025-02-05,9.000262,464804,551707,0,0,2037784,556938,614251,480875.35,502417.99
BASE,Swap_EUR,2025-05-05,9.244098,489090,490894,0,0,2052559,588915,614251,483725.15,505367.87
BASE,Swap_EUR,2025-08-05,9.496152,493959,495762,0,0,2137356,597794,614251,486752.87,508257.95
BASE,Swap_EUR,2025-11-05,9.748207,433695,517196,0,0,1968998,527525,614251,487807.09,510998.57
BASE,Swap_EUR,2026-02-05,10.000262,436995,520496,0,0,1977666,534235,614251,488977.30,513601.04
BASE,Swap_EUR,2026-05-05,10.244098,459768,461196,0,0,1950427,564834,614251,490782.89,515996.77
BASE,Swap_EUR,2026-08-05,10.496152,462830,464258,0,0,1972212,571480,614251,492720.75,518356.26
BASE,Swap_EUR,2026-11-05,10.748207,400364,482419,0,0,1743996,496857,614251,492817.76,520605.08
BASE,Swap_EUR,2027-02-05,11.000262,404146,486202,0,0,1829000,504096,614251,493076.18,522750.85
BASE,Swap_EUR,2027-05-05,11.244098,426070,427428,0,0,1884527,534050,614251,493964.72,524735.10
BASE,Swap_EUR,2027-08-05,11.496152,430619,431977,0,0,1932402,542489,614251,495028.62,526697.75
BASE,Swap_EUR,2027-11-05,11.748207,366543,447372,0,0,1710577,464109,614251,494365.25,528576.20
BASE,Swap_EUR,2028-02-07,12.005464,369155,449985,0,0,1694198,469840,614251,493839.72,530412.07
BASE,Swap_EUR,2028-05-05,12.245902,389624,391381,0,0,1735994,498297,614251,493927.23,532058.18
BASE,Swap_EUR,2028-08-07,12.502732,395401,397158,0,0,1777333,508307,614251,494222.61,533746.59
BASE,Swap_EUR,2028-11-06,12.751366,332614,412156,0,0,1577046,429736,614251,492965.20,535316.32
BASE,Swap_EUR,2029-02-05,13.000262,335318,414860,0,0,1604923,435403,614251,491863.15,536827.57
BASE,Swap_EUR,2029-05-07,13.249577,351790,353145,0,0,1573993,459083,614251,491246.34,538284.44
BASE,Swap_EUR,2029-08-06,13.498892,354486,355842,0,0,1567346,464924,614251,490760.18,539687.50
BASE,Swap_EUR,2029-11-05,13.748207,291790,370046,0,0,1348663,384615,614251,488835.31,541039.66
BASE,Swap_EUR,2030-02-05,14.000262,293592,371848,0,0,1357902,388954,614251,487037.08,542357.74
BASE,Swap_EUR,2030-05-06,14.246837,311073,311860,0,0,1377741,414158,614251,485775.74,543602.03
BASE,Swap_EUR,2030-08-05,14.496152,313634,314421,0,0,1340965,419663,614251,484638.68,544817.10
BASE,Swap_EUR,2030-11-05,14.748207,251183,326986,0,0,1169886,337803,614251,482129.18,546003.77
BASE,Swap_EUR,2031-02-05,15.000262,252404,328208,0,0,1165046,341168,614251,479760.56,547150.56
BASE,Swap_EUR,2031-05-05,15.244098,267122,267437,0,0,1134713,362833,614251,477890.26,548223.87
BASE,Swap_EUR,2031-08-05,15.496152,269314,269629,0,0,1127269,367666,614251,476097.39,549297.85
BASE,Swap_EUR,2031-11-05,15.748207,207393,280114,0,0,962399,284568,614251,473031.91,550337.45
BASE,Swap_EUR,2032-02-05,16.000000,209379,282100,0,0,947562,288750,614251,470131.86,551343.26
BASE,Swap_EUR,2032-05-05,16.245902,219714,220115,0,0,899456,304508,614251,467624.93,552295.46
BASE,Swap_EUR,2032-08-05,16.497268,221602,222003,0,0,936899,308682,614251,465203.14,553239.47
BASE,Swap_EUR,2032-11-05,16.748634,160446,232650,0,0,727092,224628,614251,461592.55,554155.14
BASE,Swap_EUR,2033-02-07,17.005741,162110,234314,0,0,767072,228134,614251,458062.92,555063.73
BASE,Swap_EUR,2033-05-05,17.244098,170233,170421,0,0,696152,240714,614251,455058.62,555881.85
BASE,Swap_EUR,2033-08-05,17.496152,170608,170796,0,0,713370,242468,614251,451995.98,556722.74
BASE,Swap_EUR,2033-11-07,17.753687,109489,180036,0,0,506234,156412,614251,447708.25,557557.25
BASE,Swap_EUR,2034-02-06,18.003002,109898,180445,0,0,498519,157785,614251,443693.23,558342.38
BASE,Swap_EUR,2034-05-05,18.244098,115782,115746,0,0,474506,167039,614251,440037.25,559081.22
BASE,Swap_EUR,2034-08-07,18.501632,116076,116039,0,0,461885,168330,614251,436255.21,559849.16
BASE,Swap_EUR,2034-11-06,18.750947,56082,125013,0,0,294377,81738,614251,431541.50,560572.50
BASE,Swap_EUR,2035-02-05,19.000262,56334,125264,0,0,294395,82516,614251,426961.70,561276.85
BASE,Swap_EUR,2035-05-07,19.249577,59100,58841,0,0,235529,87002,614251,422558.64,561962.96
BASE,Swap_EUR,2035-08-06,19.498892,59123,58864,0,0,234988,87473,614251,418274.20,562631.53
BASE,Swap_EUR,2035-11-05,19.748207,6604,74722,0,0,48060,9820,614251,413117.59,563283.22
BASE,Swap_EUR,2036-02-05,20.000000,6500,74618,0,0,52455,9714,614251,408038.89,563924.89
BASE,Swap_EUR,2036-05-05,20.245902,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2036-08-05,20.497268,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2036-11-05,20.748634,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2037-02-05,21.000262,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2037-05-05,21.244098,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2037-08-05,21.496152,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2037-11-05,21.748207,0,0,0,0,0,0,614251,0.00,0.00
BASE,Swap_EUR,2038-02-05,22.000262,0,0,0,0,0,0,614251,0.00,0.00
eur_6m_up,Swap_EUR,2016-02-05,0.000000,0,2361,0,0,0,0,0,0.00,0.00
eur_6m_up,Swap_EUR,2016-05-05,0.245902,153241,155602,0,0,642693,154007,154007,154007.07,154007.07
eur_6m_up,Swap_EUR,2016-08-05,0.497268,204969,207330,0,0,902572,207042,207042,180815.69,180815.69
eur_6m_up,Swap_EUR,2016-11-07,0.754098,203571,306629,0,0,1037945,206693,207042,189629.07,189747.67
eur_6m_up,Swap_EUR,2017-02-06,1.003002,251328,354386,0,0,1357650,256454,256454,206212.15,206301.32
eur_6m_up,Swap_EUR,2017-05-05,1.244098,315709,318777,0,0,1401325,323722,323722,228984.56,229056.44
eur_6m_up,Swap_EUR,2017-08-07,1.501632,351841,354909,0,0,1616600,362646,362646,251907.85,251967.41
eur_6m_up,Swap_EUR,2017-11-06,1.750947,324749,424258,0,0,1550595,336397,362646,263938.11,267726.77
eur_6m_up,Swap_EUR,2018-02-05,2.000262,348192,447702,0,0,1564686,362477,362646,276220.17,279557.59
eur_6m_up,Swap_EUR,2018-05-07,2.249577,418310,419965,0,0,1898794,437656,437656,294111.75,297079.29
eur_6m_up,Swap_EUR,2018-08-06,2.498892,443170,444824,0,0,1889293,465992,465992,311260.29,313931.76
eur_6m_up,Swap_EUR,2018-11-05,2.748207,394634,492596,0,0,1744819,417038,465992,320856.37,327726.54
eur_6m_up,Swap_EUR,2019-02-05,3.000262,419253,517216,0,0,1858045,445303,465992,331311.28,339342.35
eur_6m_up,Swap_EUR,2019-05-06,3.246837,470820,472522,0,0,2207600,502556,502556,344316.15,351737.31
eur_6m_up,Swap_EUR,2019-08-05,3.496152,489602,491304,0,0,2103111,525225,525225,357217.01,364108.97
eur_6m_up,Swap_EUR,2019-11-05,3.748207,445771,541517,0,0,1944885,480631,525225,365516.23,374943.52
eur_6m_up,Swap_EUR,2020-02-05,4.000000,460172,555918,0,0,2204256,498676,525225,373898.39,384403.50
eur_6m_up,Swap_EUR,2020-05-05,4.245902,502297,504736,0,0,2245877,547027,547027,383925.14,393821.85
eur_6m_up,Swap_EUR,2020-08-05,4.497268,518510,520949,0,0,2153654,567548,567548,394188.39,403531.94
eur_6m_up,Swap_EUR,2020-11-05,4.748634,464198,557458,0,0,2038232,510677,567548,400354.65,412214.03
eur_6m_up,Swap_EUR,2021-02-05,5.000262,480305,573565,0,0,2071054,531077,567548,406932.99,420030.90
eur_6m_up,Swap_EUR,2021-05-05,5.244098,523019,525070,0,0,2245094,581144,581144,415033.30,427522.19
eur_6m_up,Swap_EUR,2021-08-05,5.496152,536200,538252,0,0,2259368,598813,598813,423461.46,435377.61
eur_6m_up,Swap_EUR,2021-11-05,5.748207,473714,565551,0,0,2027964,531714,598813,428208.25,442544.12
eur_6m_up,Swap_EUR,2022-02-07,6.005741,484101,575938,0,0,2135727,546189,598813,433267.40,449245.12
