#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_USD,2016-02-05,0.000000,74631,0,0,0,74631,74631,74631,74631.17,74631.17
BASE,Swap_USD,2016-05-05,0.245902,226286,151655,0,0,881985,227418,227418,227417.84,227417.84
BASE,Swap_USD,2016-08-05,0.497268,263977,202917,0,0,1197193,266647,266647,247247.80,247247.80
BASE,Swap_USD,2016-11-07,0.754098,341180,291050,0,0,1345154,346412,346412,281021.20,281021.20
BASE,Swap_USD,2017-02-06,1.003002,382262,341514,0,0,1483987,390057,390057,308079.45,308079.45
BASE,Swap_USD,2017-05-05,1.244098,460981,351509,0,0,1571813,472680,472680,339977.74,339977.74
BASE,Swap_USD,2017-08-07,1.501632,471472,373294,0,0,1651334,485951,485951,365012.57,365012.57
BASE,Swap_USD,2017-11-06,1.750947,501606,417018,0,0,1890748,519598,519598,387023.75,387023.75
BASE,Swap_USD,2018-02-05,2.000262,515302,446529,0,0,1950800,536444,536444,405647.64,405647.64
BASE,Swap_USD,2018-05-07,2.249577,609884,416672,0,0,2128213,638090,638090,431408.63,431408.63
BASE,Swap_USD,2018-08-06,2.498892,619479,447890,0,0,2124118,651381,651381,453355.31,453355.31
BASE,Swap_USD,2018-11-05,2.748207,614784,465332,0,0,2189455,649687,651381,471166.37,471320.01
BASE,Swap_USD,2019-02-05,3.000262,612194,483503,0,0,2277989,650232,651381,486209.84,486447.09
BASE,Swap_USD,2019-05-06,3.246837,677852,432943,0,0,2449523,723542,723542,504233.64,504452.87
BASE,Swap_USD,2019-08-05,3.496152,678538,458905,0,0,2444766,727909,727909,520184.23,520387.83
BASE,Swap_USD,2019-11-05,3.748207,674101,478996,0,0,2465938,726818,727909,534079.65,534342.97
BASE,Swap_USD,2020-02-05,4.000000,660368,489009,0,0,2393461,715622,727909,545507.42,546527.62
BASE,Swap_USD,2020-05-05,4.245902,727953,449343,0,0,2550181,792777,792777,559828.07,560789.19
BASE,Swap_USD,2020-08-05,4.497268,718658,467431,0,0,2511813,786625,792777,572504.44,573755.72
BASE,Swap_USD,2020-11-05,4.748634,702836,478982,0,0,2458184,773209,792777,583128.62,585349.50
BASE,Swap_USD,2021-02-05,5.000262,695094,497970,0,0,2369893,768571,792777,592460.61,595787.88
BASE,Swap_USD,2021-05-05,5.244098,758011,461772,0,0,2476072,842251,842251,604075.16,607247.72
BASE,Swap_USD,2021-08-05,5.496152,739852,473914,0,0,2386609,826244,842251,614263.87,618025.02
BASE,Swap_USD,2021-11-05,5.748207,721623,485642,0,0,2364396,809976,842251,622845.69,627857.17
BASE,Swap_USD,2022-02-07,6.005741,701446,494751,0,0,2268373,791409,842251,630073.90,637050.67
BASE,Swap_USD,2022-05-05,6.244098,754807,455419,0,0,2408900,855698,855698,638686.67,645397.12
BASE,Swap_USD,2022-08-05,6.496152,729497,459925,0,0,2316568,831200,855698,646156.32,653556.94
BASE,Swap_USD,2022-11-07,6.753687,706679,466511,0,0,2272661,809375,855698,652380.23,661265.07
BASE,Swap_USD,2023-02-06,7.003002,683592,472255,0,0,2320204,786861,855698,657167.92,668187.13
BASE,Swap_USD,2023-05-05,7.244098,742173,442773,0,0,2406316,858437,858437,663866.50,674518.97
BASE,Swap_USD,2023-08-07,7.501632,713571,445181,0,0,2208580,829632,858437,669557.31,680832.96
BASE,Swap_USD,2023-11-06,7.750947,694728,456943,0,0,2233737,811777,858437,674131.92,686545.73
BASE,Swap_USD,2024-02-05,8.000000,668403,460603,0,0,2150068,784935,858437,677581.41,691896.99
BASE,Swap_USD,2024-05-06,8.248634,709395,419207,0,0,2289401,837254,858437,682394.33,696916.92
BASE,Swap_USD,2024-08-05,8.497268,680987,424649,0,0,2186573,807759,858437,686062.54,701643.07
BASE,Swap_USD,2024-11-05,8.748634,654512,431037,0,0,2210156,780294,858437,688769.99,706148.08
BASE,Swap_USD,2025-02-05,9.000262,624638,432894,0,0,2159589,748455,858437,690438.67,710405.76
BASE,Swap_USD,2025-05-05,9.244098,664266,394894,0,0,2172352,799844,858437,693324.50,714310.45
BASE,Swap_USD,2025-08-05,9.496152,635413,398356,0,0,2042703,768984,858437,695332.72,718135.98
BASE,Swap_USD,2025-11-05,9.748207,604547,399945,0,0,2023184,735340,858437,696367.18,721763.68
BASE,Swap_USD,2026-02-05,10.000262,572840,399687,0,0,1949920,700308,858437,696466.51,725208.51
BASE,Swap_USD,2026-05-05,10.244098,611269,364923,0,0,1980595,750956,858437,697763.50,728379.69
BASE,Swap_USD,2026-08-05,10.496152,581156,367147,0,0,1915973,717584,858437,698239.46,731502.89
BASE,Swap_USD,2026-11-05,10.748207,553232,371661,0,0,1853960,686570,858437,697965.79,734479.61
BASE,Swap_USD,2027-02-05,11.000262,524759,375054,0,0,1782166,654537,858437,696970.70,737319.91
BASE,Swap_USD,2027-05-05,11.244098,555858,335683,0,0,1848211,696730,858437,696965.47,739946.42
BASE,Swap_USD,2027-08-05,11.496152,528597,340026,0,0,1816096,665921,858437,696284.82,742544.34
BASE,Swap_USD,2027-11-05,11.748207,496409,339242,0,0,1680442,628543,858437,694831.43,745030.79
BASE,Swap_USD,2028-02-07,12.005464,468184,341860,0,0,1633111,595878,858437,692711.02,747460.90
BASE,Swap_USD,2028-05-05,12.245902,498135,303694,0,0,1662163,637074,858437,691618.64,749639.82
BASE,Swap_USD,2028-08-07,12.502732,468738,305469,0,0,1540746,602585,858437,689789.71,751874.73
BASE,Swap_USD,2028-11-06,12.751366,439169,306729,0,0,1486498,567404,858437,687403.37,753952.55
BASE,Swap_USD,2029-02-05,13.000262,408725,306477,0,0,1403136,530722,858437,684403.63,755952.95
BASE,Swap_USD,2029-05-07,13.249577,437303,269172,0,0,1473499,570678,858437,682263.66,757881.38
BASE,Swap_USD,2029-08-06,13.498892,405888,267701,0,0,1352295,532340,858437,679494.67,759738.57
BASE,Swap_USD,2029-11-05,13.748207,376354,268841,0,0,1292564,496081,858437,676168.58,761528.41
BASE,Swap_USD,2030-02-05,14.000262,346988,268305,0,0,1246916,459693,858437,672271.25,763273.11
BASE,Swap_USD,2030-05-06,14.246837,374108,230730,0,0,1274322,498081,858437,669256.47,764920.15
BASE,Swap_USD,2030-08-05,14.496152,344031,230163,0,0,1188236,460335,858437,665663.29,766528.52
BASE,Swap_USD,2030-11-05,14.748207,314871,229572,0,0,1080549,423455,858437,661523.82,768099.29
BASE,Swap_USD,2031-02-05,15.000262,287009,229445,0,0,988592,387943,858437,656926.73,769617.27
BASE,Swap_USD,2031-05-05,15.244098,310463,190815,0,0,1028067,421704,858437,653164.25,771037.98
BASE,Swap_USD,2031-08-05,15.496152,281023,189440,0,0,940295,383652,858437,648780.46,772459.58
BASE,Swap_USD,2031-11-05,15.748207,251660,188207,0,0,886956,345308,858437,643923.29,773835.68
BASE,Swap_USD,2032-02-05,16.000000,224687,188539,0,0,805389,309862,858437,638666.15,775167.06
BASE,Swap_USD,2032-05-05,16.245902,247189,152281,0,0,845200,342586,858437,634184.61,776427.45
BASE,Swap_USD,2032-08-05,16.497268,219177,151781,0,0,751213,305303,858437,629173.50,777677.02
BASE,Swap_USD,2032-11-05,16.748634,191241,151149,0,0,682193,267742,858437,623749.07,778889.08
BASE,Swap_USD,2033-02-07,17.005741,163900,150637,0,0,588427,230653,858437,617805.90,780091.75
BASE,Swap_USD,2033-05-05,17.244098,184351,113793,0,0,622456,260677,858437,612869.49,781174.68
BASE,Swap_USD,2033-08-05,17.496152,157288,113462,0,0,532665,223538,858437,607260.67,782287.75
BASE,Swap_USD,2033-11-07,17.753687,130905,113587,0,0,462517,187007,858437,601164.49,783392.37
BASE,Swap_USD,2034-02-06,18.003002,104935,113673,0,0,377598,150659,858437,594925.65,784431.63
BASE,Swap_USD,2034-05-05,18.244098,123006,76464,0,0,395252,177460,858437,589408.84,785409.61
BASE,Swap_USD,2034-08-07,18.501632,96279,75688,0,0,320177,139622,858437,583148.02,786426.12
BASE,Swap_USD,2034-11-06,18.750947,70746,75872,0,0,248202,103109,858437,576765.36,787383.59
BASE,Swap_USD,2035-02-05,19.000262,46358,76724,0,0,174740,67904,858437,570088.25,788315.93
BASE,Swap_USD,2035-05-07,19.249577,61486,38414,0,0,198256,90515,858437,563876.95,789224.12
BASE,Swap_USD,2035-08-06,19.498892,35742,37665,0,0,127446,52880,858437,557343.29,790109.08
BASE,Swap_USD,2035-11-05,19.748207,12567,40167,0,0,56349,18686,858437,550542.91,790971.70
BASE,Swap_USD,2036-02-05,20.000000,496,52265,0,0,3508,742,858437,543621.11,791821.07
BASE,Swap_USD,2036-05-05,20.245902,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2036-08-05,20.497268,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2036-11-05,20.748634,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2037-02-05,21.000262,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2037-05-05,21.244098,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2037-08-05,21.496152,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2037-11-05,21.748207,0,0,0,0,0,0,858437,0.00,0.00
BASE,Swap_USD,2038-02-05,22.000262,0,0,0,0,0,0,858437,0.00,0.00
eur_6m_up,Swap_USD,2016-02-05,0.000000,74631,0,0,0,74631,74631,74631,74631.17,74631.17
eur_6m_up,Swap_USD,2016-05-05,0.245902,226286,151655,0,0,881985,227418,227418,227417.84,227417.84
eur_6m_up,Swap_USD,2016-08-05,0.497268,263977,202917,0,0,1197193,266647,266647,247247.80,247247.80
eur_6m_up,Swap_USD,2016-11-07,0.754098,341180,291050,0,0,1345154,346412,346412,281021.20,281021.20
