#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,597.96,597.96,597.96,597.96,597.96
CPTY_A,2016-03-07,0.084699,94508.13,92978.70,392819.34,0.00,94670.22,94670.22,94670.22,94670.22
CPTY_A,2016-04-05,0.163934,129317.07,128815.81,530546.69,0.00,129746.68,129746.68,111623.84,111623.84
CPTY_A,2016-05-06,0.248634,156014.09,156366.80,655732.00,0.00,156800.85,156800.85,127013.81,127013.81
CPTY_A,2016-06-06,0.333333,179079.09,179073.19,772148.25,0.00,180290.84,180290.84,140551.42,140551.42
CPTY_A,2016-07-05,0.412568,198884.47,199102.55,826538.63,0.00,200551.45,200551.45,152074.60,152074.60
CPTY_A,2016-08-05,0.497268,217662.08,217695.86,948427.06,0.00,219862.89,219862.89,163620.96,163620.96
CPTY_A,2016-09-06,0.584699,287794.59,186542.55,1087393.00,0.00,291207.19,291207.19,182699.27,182699.27
CPTY_A,2016-10-05,0.663934,300844.28,199431.08,1178426.00,0.00,304886.94,304886.94,197281.34,197281.34
CPTY_A,2016-11-07,0.754098,316880.00,216144.19,1254608.63,0.00,321708.85,321708.85,212158.54,212158.54
CPTY_A,2016-12-05,0.830601,331208.81,231095.56,1371298.25,0.00,336762.98,336762.98,223635.27,223635.27
CPTY_A,2017-01-05,0.915330,345413.59,245317.50,1427262.13,0.00,351792.22,351792.22,235498.37,235498.37
CPTY_A,2017-02-06,1.003002,359549.09,259411.88,1533507.38,0.00,366819.80,366819.80,246977.03,246977.03
CPTY_A,2017-03-06,1.079714,317030.72,316483.88,1406878.00,0.00,323929.26,366819.80,252444.39,255491.71
CPTY_A,2017-04-05,1.161906,327774.19,327787.97,1409516.25,0.00,335447.51,366819.80,258315.93,263366.92
CPTY_A,2017-05-05,1.244098,337387.22,337232.09,1455308.75,0.00,345843.38,366819.80,264098.46,270201.57
CPTY_A,2017-06-06,1.331769,345228.06,345027.56,1450481.38,0.00,354490.52,366819.80,270049.03,276562.01
CPTY_A,2017-07-05,1.411221,354273.97,354066.19,1523361.25,0.00,364347.19,366819.80,275358.04,281643.55
CPTY_A,2017-08-07,1.501632,369372.19,369402.25,1590037.88,0.00,380549.79,380549.79,281691.47,287598.54
CPTY_A,2017-09-05,1.581084,414687.94,317784.44,1657039.00,0.00,427903.99,427903.99,289038.89,294649.12
CPTY_A,2017-10-05,1.663276,422452.66,324932.56,1700070.88,0.00,436620.36,436620.36,296331.72,301664.72
CPTY_A,2017-11-06,1.750947,431659.84,334838.47,1758815.25,0.00,446905.09,446905.09,303871.04,308937.01
CPTY_A,2017-12-05,1.830399,440964.47,344466.88,1781204.50,0.00,457251.25,457251.25,310528.81,315374.88
CPTY_A,2018-01-05,1.915330,448677.06,352985.13,1877161.50,0.00,466025.34,466025.34,317423.99,322055.17
CPTY_A,2018-02-05,2.000262,456714.84,361238.19,1909751.13,0.00,475165.80,475165.80,324121.74,328556.28
CPTY_A,2018-03-05,2.076974,403189.81,407419.81,1786511.88,0.00,420115.33,475165.80,327667.23,333971.25
CPTY_A,2018-04-05,2.161906,411760.06,415614.66,1832927.88,0.00,429767.52,475165.80,331678.29,339518.15
CPTY_A,2018-05-08,2.252317,423043.13,427021.88,1906741.00,0.00,442335.23,475165.80,336120.21,344963.22
CPTY_A,2018-06-05,2.329029,431276.13,435454.63,1974395.00,0.00,451629.17,475165.80,339924.78,349251.77
CPTY_A,2018-07-05,2.411221,439159.97,443165.13,2034195.50,0.00,460634.17,475165.80,344039.42,353543.83
CPTY_A,2018-08-06,2.498892,449423.41,453088.97,2036679.25,0.00,472218.56,475165.80,348536.47,357810.82
CPTY_A,2018-09-05,2.581084,489968.72,396751.09,2088539.50,0.00,515658.92,515658.92,353858.30,362837.32
CPTY_A,2018-10-05,2.663276,500934.81,406660.19,2094968.88,0.00,528058.75,528058.75,359234.33,367936.24
CPTY_A,2018-11-05,2.748207,509725.88,414894.41,2134199.75,0.00,538230.25,538230.25,364766.07,373199.06
CPTY_A,2018-12-05,2.830399,515521.34,421525.97,2200079.50,0.00,545236.48,545236.48,370006.74,378194.85
CPTY_A,2019-01-07,2.920810,523927.88,429421.44,2193074.50,0.00,555120.50,555120.50,375736.77,383671.42
CPTY_A,2019-02-05,3.000262,532967.25,437750.25,2207996.25,0.00,565587.14,565587.14,380764.33,388488.86
CPTY_A,2019-03-05,3.076974,480497.22,480704.59,2136526.25,0.00,510680.88,565587.14,384003.29,392904.11
CPTY_A,2019-04-05,3.161906,484931.06,486935.44,2071566.63,0.00,516260.73,565587.14,387555.84,397542.52
CPTY_A,2019-05-07,3.249577,491502.97,492666.84,2240317.00,0.00,524166.39,565587.14,391241.49,402076.25
CPTY_A,2019-06-05,3.329029,503591.41,502033.75,2226299.00,0.00,537903.74,565587.14,394741.80,405978.67
CPTY_A,2019-07-05,3.411221,499156.13,502744.44,2217774.00,0.00,534034.69,565587.14,398098.00,409824.36
CPTY_A,2019-08-05,3.496152,498094.22,504494.78,2224237.00,0.00,533795.54,565587.14,401394.48,413608.28
CPTY_A,2019-09-05,3.581084,532830.50,444426.78,2316716.25,0.00,571982.72,571982.72,405440.27,417364.40
CPTY_A,2019-10-07,3.668755,536953.88,448610.06,2271945.50,0.00,577410.57,577410.57,409549.79,421188.98
CPTY_A,2019-11-05,3.748207,539485.38,451991.59,2294415.00,0.00,581046.18,581046.18,413185.06,424577.53
CPTY_A,2019-12-05,3.830399,545714.38,458121.66,2400397.25,0.00,588712.42,588712.42,416951.49,428099.50
CPTY_A,2020-01-06,3.918033,552855.94,464853.06,2476014.25,0.00,597452.95,597452.95,420988.72,431887.39
CPTY_A,2020-02-05,4.000000,562477.50,473346.00,2530753.25,0.00,608840.72,608840.72,424838.15,435513.48
CPTY_A,2020-03-05,4.079235,501790.75,505236.75,2283927.50,0.00,544004.97,608840.72,427152.84,438880.19
CPTY_A,2020-04-06,4.166667,507398.22,510732.78,2487997.50,0.00,551037.30,608840.72,429752.39,442446.57
CPTY_A,2020-05-05,4.245902,512825.13,516294.88,2542184.00,0.00,557805.42,608840.72,432142.05,445551.74
CPTY_A,2020-06-05,4.330601,521352.50,524179.97,2521507.25,0.00,568032.58,608840.72,434799.85,448745.40
CPTY_A,2020-07-06,4.415301,524056.84,528948.00,2479886.50,0.00,571937.46,608840.72,437430.58,451816.54
CPTY_A,2020-08-05,4.497268,529259.31,534401.50,2532047.00,0.00,578553.52,608840.72,440002.69,454678.46
CPTY_A,2020-09-08,4.590164,556880.69,470471.53,2656480.75,0.00,609868.22,609868.22,443440.44,457819.21
CPTY_A,2020-10-05,4.663934,563734.81,476322.59,2665786.00,0.00,618276.98,618276.98,446205.87,460357.20
CPTY_A,2020-11-05,4.748634,565366.00,479062.97,2652414.75,0.00,621106.75,621106.75,449325.51,463224.43
CPTY_A,2020-12-07,4.836066,570059.31,484056.13,2640984.75,0.00,627347.92,627347.92,452543.99,466191.63
CPTY_A,2021-01-05,4.915330,576132.31,488979.00,2700262.00,0.00,635026.75,635026.75,455486.72,468914.28
CPTY_A,2021-02-05,5.000262,578140.88,491452.50,2792351.50,0.00,638310.26,638310.26,458592.05,471791.54
CPTY_A,2021-03-05,5.076974,516128.84,521075.00,2544226.50,0.00,570710.33,638310.26,460286.14,474307.61
CPTY_A,2021-04-06,5.164646,516770.75,523049.28,2606718.00,0.00,572412.95,638310.26,462189.52,477091.60
CPTY_A,2021-05-05,5.244098,520618.69,526872.69,2587845.50,0.00,577583.17,638310.26,463937.83,479534.18
CPTY_A,2021-06-07,5.334509,531252.81,534029.75,2558846.75,0.00,590436.96,638310.26,466081.77,482225.17
CPTY_A,2021-07-06,5.413961,529502.63,537363.63,2495141.25,0.00,589418.39,638310.26,467891.79,484515.78
CPTY_A,2021-08-05,5.496152,538723.81,542453.88,2675789.25,0.00,600659.76,638310.26,469877.26,486815.69
CPTY_A,2021-09-07,5.586563,554632.75,472508.66,2684309.75,0.00,619505.80,638310.26,472298.79,489267.43
CPTY_A,2021-10-05,5.663276,554725.88,473215.22,2690474.25,0.00,620551.71,638310.26,474306.96,491286.30
CPTY_A,2021-11-05,5.748207,557133.06,476446.31,2672340.00,0.00,624293.54,638310.26,476523.06,493458.62
CPTY_A,2021-12-06,5.833139,558781.06,479484.91,2602077.50,0.00,627194.13,638310.26,478716.86,495567.69
CPTY_A,2022-01-05,5.915330,563867.06,484433.44,2525097.75,0.00,633933.69,638310.26,480873.55,497551.05
CPTY_A,2022-02-07,6.005741,568227.06,489053.34,2637051.75,0.00,639980.18,639980.18,483268.75,499695.19
CPTY_A,2022-03-07,6.082454,506625.09,517771.91,2358310.00,0.00,571466.80,639980.18,484381.11,501464.48
CPTY_A,2022-04-05,6.161906,509678.09,521100.88,2398714.25,0.00,575815.71,639980.18,485560.08,503250.51
CPTY_A,2022-05-05,6.244098,511708.94,522865.31,2508475.75,0.00,579051.75,639980.18,486790.72,505050.30
CPTY_A,2022-06-07,6.334509,517472.41,528615.38,2379590.50,0.00,586622.99,639980.18,488215.60,506976.12
CPTY_A,2022-07-05,6.411221,520018.91,531846.88,2454692.50,0.00,590405.90,639980.18,489438.34,508567.56
CPTY_A,2022-08-05,6.496152,523343.75,535896.50,2489470.00,0.00,595180.88,639980.18,490820.83,510285.66
CPTY_A,2022-09-06,6.583824,545774.94,470616.34,2354341.00,0.00,621769.56,639980.18,492564.57,512012.69
CPTY_A,2022-10-05,6.663276,549613.81,474268.75,2448421.75,0.00,627128.81,639980.18,494169.09,513538.56
CPTY_A,2022-11-07,6.753687,555105.19,478896.84,2516442.00,0.00,634529.66,639980.18,496048.09,515231.22
