#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20,2016-02-05,0.000000,598,0,0,0,598,598,598,597.96,597.96
Swap_20,2016-03-07,0.084699,94508,92979,0,0,392819,94670,94670,94670.22,94670.22
Swap_20,2016-04-05,0.163934,129317,128816,0,0,530547,129747,129747,111623.84,111623.84
Swap_20,2016-05-06,0.248634,156014,156367,0,0,655732,156801,156801,127013.81,127013.81
Swap_20,2016-06-06,0.333333,179079,179073,0,0,772148,180291,180291,140551.42,140551.42
Swap_20,2016-07-05,0.412568,198884,199103,0,0,826539,200551,200551,152074.60,152074.60
Swap_20,2016-08-05,0.497268,217662,217696,0,0,948427,219863,219863,163620.96,163620.96
Swap_20,2016-09-06,0.584699,287795,186543,0,0,1087393,291207,291207,182699.27,182699.27
Swap_20,2016-10-05,0.663934,300844,199431,0,0,1178426,304887,304887,197281.34,197281.34
Swap_20,2016-11-07,0.754098,316880,216144,0,0,1254609,321709,321709,212158.54,212158.54
Swap_20,2016-12-05,0.830601,331209,231096,0,0,1371298,336763,336763,223635.27,223635.27
Swap_20,2017-01-05,0.915330,345414,245318,0,0,1427262,351792,351792,235498.37,235498.37
Swap_20,2017-02-06,1.003002,359549,259412,0,0,1533507,366820,366820,246977.03,246977.03
Swap_20,2017-03-06,1.079714,317031,316484,0,0,1406878,323929,366820,252444.39,255491.71
Swap_20,2017-04-05,1.161906,327774,327788,0,0,1409516,335448,366820,258315.93,263366.92
Swap_20,2017-05-05,1.244098,337387,337232,0,0,1455309,345843,366820,264098.46,270201.57
Swap_20,2017-06-06,1.331769,345228,345028,0,0,1450481,354491,366820,270049.03,276562.01
Swap_20,2017-07-05,1.411221,354274,354066,0,0,1523361,364347,366820,275358.04,281643.55
Swap_20,2017-08-07,1.501632,369372,369402,0,0,1590038,380550,380550,281691.47,287598.54
Swap_20,2017-09-05,1.581084,414688,317784,0,0,1657039,427904,427904,289038.89,294649.12
Swap_20,2017-10-05,1.663276,422453,324933,0,0,1700071,436620,436620,296331.72,301664.72
Swap_20,2017-11-06,1.750947,431660,334838,0,0,1758815,446905,446905,303871.04,308937.01
Swap_20,2017-12-05,1.830399,440964,344467,0,0,1781205,457251,457251,310528.81,315374.88
Swap_20,2018-01-05,1.915330,448677,352985,0,0,1877162,466025,466025,317423.99,322055.17
Swap_20,2018-02-05,2.000262,456715,361238,0,0,1909751,475166,475166,324121.74,328556.28
Swap_20,2018-03-05,2.076974,403190,407420,0,0,1786512,420115,475166,327667.23,333971.25
Swap_20,2018-04-05,2.161906,411760,415615,0,0,1832928,429768,475166,331678.29,339518.15
Swap_20,2018-05-08,2.252317,423043,427022,0,0,1906741,442335,475166,336120.21,344963.22
Swap_20,2018-06-05,2.329029,431276,435455,0,0,1974395,451629,475166,339924.78,349251.77
Swap_20,2018-07-05,2.411221,439160,443165,0,0,2034196,460634,475166,344039.42,353543.83
Swap_20,2018-08-06,2.498892,449423,453089,0,0,2036679,472219,475166,348536.47,357810.82
Swap_20,2018-09-05,2.581084,489969,396751,0,0,2088540,515659,515659,353858.30,362837.32
Swap_20,2018-10-05,2.663276,500935,406660,0,0,2094969,528059,528059,359234.33,367936.24
Swap_20,2018-11-05,2.748207,509726,414894,0,0,2134200,538230,538230,364766.07,373199.06
Swap_20,2018-12-05,2.830399,515521,421526,0,0,2200080,545236,545236,370006.74,378194.85
Swap_20,2019-01-07,2.920810,523928,429421,0,0,2193075,555120,555120,375736.77,383671.42
Swap_20,2019-02-05,3.000262,532967,437750,0,0,2207996,565587,565587,380764.33,388488.86
Swap_20,2019-03-05,3.076974,480497,480705,0,0,2136526,510681,565587,384003.29,392904.11
Swap_20,2019-04-05,3.161906,484931,486935,0,0,2071567,516261,565587,387555.84,397542.52
Swap_20,2019-05-07,3.249577,491503,492667,0,0,2240317,524166,565587,391241.49,402076.25
Swap_20,2019-06-05,3.329029,503591,502034,0,0,2226299,537904,565587,394741.80,405978.67
