#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,818.02,0.00,818.02,818.02,818.02,818.02,818.02,818.02
CPTY_A,2016-03-07,0.084699,51934.86,50428.41,215785.08,0.00,52023.92,52023.92,52023.92,52023.92
CPTY_A,2016-04-05,0.163934,67747.82,67253.10,281999.69,0.00,67972.89,67972.89,59732.59,59732.59
CPTY_A,2016-05-05,0.245902,81797.19,80719.38,336041.41,0.00,82205.13,82205.13,67223.44,67223.44
CPTY_A,2016-06-06,0.333333,93917.30,93065.42,384731.97,0.00,94552.80,94552.80,74391.79,74391.79
CPTY_A,2016-07-05,0.412568,103813.00,103457.24,420594.44,0.00,104683.13,104683.13,80209.33,80209.33
CPTY_A,2016-08-05,0.497268,113348.91,113476.41,476771.53,0.00,114494.99,114494.99,86049.20,86049.20
CPTY_A,2016-09-05,0.581967,176761.88,75443.17,593526.50,0.00,178848.24,178848.24,99555.16,99555.16
CPTY_A,2016-10-05,0.663934,183478.73,81352.22,630746.75,0.00,185944.27,185944.27,110220.48,110220.48
CPTY_A,2016-11-07,0.754098,189283.20,87085.42,662435.19,0.00,192167.65,192167.65,120018.51,120018.51
CPTY_A,2016-12-05,0.830601,193403.23,92015.02,694490.94,0.00,196646.48,196646.48,127076.35,127076.35
CPTY_A,2017-01-05,0.915330,199216.44,97764.74,716663.50,0.00,202895.30,202895.30,134094.69,134094.69
CPTY_A,2017-02-06,1.003002,204749.56,103461.23,751773.44,0.00,208889.95,208889.95,140632.45,140632.45
CPTY_A,2017-03-06,1.079714,143646.73,142609.20,605911.75,0.00,146772.46,208889.95,141068.69,145482.06
CPTY_A,2017-04-05,1.161906,147233.06,146725.31,627078.94,0.00,150679.85,208889.95,141748.58,149967.46
CPTY_A,2017-05-05,1.244098,151673.67,150769.45,639588.00,0.00,155475.16,208889.95,142655.43,153860.20
CPTY_A,2017-06-05,1.329029,155712.50,154983.75,659205.69,0.00,159881.67,208889.95,143756.27,157376.87
CPTY_A,2017-07-05,1.411221,158664.09,158501.28,657969.94,0.00,163175.47,208889.95,144887.27,160377.07
CPTY_A,2017-08-07,1.501632,162628.08,162846.69,693131.63,0.00,167549.37,208889.95,146251.72,163297.96
CPTY_A,2017-09-05,1.581084,202459.70,105490.88,717851.63,0.00,208912.07,208912.07,149400.51,165590.14
CPTY_A,2017-10-05,1.663276,205800.20,107795.43,731860.50,0.00,212702.08,212702.08,152528.60,167918.21
CPTY_A,2017-11-06,1.750947,209567.25,111370.66,755533.56,0.00,216968.69,216968.69,155755.16,170374.20
CPTY_A,2017-12-05,1.830399,211706.23,113975.45,776805.75,0.00,219525.48,219525.48,158523.24,172507.71
CPTY_A,2018-01-05,1.915330,213936.42,116045.78,799471.06,0.00,222208.37,222208.37,161347.23,174711.59
CPTY_A,2018-02-05,2.000262,216754.22,118770.73,815373.25,0.00,225510.93,225510.93,164071.63,176868.54
CPTY_A,2018-03-05,2.076974,145939.50,146191.91,626016.38,0.00,152065.89,225510.93,163628.20,178665.13
CPTY_A,2018-04-05,2.161906,148078.41,148999.70,624630.25,0.00,154554.30,225510.93,163271.73,180505.49
CPTY_A,2018-05-07,2.249577,150057.98,150589.50,625656.44,0.00,156892.58,225510.93,163023.12,182259.45
CPTY_A,2018-06-05,2.329029,151460.00,152104.72,629112.94,0.00,158607.80,225510.93,162872.49,183734.92
CPTY_A,2018-07-05,2.411221,153328.97,154355.80,670528.63,0.00,160826.51,225510.93,162802.75,185158.95
CPTY_A,2018-08-06,2.498892,154643.88,156027.48,678123.75,0.00,162487.55,225510.93,162791.69,186574.66
CPTY_A,2018-09-05,2.581084,185641.45,89884.48,686061.00,0.00,195375.08,225510.93,163829.28,187814.54
CPTY_A,2018-10-05,2.663276,187603.63,90980.80,688563.88,0.00,197761.72,225510.93,164876.47,188977.90
CPTY_A,2018-11-05,2.748207,188845.67,92039.80,688056.13,0.00,199406.10,225510.93,165943.59,190106.93
CPTY_A,2018-12-05,2.830399,189969.92,93743.66,695820.81,0.00,200919.97,225510.93,166959.26,191135.02
CPTY_A,2019-01-07,2.920810,191114.91,94844.91,717790.44,0.00,202493.15,225510.93,168059.18,192199.10
CPTY_A,2019-02-05,3.000262,192471.11,96216.23,710849.00,0.00,204251.18,225510.93,169017.61,193081.25
CPTY_A,2019-03-05,3.076974,115319.84,115681.20,498368.38,0.00,122563.95,225510.93,167859.47,193889.76
CPTY_A,2019-04-05,3.161906,115633.35,116669.73,506908.06,0.00,123104.01,225510.93,166657.30,194739.13
CPTY_A,2019-05-06,3.246837,116199.16,116893.75,508910.75,0.00,123914.59,225510.93,165539.22,195544.07
CPTY_A,2019-06-05,3.329029,116776.88,117646.71,505321.88,0.00,124733.50,225510.93,164531.75,196283.93
CPTY_A,2019-07-05,3.411221,118039.93,119292.15,513346.88,0.00,126287.98,225510.93,163610.29,196988.14
CPTY_A,2019-08-05,3.496152,118495.66,120238.92,527750.06,0.00,126988.94,225510.93,162720.65,197681.04
CPTY_A,2019-09-05,3.581084,145442.14,52429.67,504403.28,0.00,156129.17,225510.93,162564.32,198341.07
CPTY_A,2019-10-07,3.668755,145891.75,52302.57,500162.53,0.00,156883.93,225510.93,162428.58,198990.34
CPTY_A,2019-11-05,3.748207,146128.44,52507.84,502453.00,0.00,157385.86,225510.93,162321.69,199552.51
CPTY_A,2019-12-05,3.830399,146580.02,53122.45,500695.91,0.00,158129.37,225510.93,162231.73,200109.52
CPTY_A,2020-01-06,3.918033,147061.33,53722.88,503779.47,0.00,158924.26,225510.93,162157.75,200677.67
CPTY_A,2020-02-05,4.000000,147553.78,54379.63,513057.72,0.00,159716.16,225510.93,162107.72,201186.55
CPTY_A,2020-03-05,4.079235,64291.28,63843.43,284514.88,0.00,69699.92,225510.93,160312.79,201659.02
CPTY_A,2020-04-06,4.166667,64401.40,64651.20,294019.00,0.00,69940.28,225510.93,158416.45,202159.52
CPTY_A,2020-05-05,4.245902,64443.67,64567.76,296115.38,0.00,70096.08,225510.93,156768.26,202595.29
CPTY_A,2020-06-05,4.330601,64613.54,64778.71,293742.25,0.00,70398.81,225510.93,155079.01,203043.49
CPTY_A,2020-07-06,4.415301,64766.02,65735.29,295159.44,0.00,70683.39,225510.93,153460.04,203474.48
CPTY_A,2020-08-05,4.497268,64932.79,66425.16,296271.25,0.00,70980.50,225510.93,151956.77,203876.12
CPTY_A,2020-09-07,4.587432,97387.49,5797.95,254998.03,0.00,106648.20,225510.93,151066.25,204301.34
CPTY_A,2020-10-05,4.663934,97388.18,5800.98,254707.11,0.00,106810.63,225510.93,150340.32,204649.24
CPTY_A,2020-11-05,4.748634,97393.08,5803.68,254655.25,0.00,106995.30,225510.93,149567.19,205021.34
CPTY_A,2020-12-07,4.836066,97398.80,5801.85,256021.56,0.00,107186.99,225510.93,148801.00,205391.78
CPTY_A,2021-01-05,4.915330,97407.08,5801.25,256769.97,0.00,107364.40,225510.93,148132.79,205716.22
CPTY_A,2021-02-05,5.000262,97420.78,5802.10,257587.36,0.00,107559.75,225510.93,147443.64,206052.44
CPTY_A,2021-03-05,5.076974,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-04-06,5.164646,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-05-05,5.244098,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-06-07,5.334509,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-07-05,5.411221,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-08-05,5.496152,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-09-06,5.583824,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-10-05,5.663276,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-11-05,5.748207,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2021-12-06,5.833139,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-01-05,5.915330,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-02-07,6.005741,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-03-07,6.082454,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-04-05,6.161906,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-05-05,6.244098,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
CPTY_A,2022-06-06,6.331769,0.00,0.00,0.00,0.00,0.00,225510.93,0.00,0.00
