#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20,2016-02-05,0.000000,598,0,0,0,598,598,598,597.96,597.96
Swap_20,2016-03-07,0.084699,146920,145071,0,0,615756,147172,147172,147172.09,147172.09
Swap_20,2016-04-05,0.163934,201067,200249,0,0,833622,201735,201735,173544.11,173544.11
Swap_20,2016-05-06,0.248634,241898,243200,0,0,1029179,243117,243117,197244.92,197244.92
Swap_20,2016-06-06,0.333333,277439,278394,0,0,1213688,279316,279316,218099.12,218099.12
Swap_20,2016-07-05,0.412568,307722,308863,0,0,1292936,310302,310302,235806.89,235806.89
Swap_20,2016-08-05,0.497268,336403,337253,0,0,1486955,339804,339804,253520.75,253520.75
Swap_20,2016-09-06,0.584699,412397,312078,0,0,1652023,417287,417287,278009.21,278009.21
Swap_20,2016-10-05,0.663934,432709,332770,0,0,1789460,438524,438524,297165.27,297165.27
Swap_20,2016-11-07,0.754098,458065,359534,0,0,1922320,465046,465046,317237.94,317237.94
Swap_20,2016-12-05,0.830601,480358,382542,0,0,2102211,488413,488413,333004.05,333004.05
Swap_20,2017-01-05,0.915330,502477,404555,0,0,2198693,511756,511756,349550.57,349550.57
Swap_20,2017-02-06,1.003002,522729,424823,0,0,2365162,533299,533299,365611.82,365611.82
Swap_20,2017-03-06,1.079714,484452,485525,0,0,2224178,494993,533299,374804.20,377525.80
Swap_20,2017-04-05,1.161906,500868,502720,0,0,2217144,512593,533299,384551.22,388545.01
Swap_20,2017-05-05,1.244098,514379,516425,0,0,2305885,527272,533299,393980.09,398108.25
Swap_20,2017-06-06,1.331769,525558,527845,0,0,2274448,539659,539659,403570.21,407426.60
Swap_20,2017-07-05,1.411221,538527,541095,0,0,2389519,553839,553839,412030.37,415669.65
Swap_20,2017-08-07,1.501632,560672,563297,0,0,2484366,577638,577638,422001.37,425421.53
Swap_20,2017-09-05,1.581084,600288,506576,0,0,2550453,619419,619419,431921.92,435170.21
Swap_20,2017-10-05,1.663276,610306,516289,0,0,2577515,630773,630773,441748.28,444836.05
Swap_20,2017-11-06,1.750947,623666,531078,0,0,2702256,645692,645692,451959.90,454893.08
Swap_20,2017-12-05,1.830399,637803,545175,0,0,2752132,661360,661360,461049.33,463855.18
Swap_20,2018-01-05,1.915330,647719,556758,0,0,2836729,672763,672763,470437.37,473118.80
Swap_20,2018-02-05,2.000262,659605,568797,0,0,2943313,686252,686252,479600.91,482168.49
Swap_20,2018-03-05,2.076974,604313,614069,0,0,2764414,629681,686252,485144.08,489706.25
Swap_20,2018-04-05,2.161906,617108,625546,0,0,2854536,644096,686252,491388.58,497427.65
Swap_20,2018-05-08,2.252317,632233,641004,0,0,2954629,661065,686252,498199.60,505007.32
Swap_20,2018-06-05,2.329029,643457,652494,0,0,3061976,673823,686252,503984.19,510977.07
Swap_20,2018-07-05,2.411221,654795,663307,0,0,3112228,686814,686814,510216.34,516970.85
Swap_20,2018-08-06,2.498892,669629,676881,0,0,3089335,703593,703593,517000.77,523518.31
Swap_20,2018-09-05,2.581084,703124,613339,0,0,3195344,739991,739991,524101.64,530411.63
Swap_20,2018-10-05,2.663276,716927,625955,0,0,3207336,755746,755746,531250.45,537365.71
Swap_20,2018-11-05,2.748207,729667,637854,0,0,3249909,770471,770471,538643.41,544569.68
Swap_20,2018-12-05,2.830399,737104,646642,0,0,3323034,779591,779591,545640.28,551394.46
Swap_20,2019-01-07,2.920810,747810,656469,0,0,3365267,792332,792332,553276.39,558852.45
Swap_20,2019-02-05,3.000262,760985,668024,0,0,3365797,807560,807560,560010.27,565438.66
Swap_20,2019-03-05,3.076974,707633,708897,0,0,3293782,752085,807560,564798.89,571475.02
Swap_20,2019-04-05,3.161906,711957,716403,0,0,3153748,757954,807560,569987.20,577816.48
Swap_20,2019-05-07,3.249577,720999,724648,0,0,3432859,768914,807560,575354.10,584014.80
Swap_20,2019-06-05,3.329029,737428,735800,0,0,3390072,787673,807560,580421.39,589350.03
Swap_20,2019-07-05,3.411221,729177,736654,0,0,3357262,780128,807560,585233.23,594607.71
Swap_20,2019-08-05,3.496152,726871,739498,0,0,3400275,778970,807560,589939.66,599780.94
Swap_20,2019-09-05,3.581084,754069,672036,0,0,3468658,809478,809478,595146.39,604754.26
Swap_20,2019-10-07,3.668755,759686,678050,0,0,3442577,816924,816924,600446.15,609824.43
Swap_20,2019-11-05,3.748207,760912,681080,0,0,3438642,819531,819531,605090.17,614269.65
Swap_20,2019-12-05,3.830399,768948,688656,0,0,3567146,829535,829535,609906.24,618888.76
Swap_20,2020-01-06,3.918033,778607,697265,0,0,3695492,841414,841414,615084.33,623865.93
Swap_20,2020-02-05,4.000000,792403,708154,0,0,3790077,857719,857719,620056.34,628657.99
Swap_20,2020-03-05,4.079235,725941,733464,0,0,3442477,787012,857719,623299.30,633107.26
Swap_20,2020-04-06,4.166667,734056,740434,0,0,3753062,797188,857719,626948.12,637820.42
Swap_20,2020-05-05,4.245902,741127,748194,0,0,3856729,806132,857719,630291.96,641924.05
Swap_20,2020-06-05,4.330601,751908,757736,0,0,3817745,819231,857719,633987.31,646144.63
Swap_20,2020-07-06,4.415301,752742,762667,0,0,3682701,821517,857719,637584.72,650203.29
Swap_20,2020-08-05,4.497268,759169,769821,0,0,3858931,829876,857719,641089.42,653985.46
Swap_20,2020-09-08,4.590164,776998,696425,0,0,3952682,850929,857719,645336.19,658108.63
Swap_20,2020-10-05,4.663934,785808,704207,0,0,3986470,861837,861837,648760.62,661331.04
Swap_20,2020-11-05,4.748634,784547,705506,0,0,3919787,861897,861897,652562.25,664908.46
Swap_20,2020-12-07,4.836066,791461,712773,0,0,3915757,870999,870999,656511.39,668634.39
Swap_20,2021-01-05,4.915330,798417,717860,0,0,3997660,880034,880034,660115.93,672043.43
Swap_20,2021-02-05,5.000262,799684,720237,0,0,4160738,882910,882910,663900.18,675625.09
Swap_20,2021-03-05,5.076974,731590,743380,0,0,3883827,808957,882910,666091.97,678757.14
Swap_20,2021-04-06,5.164646,729899,744085,0,0,3831057,808490,882910,668509.21,682222.70
Swap_20,2021-05-05,5.244098,734005,748524,0,0,3865240,814318,882910,670718.32,685263.27
Swap_20,2021-06-07,5.334509,748002,755956,0,0,3753197,831333,882910,673440.48,688613.06
Swap_20,2021-07-06,5.413961,743838,760663,0,0,3790224,828007,882910,675708.80,691464.45
Swap_20,2021-08-05,5.496152,757953,766589,0,0,4021744,845093,882910,678241.85,694327.41
Swap_20,2021-09-07,5.586563,758858,685598,0,0,3975930,847619,882910,680982.98,697379.37
Swap_20,2021-10-05,5.663276,758139,686545,0,0,3915957,848103,882910,683246.72,699892.50
Swap_20,2021-11-05,5.748207,760137,690132,0,0,3886886,851769,882910,685736.68,702596.65
Swap_20,2021-12-06,5.833139,761035,692849,0,0,3830652,854210,882910,688189.69,705222.04
Swap_20,2022-01-05,5.915330,766728,698296,0,0,3759719,862002,882910,690604.75,707690.97
Swap_20,2022-02-07,6.005741,771214,703043,0,0,3732775,868599,882910,693284.30,710328.74
Swap_20,2022-03-07,6.082454,703401,725352,0,0,3368133,793427,882910,694547.31,712505.35
Swap_20,2022-04-05,6.161906,705030,726997,0,0,3473939,796517,882910,695862.11,714702.57
Swap_20,2022-05-05,6.244098,708091,729958,0,0,3647087,801278,882910,697249.71,716916.71
Swap_20,2022-06-07,6.334509,715685,737023,0,0,3504979,811323,882910,698877.85,719285.90
Swap_20,2022-07-05,6.411221,716424,739369,0,0,3535576,813396,882910,700248.10,721243.72
Swap_20,2022-08-05,6.496152,718333,743087,0,0,3672144,816935,882910,701773.68,723357.37
Swap_20,2022-09-06,6.583824,730016,667631,0,0,3395438,831664,882910,703503.32,725482.00
Swap_20,2022-10-05,6.663276,732260,670300,0,0,3458473,835535,882910,705077.65,727359.16
Swap_20,2022-11-07,6.753687,738833,675669,0,0,3609555,844545,882910,706944.68,729441.51
Swap_20,2022-12-05,6.830399,743598,680758,0,0,3485267,851284,882910,708565.77,731165.12
Swap_20,2023-01-05,6.915330,743905,682619,0,0,3509341,853069,882910,710340.50,733028.80
Swap_20,2023-02-06,7.003002,747982,687467,0,0,3553869,859235,882910,712204.53,734905.18
Swap_20,2023-03-06,7.079714,671127,699637,0,0,3411377,772120,882910,712853.74,736508.90
Swap_20,2023-04-05,7.161906,679710,708326,0,0,3556923,783266,882910,713661.81,738189.03
