Mon Mar 23 20:21:34 2026    /tmp/usd_basis.prof

         1310957 function calls (1293575 primitive calls) in 1.962 seconds

   Ordered by: cumulative time
   List reduced from 6044 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    614/1    0.039    0.000    1.963    1.963 {built-in method builtins.exec}
        1    0.000    0.000    1.963    1.963 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_basis_swaps.py:1(<module>)
        1    0.000    0.000    1.780    1.780 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_basis_swaps.py:537(main)
        1    0.000    0.000    1.777    1.777 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_basis_swaps.py:517(_run_cli)
        1    0.000    0.000    1.777    1.777 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:7704(main)
        1    0.003    0.003    1.775    1.775 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:7089(_run_case)
        1    0.000    0.000    1.334    1.334 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:5019(_compute_snapshot_case)
        1    0.000    0.000    1.334    1.334 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:2288(load_from_ore_xml)
        1    0.000    0.000    1.324    1.324 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:848(resolve_lgm_params)
        1    0.000    0.000    1.015    1.015 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:775(calibrate_lgm_params_via_ore)
        1    0.000    0.000    1.011    1.011 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:512(run)
        1    0.000    0.000    1.008    1.008 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:1178(communicate)
        1    0.000    0.000    1.008    1.008 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:2072(_communicate)
       19    0.000    0.000    1.008    0.053 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
       19    1.007    0.053    1.007    0.053 {method 'poll' of 'select.poll' objects}
   610/10    0.002    0.000    0.482    0.048 <frozen importlib._bootstrap>:1349(_find_and_load)
   610/10    0.001    0.000    0.482    0.048 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   578/10    0.001    0.000    0.481    0.048 <frozen importlib._bootstrap>:911(_load_unlocked)
   483/10    0.001    0.000    0.481    0.048 <frozen importlib._bootstrap_external>:1020(exec_module)
  1392/19    0.000    0.000    0.480    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.309    0.309 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:730(resolve_calibration_xml_path)
   439/46    0.000    0.000    0.308    0.007 {built-in method builtins.__import__}
        1    0.006    0.006    0.306    0.306 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:691(_candidate_ore_xmls_with_calibration)
        1    0.000    0.000    0.299    0.299 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:1467(ore_input_validation_dataframe)
        1    0.000    0.000    0.298    0.298 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/__init__.py:1(<module>)
      405    0.006    0.000    0.265    0.001 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:611(_parse_ore_setup_context)
  777/368    0.001    0.000    0.263    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.201    0.201 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/api.py:1(<module>)
        1    0.000    0.000    0.175    0.175 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/apps/ore_snapshot_cli.py:1(<module>)
