#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
SWAP_EUR_5Y_A_flat,2016-02-05,0.000000,818,0,0,0,818,818,818,818.02,818.02
SWAP_EUR_5Y_A_flat,2016-03-07,0.084699,51935,50428,0,0,215785,52024,52024,52023.92,52023.92
SWAP_EUR_5Y_A_flat,2016-04-05,0.163934,67748,67253,0,0,282000,67973,67973,59732.59,59732.59
SWAP_EUR_5Y_A_flat,2016-05-05,0.245902,81797,80719,0,0,336041,82205,82205,67223.44,67223.44
SWAP_EUR_5Y_A_flat,2016-06-06,0.333333,93917,93065,0,0,384732,94553,94553,74391.79,74391.79
SWAP_EUR_5Y_A_flat,2016-07-05,0.412568,103813,103457,0,0,420594,104683,104683,80209.33,80209.33
SWAP_EUR_5Y_A_flat,2016-08-05,0.497268,113349,113476,0,0,476772,114495,114495,86049.20,86049.20
SWAP_EUR_5Y_A_flat,2016-09-05,0.581967,176762,75443,0,0,593527,178848,178848,99555.16,99555.16
SWAP_EUR_5Y_A_flat,2016-10-05,0.663934,183479,81352,0,0,630747,185944,185944,110220.48,110220.48
SWAP_EUR_5Y_A_flat,2016-11-07,0.754098,189283,87085,0,0,662435,192168,192168,120018.51,120018.51
SWAP_EUR_5Y_A_flat,2016-12-05,0.830601,193403,92015,0,0,694491,196646,196646,127076.35,127076.35
SWAP_EUR_5Y_A_flat,2017-01-05,0.915330,199216,97765,0,0,716664,202895,202895,134094.69,134094.69
SWAP_EUR_5Y_A_flat,2017-02-06,1.003002,204750,103461,0,0,751773,208890,208890,140632.45,140632.45
SWAP_EUR_5Y_A_flat,2017-03-06,1.079714,143647,142609,0,0,605912,146772,208890,141068.69,145482.06
SWAP_EUR_5Y_A_flat,2017-04-05,1.161906,147233,146725,0,0,627079,150680,208890,141748.58,149967.46
SWAP_EUR_5Y_A_flat,2017-05-05,1.244098,151674,150769,0,0,639588,155475,208890,142655.43,153860.20
SWAP_EUR_5Y_A_flat,2017-06-05,1.329029,155713,154984,0,0,659206,159882,208890,143756.27,157376.87
SWAP_EUR_5Y_A_flat,2017-07-05,1.411221,158664,158501,0,0,657970,163175,208890,144887.27,160377.07
SWAP_EUR_5Y_A_flat,2017-08-07,1.501632,162628,162847,0,0,693132,167549,208890,146251.72,163297.96
SWAP_EUR_5Y_A_flat,2017-09-05,1.581084,202460,105491,0,0,717852,208912,208912,149400.51,165590.14
SWAP_EUR_5Y_A_flat,2017-10-05,1.663276,205800,107795,0,0,731861,212702,212702,152528.60,167918.21
SWAP_EUR_5Y_A_flat,2017-11-06,1.750947,209567,111371,0,0,755534,216969,216969,155755.16,170374.20
SWAP_EUR_5Y_A_flat,2017-12-05,1.830399,211706,113975,0,0,776806,219525,219525,158523.24,172507.71
SWAP_EUR_5Y_A_flat,2018-01-05,1.915330,213936,116046,0,0,799471,222208,222208,161347.23,174711.59
SWAP_EUR_5Y_A_flat,2018-02-05,2.000262,216754,118771,0,0,815373,225511,225511,164071.63,176868.54
SWAP_EUR_5Y_A_flat,2018-03-05,2.076974,145940,146192,0,0,626016,152066,225511,163628.20,178665.13
SWAP_EUR_5Y_A_flat,2018-04-05,2.161906,148078,149000,0,0,624630,154554,225511,163271.73,180505.49
SWAP_EUR_5Y_A_flat,2018-05-07,2.249577,150058,150590,0,0,625656,156893,225511,163023.12,182259.45
SWAP_EUR_5Y_A_flat,2018-06-05,2.329029,151460,152105,0,0,629113,158608,225511,162872.49,183734.92
SWAP_EUR_5Y_A_flat,2018-07-05,2.411221,153329,154356,0,0,670529,160827,225511,162802.75,185158.95
SWAP_EUR_5Y_A_flat,2018-08-06,2.498892,154644,156027,0,0,678124,162488,225511,162791.69,186574.66
