#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,597.96,597.96,597.96,597.96,597.96
CPTY_A,2016-03-07,0.084699,146920.11,145071.41,615756.06,0.00,147172.09,147172.09,147172.09,147172.09
CPTY_A,2016-04-05,0.163934,201066.94,200249.16,833622.38,0.00,201734.90,201734.90,173544.11,173544.11
CPTY_A,2016-05-06,0.248634,241897.59,243199.55,1029178.69,0.00,243117.44,243117.44,197244.92,197244.92
CPTY_A,2016-06-06,0.333333,277438.97,278394.09,1213687.75,0.00,279316.28,279316.28,218099.12,218099.12
CPTY_A,2016-07-05,0.412568,307722.44,308863.34,1292935.63,0.00,310301.68,310301.68,235806.89,235806.89
CPTY_A,2016-08-05,0.497268,336402.97,337252.75,1486954.75,0.00,339804.38,339804.38,253520.75,253520.75
CPTY_A,2016-09-06,0.584699,412397.25,312078.16,1652023.13,0.00,417287.35,417287.35,278009.21,278009.21
CPTY_A,2016-10-05,0.663934,432709.16,332770.38,1789459.50,0.00,438523.79,438523.79,297165.27,297165.27
CPTY_A,2016-11-07,0.754098,458065.38,359534.19,1922320.00,0.00,465045.72,465045.72,317237.94,317237.94
CPTY_A,2016-12-05,0.830601,480357.63,382541.78,2102210.75,0.00,488412.90,488412.90,333004.05,333004.05
CPTY_A,2017-01-05,0.915330,502476.81,404555.13,2198693.00,0.00,511755.87,511755.87,349550.57,349550.57
CPTY_A,2017-02-06,1.003002,522728.69,424823.25,2365162.25,0.00,533299.14,533299.14,365611.82,365611.82
CPTY_A,2017-03-06,1.079714,484451.53,485524.66,2224178.00,0.00,494993.12,533299.14,374804.20,377525.80
CPTY_A,2017-04-05,1.161906,500867.56,502719.59,2217144.00,0.00,512593.08,533299.14,384551.22,388545.01
CPTY_A,2017-05-05,1.244098,514379.38,516425.31,2305884.75,0.00,527271.60,533299.14,393980.09,398108.25
CPTY_A,2017-06-06,1.331769,525557.88,527844.69,2274447.75,0.00,539658.62,539658.62,403570.21,407426.60
CPTY_A,2017-07-05,1.411221,538526.81,541095.19,2389518.50,0.00,553838.99,553838.99,412030.37,415669.65
CPTY_A,2017-08-07,1.501632,560671.63,563296.63,2484366.25,0.00,577638.17,577638.17,422001.37,425421.53
CPTY_A,2017-09-05,1.581084,600287.75,506576.00,2550452.75,0.00,619418.83,619418.83,431921.92,435170.21
CPTY_A,2017-10-05,1.663276,610305.56,516289.25,2577515.00,0.00,630773.23,630773.23,441748.28,444836.05
CPTY_A,2017-11-06,1.750947,623665.75,531078.00,2702255.50,0.00,645692.26,645692.26,451959.90,454893.08
CPTY_A,2017-12-05,1.830399,637803.13,545174.50,2752132.00,0.00,661360.01,661360.01,461049.33,463855.18
CPTY_A,2018-01-05,1.915330,647719.13,556757.69,2836729.00,0.00,672763.48,672763.48,470437.37,473118.80
CPTY_A,2018-02-05,2.000262,659604.69,568797.13,2943313.00,0.00,686252.25,686252.25,479600.91,482168.49
CPTY_A,2018-03-05,2.076974,604312.81,614069.13,2764414.25,0.00,629681.28,686252.25,485144.08,489706.25
CPTY_A,2018-04-05,2.161906,617108.19,625545.88,2854535.50,0.00,644096.11,686252.25,491388.58,497427.65
CPTY_A,2018-05-08,2.252317,632232.88,641003.69,2954628.75,0.00,661064.68,686252.25,498199.60,505007.32
CPTY_A,2018-06-05,2.329029,643456.50,652494.00,3061976.00,0.00,673822.94,686252.25,503984.19,510977.07
CPTY_A,2018-07-05,2.411221,654795.19,663307.13,3112227.75,0.00,686813.59,686813.59,510216.34,516970.85
CPTY_A,2018-08-06,2.498892,669628.94,676880.56,3089335.00,0.00,703593.10,703593.10,517000.77,523518.31
CPTY_A,2018-09-05,2.581084,703124.06,613338.69,3195344.00,0.00,739990.51,739990.51,524101.64,530411.63
CPTY_A,2018-10-05,2.663276,716926.81,625954.69,3207335.75,0.00,755745.99,755745.99,531250.45,537365.71
CPTY_A,2018-11-05,2.748207,729667.44,637853.81,3249909.00,0.00,770471.13,770471.13,538643.41,544569.68
CPTY_A,2018-12-05,2.830399,737104.06,646642.44,3323033.75,0.00,779591.41,779591.41,545640.28,551394.46
