#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Composite,2016-02-05,0.000000,51935,0,0,0,51935,51935,51935,51934.53,51934.53
Composite,2016-05-06,0.248634,184326,136541,0,0,790789,185258,185258,185258.23,185258.23
Composite,2016-08-05,0.497268,298582,242425,0,0,1090368,301601,301601,243429.83,243429.83
Composite,2016-11-07,0.754098,260566,319537,0,0,1231257,264562,301601,250627.15,263241.89
Composite,2017-02-06,1.003002,291990,353204,0,0,1215012,297944,301601,262369.29,272761.13
Composite,2017-05-05,1.244098,373194,336617,0,0,1559298,382666,382666,285681.79,294059.78
Composite,2017-08-07,1.501632,407628,369405,0,0,1819607,420146,420146,308742.79,315683.93
Composite,2017-11-06,1.750947,401055,453189,0,0,1804656,415440,420146,323935.34,330558.15
Composite,2018-02-05,2.000262,445466,490093,0,0,2093806,463743,463743,341361.10,347158.44
Composite,2018-05-08,2.252317,484056,433328,0,0,2144959,506470,506470,359838.28,364986.85
Composite,2018-08-06,2.498892,497909,455840,0,0,1986720,523550,523550,375992.38,380632.91
Composite,2018-11-05,2.748207,446260,505778,0,0,2050664,471595,523550,384665.41,393598.26
Composite,2019-02-05,3.000262,468855,518780,0,0,2134504,497987,523550,394185.68,404515.65
Composite,2019-05-07,3.249577,523202,479200,0,0,2501929,558499,558499,406792.20,416329.63
Composite,2019-08-05,3.496152,548719,506975,0,0,2604932,588644,588644,419617.80,428482.58
Composite,2019-11-05,3.748207,498249,546369,0,0,2385446,537213,588644,427525.73,439252.94
Composite,2020-02-05,4.000000,540086,582755,0,0,2508084,585276,588644,437455.86,448656.86
Composite,2020-05-05,4.245902,588010,537673,0,0,2745830,640373,640373,449207.79,459760.08
Composite,2020-08-05,4.497268,598838,544791,0,0,2736062,655472,655472,460736.56,470699.05
Composite,2020-11-05,4.748634,534379,575296,0,0,2543533,587885,655472,467467.06,480479.92
Composite,2021-02-05,5.000262,558849,590551,0,0,2737661,617924,655472,475038.49,489286.07
Composite,2021-05-05,5.244098,625528,556516,0,0,2909564,695045,695045,485268.16,498853.27
Composite,2021-08-05,5.496152,596359,542199,0,0,2719919,665996,695045,493556.37,507850.66
Composite,2021-11-05,5.748207,529087,573715,0,0,2426940,593866,695045,497954.89,516059.00
Composite,2022-02-07,6.005741,532986,580372,0,0,2494619,601343,695045,502388.32,523734.15
Composite,2022-05-05,6.244098,575190,531226,0,0,2752157,652072,695045,508102.21,530273.60
Composite,2022-08-05,6.496152,576458,534412,0,0,2532253,656826,695045,513872.77,536666.83
Composite,2022-11-07,6.753687,535155,578843,0,0,2430992,612925,695045,517649.88,542706.17
Composite,2023-02-06,7.003002,522559,573452,0,0,2454051,601501,695045,520635.07,548129.60
Composite,2023-05-05,7.244098,582335,535414,0,0,2705673,673560,695045,525724.67,553019.19
Composite,2023-08-07,7.501632,584396,542888,0,0,2838929,679447,695045,531002.03,557895.00
Composite,2023-11-06,7.750947,526027,568241,0,0,2590011,614653,695045,533692.74,562306.53
Composite,2024-02-05,8.000000,536609,580552,0,0,2782768,630164,695045,536696.04,566438.89
Composite,2024-05-07,8.251366,559744,518486,0,0,2450558,660667,695045,540472.63,570356.69
Composite,2024-08-05,8.497268,579686,532537,0,0,2761517,687600,695045,544730.34,573965.03
Composite,2024-11-05,8.748634,510417,551588,0,0,2347129,608507,695045,546562.76,577443.90
Composite,2025-02-05,9.000262,524125,561070,0,0,2401673,628019,695045,548840.10,580731.77
Composite,2025-05-06,9.246837,550788,498996,0,0,2328861,663242,695045,551890.73,583780.04
Composite,2025-08-05,9.496152,559485,511385,0,0,2403256,677095,695045,555177.88,586701.22
