#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,30661.689453,3870.420251,0.000000,6335.175938,6340.801795,1822.986487,6390.479803
1,32401.554688,4313.536879,0.000000,6335.175938,6340.801795,819.960050,6390.479803
2,32437.837891,4322.014239,0.000000,6335.175938,6340.801795,-4354.366605,6390.479803
3,32773.277344,4399.082202,0.000000,6335.175938,6340.801795,-224.992222,6390.479803
4,34617.527344,4785.009651,0.000000,6335.175938,6340.801795,630.485432,6390.479803
5,35211.464844,4897.286731,0.000000,6335.175938,6340.801795,-3730.609228,6390.479803
6,35366.582031,4925.745678,0.000000,6335.175938,6340.801795,1696.447175,6390.479803
7,35366.882813,4925.800523,0.000000,6335.175938,6340.801795,-3146.875980,6390.479803
8,35766.988281,4997.622882,0.000000,6335.175938,6340.801795,-1500.020127,6390.479803
9,37388.562500,5267.042310,0.000000,6335.175938,6340.801795,-1126.807256,6390.479803
10,37683.433594,5312.570472,0.000000,6335.175938,6340.801795,1839.434169,6390.479803
11,38289.351563,5403.024908,0.000000,6335.175938,6340.801795,-2279.165762,6390.479803
12,38743.210938,5468.148619,0.000000,6335.175938,6340.801795,-2722.545668,6390.479803
13,39367.195313,5554.164908,0.000000,6335.175938,6340.801795,2763.097549,6390.479803
14,39626.468750,5588.747399,0.000000,6335.175938,6340.801795,2268.998889,6390.479803
15,39739.917969,5603.670753,0.000000,6335.175938,6340.801795,-620.008801,6390.479803
16,40024.968750,5640.614724,0.000000,6335.175938,6340.801795,-850.324954,6390.479803
17,40079.949219,5647.650523,0.000000,6335.175938,6340.801795,1567.203295,6390.479803
18,40382.882813,5685.902596,0.000000,6335.175938,6340.801795,5041.544573,6390.479803
19,40544.429688,5705.949792,0.000000,6335.175938,6340.801795,-1748.223878,6390.479803
20,40756.683594,5731.923094,0.000000,6335.175938,6340.801795,-3481.457917,6390.479803
21,40814.257813,5738.897314,0.000000,6335.175938,6340.801795,3118.952585,6390.479803
22,40922.390625,5751.914591,0.000000,6335.175938,6340.801795,-637.701791,6390.479803
23,41195.660156,5784.342638,0.000000,6335.175938,6340.801795,-2250.479932,6390.479803
24,41289.460938,5795.320333,0.000000,6335.175938,6340.801795,-1348.478615,6390.479803
25,41293.738281,5795.819064,0.000000,6335.175938,6340.801795,1472.438748,6390.479803
26,41376.070313,5805.387449,0.000000,6335.175938,6340.801795,4991.568919,6390.479803
27,42091.195313,5886.024700,0.000000,6335.175938,6340.801795,-2529.291845,6390.479803
28,42915.292969,5973.616163,0.000000,6335.175938,6340.801795,2718.162460,6390.479803
29,43504.152344,6032.837749,0.000000,6335.175938,6340.801795,-3166.728333,6390.479803
30,43506.761719,6033.094078,0.000000,6335.175938,6340.801795,404.040177,6390.479803
31,43589.859375,6041.229272,0.000000,6335.175938,6340.801795,382.029056,6390.479803
32,43622.691406,6044.428664,0.000000,6335.175938,6340.801795,2092.676276,6390.479803
33,43741.921875,6055.976936,0.000000,6335.175938,6340.801795,2371.360697,6390.479803
34,43808.730469,6062.399696,0.000000,6335.175938,6340.801795,1230.654726,6390.479803
35,44122.750000,6092.129347,0.000000,6335.175938,6340.801795,500.303397,6390.479803
36,44186.750000,6098.096266,0.000000,6335.175938,6340.801795,3272.545987,6390.479803
37,44195.847656,6098.941948,0.000000,6335.175938,6340.801795,-2730.684516,6390.479803
38,44464.574219,6123.640186,0.000000,6335.175938,6340.801795,-677.035410,6390.479803
39,44648.277344,6140.212810,0.000000,6335.175938,6340.801795,1879.815586,6390.479803
40,44830.734375,6156.425165,0.000000,6335.175938,6340.801795,-2845.392339,6390.479803
41,44893.070313,6161.907811,0.000000,6335.175938,6340.801795,940.001792,6390.479803
42,44992.335938,6170.579688,0.000000,6335.175938,6340.801795,-553.254262,6390.479803
43,45022.507813,6173.201223,0.000000,6335.175938,6340.801795,-1191.328451,6390.479803
44,45125.976563,6182.140857,0.000000,6335.175938,6340.801795,-2393.433233,6390.479803
45,45315.691406,6198.330164,0.000000,6335.175938,6340.801795,111.062621,6390.479803
46,45370.566406,6202.964425,0.000000,6335.175938,6340.801795,-474.349624,6390.479803
47,45479.582031,6212.106685,0.000000,6335.175938,6340.801795,1677.856607,6390.479803
48,45597.398438,6221.891266,0.000000,6335.175938,6340.801795,2406.360095,6390.479803
49,45838.492188,6241.605922,0.000000,6335.175938,6340.801795,-6886.639717,6390.479803
50,46078.574219,6260.829818,0.000000,6335.175938,6340.801795,1588.731048,6390.479803
51,46083.652344,6261.232065,0.000000,6335.175938,6340.801795,-807.572352,6390.479803
52,46274.058594,6276.184540,0.000000,6335.175938,6340.801795,-3013.724066,6390.479803
53,46309.734375,6278.958062,0.000000,6335.175938,6340.801795,-2735.265850,6390.479803
54,46334.164063,6280.852191,0.000000,6335.175938,6340.801795,2855.894394,6390.479803
55,46560.683594,6298.218586,0.000000,6335.175938,6340.801795,409.100940,6390.479803
56,46567.988281,6298.772721,0.000000,6335.175938,6340.801795,2447.746926,6390.479803
57,46606.871094,6301.716214,0.000000,6335.175938,6340.801795,1003.091535,6390.479803
58,46981.625000,6329.555839,0.000000,6335.175938,6340.801795,-1809.837159,6390.479803
59,47021.285156,6332.446222,0.000000,6335.175938,6340.801795,769.007940,6390.479803
60,47254.738281,6349.244831,0.000000,6335.175938,6340.801795,288.924543,6390.479803
61,47271.968750,6350.470157,0.000000,6335.175938,6340.801795,-612.021818,6390.479803
62,47512.492188,6367.367342,0.000000,6335.175938,6340.801795,-1889.562789,6390.479803
63,47592.464844,6372.900140,0.000000,6335.175938,6340.801795,-480.540413,6390.479803
64,47713.304688,6381.179797,0.000000,6335.175938,6340.801795,2557.275715,6390.479803
65,47726.550781,6382.081510,0.000000,6335.175938,6340.801795,-1309.184863,6390.479803
66,47873.160156,6391.984465,0.000000,6335.175938,6340.801795,1488.199326,6390.479803
67,48280.660156,6418.769143,0.000000,6335.175938,6340.801795,-2292.824025,6390.479803
68,48291.289063,6419.453283,0.000000,6335.175938,6340.801795,-349.158011,6390.479803
69,48359.609375,6423.833283,0.000000,6335.175938,6340.801795,3235.844070,6390.479803
70,48379.218750,6425.084846,0.000000,6335.175938,6340.801795,-2149.668700,6390.479803
71,48413.417969,6427.261646,0.000000,6335.175938,6340.801795,6936.046157,6390.479803
72,48542.710938,6435.422906,0.000000,6335.175938,6340.801795,2309.340181,6390.479803
73,48588.800781,6438.306131,0.000000,6335.175938,6340.801795,3455.596261,6390.479803
74,48600.890625,6439.060166,0.000000,6335.175938,6340.801795,369.105758,6390.479803
75,48654.132813,6442.369661,0.000000,6335.175938,6340.801795,265.570479,6390.479803
76,48837.066406,6453.602082,0.000000,6335.175938,6340.801795,-796.056651,6390.479803
77,48928.605469,6459.142382,0.000000,6335.175938,6340.801795,-3560.312901,6390.479803
78,49059.496094,6466.971640,0.000000,6335.175938,6340.801795,-2604.456889,6390.479803
79,49406.605469,6487.208257,0.000000,6335.175938,6340.801795,2881.347876,6390.479803
80,49556.031250,6495.686026,0.000000,6335.175938,6340.801795,4708.830743,6390.479803
81,49593.824219,6497.808043,0.000000,6335.175938,6340.801795,2549.730503,6390.479803
82,49827.031250,6510.704747,0.000000,6335.175938,6340.801795,-2909.164438,6390.479803
83,49863.457031,6512.688534,0.000000,6335.175938,6340.801795,389.201810,6390.479803
84,49876.988281,6513.423359,0.000000,6335.175938,6340.801795,-754.918336,6390.479803
85,50081.125000,6524.371273,0.000000,6335.175938,6340.801795,142.777635,6390.479803
86,50083.609375,6524.502921,0.000000,6335.175938,6340.801795,1999.864076,6390.479803
87,50198.003906,6530.523418,0.000000,6335.175938,6340.801795,5716.114802,6390.479803
88,50238.988281,6532.660746,0.000000,6335.175938,6340.801795,-117.260909,6390.479803
89,50297.464844,6535.692374,0.000000,6335.175938,6340.801795,-61.810288,6390.479803
90,50378.460938,6539.856748,0.000000,6335.175938,6340.801795,-2891.748621,6390.479803
91,50401.527344,6541.035322,0.000000,6335.175938,6340.801795,159.741207,6390.479803
92,51050.132813,6572.845185,0.000000,6335.175938,6340.801795,3868.340054,6390.479803
93,51077.960938,6574.152782,0.000000,6335.175938,6340.801795,5139.753747,6390.479803
94,51118.937500,6576.069681,0.000000,6335.175938,6340.801795,-1521.230907,6390.479803
95,51158.277344,6577.900472,0.000000,6335.175938,6340.801795,-39.187195,6390.479803
