#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,52289.34,0.00,52289.34,52289.34,52289.34,52289.34,52289.34,52289.34
CPTY_A,2016-05-06,0.248634,52214.12,0.00,70148.34,0.00,52478.14,52478.14,52478.14,52478.14
CPTY_A,2016-08-05,0.497268,52641.62,0.00,78324.55,0.00,53174.00,53174.00,52826.07,52826.07
CPTY_A,2016-11-07,0.754098,52175.39,0.00,85604.30,0.00,52975.58,53174.00,52876.99,52944.57
CPTY_A,2017-02-06,1.003002,52039.22,0.00,84459.93,0.00,53100.47,53174.00,52932.45,53001.50
CPTY_A,2017-05-05,1.244098,51973.02,0.00,92585.38,0.00,53292.08,53292.08,53002.14,53057.81
CPTY_A,2017-08-07,1.501632,52080.61,0.00,100792.93,0.00,53679.97,53679.97,53118.39,53164.51
CPTY_A,2017-11-06,1.750947,52434.48,0.00,105451.84,0.00,54315.22,54315.22,53288.81,53328.36
CPTY_A,2018-02-05,2.000262,53000.24,0.00,116183.46,0.00,55174.71,55174.71,53523.87,53558.49
CPTY_A,2018-05-08,2.252317,52603.87,0.00,114733.71,0.00,55039.71,55174.71,53693.50,53739.36
CPTY_A,2018-08-06,2.498892,52097.51,0.00,108993.93,0.00,54780.39,55174.71,53800.75,53880.99
CPTY_A,2018-11-05,2.748207,51864.23,0.00,117944.35,0.00,54808.74,55174.71,53892.20,53998.36
CPTY_A,2019-02-05,3.000262,52180.94,0.00,121179.20,0.00,55423.16,55423.16,54020.81,54118.06
CPTY_A,2019-05-07,3.249577,52104.28,0.00,133428.97,0.00,55619.43,55619.43,54143.46,54233.24
CPTY_A,2019-08-05,3.496152,52251.59,0.00,137674.13,0.00,56053.45,56053.45,54278.17,54361.62
CPTY_A,2019-11-05,3.748207,52342.45,0.00,137001.00,0.00,56435.78,56435.78,54423.26,54501.10
CPTY_A,2020-02-05,4.000000,52822.40,0.00,142391.97,0.00,57242.19,57242.19,54600.71,54673.65
CPTY_A,2020-05-05,4.245902,52966.14,0.00,151471.45,0.00,57682.78,57682.78,54779.21,54847.92
CPTY_A,2020-08-05,4.497268,53084.14,0.00,150183.55,0.00,58104.55,58104.55,54965.07,55029.94
CPTY_A,2020-11-05,4.748634,52728.43,0.00,152149.22,0.00,58007.98,58104.55,55126.14,55192.70
CPTY_A,2021-02-05,5.000262,53535.63,0.00,161604.14,0.00,59194.77,59194.77,55330.89,55394.09
CPTY_A,2021-05-05,5.244098,54421.56,0.00,169433.64,0.00,60469.62,60469.62,55569.83,55630.09
CPTY_A,2021-08-05,5.496152,52791.56,0.00,158930.63,0.00,58956.03,60469.62,55725.12,55852.03
