#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,3855.832929,3844.270763,0.000000,4118.824349,CPTY_A,0.248634
1,2016-08-05,14,3507.058968,3481.621860,0.000000,3590.805531,CPTY_A,0.497268
2,2016-11-07,14,3853.604009,3818.927391,0.000000,3809.498039,CPTY_A,0.754098
3,2017-02-06,15,3740.304374,3735.703111,0.000000,4035.836411,CPTY_A,1.003002
4,2017-05-05,14,3886.803349,3858.235050,0.000000,4568.345508,CPTY_A,1.244098
5,2017-08-07,14,3763.574035,3640.778533,0.000000,5735.975037,CPTY_A,1.501632
6,2017-11-06,14,3744.524085,3685.809157,0.000000,3946.453717,CPTY_A,1.750947
7,2018-02-05,15,3864.750492,3778.106861,0.000000,5160.163507,CPTY_A,2.000262
8,2018-05-08,14,3887.536731,3829.635650,0.000000,4334.493430,CPTY_A,2.252317
9,2018-08-06,14,3971.461119,3876.605869,0.000000,3922.207541,CPTY_A,2.498892
10,2018-11-05,14,4334.663917,4055.592468,0.000000,4325.041034,CPTY_A,2.748207
11,2019-02-05,14,4263.113861,4132.138406,0.000000,4981.912945,CPTY_A,3.000262
12,2019-05-07,14,4010.716906,3848.795510,0.000000,4560.129000,CPTY_A,3.249577
13,2019-08-05,14,3913.192384,3817.453977,0.000000,4642.607038,CPTY_A,3.496152
14,2019-11-05,14,4195.175684,3947.111225,0.000000,4983.139278,CPTY_A,3.748207
15,2020-02-05,14,3964.367777,3828.464282,0.000000,4766.477903,CPTY_A,4.000000
16,2020-05-05,14,4343.039078,3983.733897,0.000000,4591.218217,CPTY_A,4.245902
17,2020-08-05,14,4223.541351,3953.645822,0.000000,5484.951024,CPTY_A,4.497268
18,2020-11-05,14,4328.161850,4042.401735,0.000000,5008.996033,CPTY_A,4.748634
19,2021-02-05,14,4706.689268,4316.651010,0.000000,6595.040399,CPTY_A,5.000262
20,2021-05-05,14,4651.448209,4286.520995,0.000000,4919.132478,CPTY_A,5.244098
21,2021-08-05,14,4547.095658,4099.666737,0.000000,4056.652187,CPTY_A,5.496152
22,2021-11-05,14,5018.769134,4498.156901,0.000000,6742.313758,CPTY_A,5.748207
23,2022-02-07,15,5214.767808,4634.167850,0.000000,5635.973522,CPTY_A,6.005741
24,2022-05-05,14,4390.785851,3948.646465,0.000000,5989.289801,CPTY_A,6.244098
25,2022-08-05,14,4319.793580,3953.581424,0.000000,5877.566372,CPTY_A,6.496152
26,2022-11-07,14,5108.634440,4408.413541,0.000000,5996.222355,CPTY_A,6.753687
27,2023-02-06,15,4700.903418,4117.662655,0.000000,7062.280637,CPTY_A,7.003002
28,2023-05-05,14,5072.195739,4336.755131,0.000000,6070.864741,CPTY_A,7.244098
29,2023-08-07,14,5250.101976,4510.887437,0.000000,5760.024874,CPTY_A,7.501632
30,2023-11-06,14,6027.533269,4929.914399,0.000000,9019.667328,CPTY_A,7.750947
31,2024-02-05,15,5802.771635,4909.522745,0.000000,8346.130814,CPTY_A,8.000000
32,2024-05-07,14,5170.259629,4497.575596,0.000000,7009.690560,CPTY_A,8.251366
33,2024-08-05,14,5915.278540,4914.339018,0.000000,8173.034601,CPTY_A,8.497268
34,2024-11-05,14,5064.234407,4184.934973,0.000000,7263.319503,CPTY_A,8.748634
35,2025-02-05,14,5351.590671,4380.960456,0.000000,8725.212205,CPTY_A,9.000262
36,2025-05-06,14,5662.349343,4673.303389,0.000000,8928.774566,CPTY_A,9.246837
37,2025-08-05,14,5416.812322,4354.362752,0.000000,5554.826768,CPTY_A,9.496152
38,2025-11-05,14,5720.256972,4487.501967,0.000000,8516.555492,CPTY_A,9.748207
39,2026-02-05,14,4743.935306,3908.580716,0.000000,7498.387023,CPTY_A,10.000262
40,2026-05-05,14,6111.921671,4894.885221,0.000000,9089.612533,CPTY_A,10.244098
41,2026-08-05,14,4465.748836,3901.731561,0.000000,5582.807478,CPTY_A,10.496152
42,2026-11-05,14,5534.747929,4377.109828,0.000000,7160.611975,CPTY_A,10.748207
43,2027-02-05,14,5245.944114,4626.700279,0.000000,6174.937607,CPTY_A,11.000262
44,2027-05-05,14,5351.819393,4149.434655,0.000000,8269.379783,CPTY_A,11.244098
45,2027-08-05,14,5412.893776,4771.736235,0.000000,7541.338601,CPTY_A,11.496152
46,2027-11-05,14,5928.231558,4593.300767,0.000000,6795.924317,CPTY_A,11.748207
