#Portfolio,Sample,AsOfDate,Time,InitialMargin,Currency,SimmSide,Depth
CPTY_A,0,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,0,2016-05-06,0.248634,6951.163086,,Call,0
CPTY_A,0,2016-08-05,0.497268,5986.708008,,Call,0
CPTY_A,0,2016-11-07,0.754098,6870.652344,,Call,0
CPTY_A,0,2017-02-06,1.003002,6474.623535,,Call,0
CPTY_A,0,2017-05-05,1.244098,6636.020996,,Call,0
CPTY_A,0,2017-08-07,1.501632,6424.460938,,Call,0
CPTY_A,0,2017-11-06,1.750947,6092.030762,,Call,0
CPTY_A,0,2018-02-05,2.000262,6089.349121,,Call,0
CPTY_A,0,2018-05-08,2.252317,7030.520020,,Call,0
CPTY_A,0,2018-08-06,2.498892,6970.827148,,Call,0
CPTY_A,0,2018-11-05,2.748207,6831.193359,,Call,0
CPTY_A,0,2019-02-05,3.000262,7409.833984,,Call,0
CPTY_A,0,2019-05-07,3.249577,7487.572266,,Call,0
CPTY_A,0,2019-08-05,3.496152,6611.776855,,Call,0
CPTY_A,0,2019-11-05,3.748207,7241.417480,,Call,0
CPTY_A,0,2020-02-05,4.000000,7001.118164,,Call,0
CPTY_A,0,2020-05-05,4.245902,7003.654297,,Call,0
CPTY_A,0,2020-08-05,4.497268,6157.639160,,Call,0
CPTY_A,0,2020-11-05,4.748634,6758.479004,,Call,0
CPTY_A,0,2021-02-05,5.000262,6990.464355,,Call,0
CPTY_A,0,2021-05-05,5.244098,7009.070801,,Call,0
CPTY_A,0,2021-08-05,5.496152,6174.479004,,Call,0
CPTY_A,0,2021-11-05,5.748207,7620.182129,,Call,0
CPTY_A,0,2022-02-07,6.005741,7862.656738,,Call,0
CPTY_A,0,2022-05-05,6.244098,6706.477051,,Call,0
CPTY_A,0,2022-08-05,6.496152,6936.755859,,Call,0
CPTY_A,0,2022-11-07,6.753687,7003.706543,,Call,0
CPTY_A,0,2023-02-06,7.003002,6763.599609,,Call,0
CPTY_A,0,2023-05-05,7.244098,7060.485352,,Call,0
CPTY_A,0,2023-08-07,7.501632,7315.417969,,Call,0
CPTY_A,0,2023-11-06,7.750947,7229.209961,,Call,0
CPTY_A,0,2024-02-05,8.000000,7267.640625,,Call,0
CPTY_A,0,2024-05-07,8.251366,7852.403809,,Call,0
CPTY_A,0,2024-08-05,8.497268,7455.839355,,Call,0
CPTY_A,0,2024-11-05,8.748634,6379.786621,,Call,0
CPTY_A,0,2025-02-05,9.000262,5937.156250,,Call,0
CPTY_A,0,2025-05-06,9.246837,6243.378418,,Call,0
CPTY_A,0,2025-08-05,9.496152,5780.010742,,Call,0
CPTY_A,0,2025-11-05,9.748207,5862.995605,,Call,0
CPTY_A,0,2026-02-05,10.000262,4636.706543,,Call,0
CPTY_A,0,2026-05-05,10.244098,5370.320313,,Call,0
CPTY_A,0,2026-08-05,10.496152,7142.315918,,Call,0
CPTY_A,0,2026-11-05,10.748207,7852.729492,,Call,0
CPTY_A,0,2027-02-05,11.000262,8147.875488,,Call,0
CPTY_A,0,2027-05-05,11.244098,6536.801270,,Call,0
CPTY_A,0,2027-08-05,11.496152,7463.067871,,Call,0
CPTY_A,0,2027-11-05,11.748207,6182.705566,,Call,0
CPTY_A,0,2028-02-07,12.005464,5993.738770,,Call,0
CPTY_A,0,2028-05-05,12.245902,6040.454590,,Call,0
CPTY_A,0,2028-08-07,12.502732,6046.570313,,Call,0
CPTY_A,0,2028-11-06,12.751366,5295.427246,,Call,0
CPTY_A,0,2029-02-05,13.000262,6494.169434,,Call,0
CPTY_A,0,2029-05-08,13.252317,6666.177734,,Call,0
CPTY_A,0,2029-08-06,13.498892,5659.373047,,Call,0
CPTY_A,0,2029-11-05,13.748207,5964.663574,,Call,0
CPTY_A,0,2030-02-05,14.000262,5445.327637,,Call,0
CPTY_A,0,2030-05-07,14.249577,4796.014160,,Call,0
CPTY_A,0,2030-08-05,14.496152,4856.161133,,Call,0
CPTY_A,0,2030-11-05,14.748207,5201.831055,,Call,0
CPTY_A,0,2031-02-05,15.000262,4728.165039,,Call,0
CPTY_A,0,2031-05-06,15.246837,3922.741455,,Call,0
CPTY_A,0,2031-08-05,15.496152,4504.231934,,Call,0
CPTY_A,0,2031-11-05,15.748207,3270.113525,,Call,0
CPTY_A,0,2032-02-05,16.000000,3722.419434,,Call,0
CPTY_A,0,2032-05-05,16.245902,3298.340332,,Call,0
CPTY_A,0,2032-08-05,16.497268,3381.142578,,Call,0
CPTY_A,0,2032-11-05,16.748634,2198.835205,,Call,0
CPTY_A,0,2033-02-07,17.005741,2609.899658,,Call,0
CPTY_A,0,2033-05-05,17.244098,2143.383545,,Call,0
CPTY_A,0,2033-08-05,17.496152,2246.810059,,Call,0
CPTY_A,0,2033-11-07,17.753687,2016.268677,,Call,0
CPTY_A,0,2034-02-06,18.003002,1901.173706,,Call,0
CPTY_A,0,2034-05-05,18.244098,1442.316406,,Call,0
CPTY_A,0,2034-08-07,18.501632,1373.619629,,Call,0
CPTY_A,0,2034-11-06,18.750947,944.037354,,Call,0
CPTY_A,0,2035-02-05,19.000262,852.934631,,Call,0
CPTY_A,0,2035-05-08,19.252317,488.757660,,Call,0
CPTY_A,0,2035-08-06,19.498892,430.936035,,Call,0
CPTY_A,0,2035-11-05,19.748207,1.913924,,Call,0
CPTY_A,0,2036-02-05,20.000000,0.300113,,Call,0
CPTY_A,0,2036-05-06,20.248634,0.000000,,Call,0
CPTY_A,0,2036-08-05,20.497268,0.000000,,Call,0
CPTY_A,0,2036-11-05,20.748634,0.000000,,Call,0
CPTY_A,0,2037-02-05,21.000262,0.000000,,Call,0
CPTY_A,0,2037-05-05,21.244098,0.000000,,Call,0
CPTY_A,0,2037-08-05,21.496152,0.000000,,Call,0
CPTY_A,0,2037-11-05,21.748207,0.000000,,Call,0
CPTY_A,0,2038-02-05,22.000262,0.000000,,Call,0
CPTY_A,1,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,1,2016-05-06,0.248634,6556.304199,,Call,0
CPTY_A,1,2016-08-05,0.497268,6816.436523,,Call,0
CPTY_A,1,2016-11-07,0.754098,7895.848633,,Call,0
CPTY_A,1,2017-02-06,1.003002,7957.545898,,Call,0
CPTY_A,1,2017-05-05,1.244098,7606.245117,,Call,0
CPTY_A,1,2017-08-07,1.501632,7292.394043,,Call,0
CPTY_A,1,2017-11-06,1.750947,7707.129883,,Call,0
CPTY_A,1,2018-02-05,2.000262,8060.855957,,Call,0
CPTY_A,1,2018-05-08,2.252317,7748.855469,,Call,0
CPTY_A,1,2018-08-06,2.498892,7633.160156,,Call,0
CPTY_A,1,2018-11-05,2.748207,7102.019531,,Call,0
CPTY_A,1,2019-02-05,3.000262,8476.929688,,Call,0
CPTY_A,1,2019-05-07,3.249577,9864.203125,,Call,0
CPTY_A,1,2019-08-05,3.496152,8984.768555,,Call,0
CPTY_A,1,2019-11-05,3.748207,10819.816406,,Call,0
CPTY_A,1,2020-02-05,4.000000,9907.389648,,Call,0
CPTY_A,1,2020-05-05,4.245902,11044.436523,,Call,0
CPTY_A,1,2020-08-05,4.497268,9610.102539,,Call,0
CPTY_A,1,2020-11-05,4.748634,11728.032227,,Call,0
CPTY_A,1,2021-02-05,5.000262,13807.696289,,Call,0
CPTY_A,1,2021-05-05,5.244098,12947.029297,,Call,0
CPTY_A,1,2021-08-05,5.496152,11886.425781,,Call,0
CPTY_A,1,2021-11-05,5.748207,15525.929688,,Call,0
CPTY_A,1,2022-02-07,6.005741,16166.350586,,Call,0
CPTY_A,1,2022-05-05,6.244098,11998.594727,,Call,0
CPTY_A,1,2022-08-05,6.496152,13632.525391,,Call,0
CPTY_A,1,2022-11-07,6.753687,15260.002930,,Call,0
CPTY_A,1,2023-02-06,7.003002,14542.232422,,Call,0
CPTY_A,1,2023-05-05,7.244098,15308.633789,,Call,0
CPTY_A,1,2023-08-07,7.501632,16095.325195,,Call,0
CPTY_A,1,2023-11-06,7.750947,16567.513672,,Call,0
CPTY_A,1,2024-02-05,8.000000,17174.427734,,Call,0
CPTY_A,1,2024-05-07,8.251366,17597.068359,,Call,0
CPTY_A,1,2024-08-05,8.497268,16573.779297,,Call,0
CPTY_A,1,2024-11-05,8.748634,16009.870117,,Call,0
CPTY_A,1,2025-02-05,9.000262,17036.535156,,Call,0
CPTY_A,1,2025-05-06,9.246837,19244.826172,,Call,0
CPTY_A,1,2025-08-05,9.496152,17813.310547,,Call,0
CPTY_A,1,2025-11-05,9.748207,18879.359375,,Call,0
CPTY_A,1,2026-02-05,10.000262,16454.134766,,Call,0
CPTY_A,1,2026-05-05,10.244098,19472.662109,,Call,0
CPTY_A,1,2026-08-05,10.496152,16201.611328,,Call,0
CPTY_A,1,2026-11-05,10.748207,15330.429688,,Call,0
CPTY_A,1,2027-02-05,11.000262,12462.322266,,Call,0
CPTY_A,1,2027-05-05,11.244098,12847.306641,,Call,0
CPTY_A,1,2027-08-05,11.496152,11259.745117,,Call,0
CPTY_A,1,2027-11-05,11.748207,10967.326172,,Call,0
CPTY_A,1,2028-02-07,12.005464,12376.759766,,Call,0
CPTY_A,1,2028-05-05,12.245902,11505.493164,,Call,0
CPTY_A,1,2028-08-07,12.502732,10971.426758,,Call,0
CPTY_A,1,2028-11-06,12.751366,9781.531250,,Call,0
CPTY_A,1,2029-02-05,13.000262,9059.575195,,Call,0
CPTY_A,1,2029-05-08,13.252317,8026.865234,,Call,0
CPTY_A,1,2029-08-06,13.498892,7228.933105,,Call,0
CPTY_A,1,2029-11-05,13.748207,4463.479004,,Call,0
CPTY_A,1,2030-02-05,14.000262,7975.896484,,Call,0
CPTY_A,1,2030-05-07,14.249577,7432.794434,,Call,0
CPTY_A,1,2030-08-05,14.496152,7849.768555,,Call,0
CPTY_A,1,2030-11-05,14.748207,6661.355957,,Call,0
CPTY_A,1,2031-02-05,15.000262,2455.469482,,Call,0
CPTY_A,1,2031-05-06,15.246837,6068.314453,,Call,0
CPTY_A,1,2031-08-05,15.496152,5080.950195,,Call,0
CPTY_A,1,2031-11-05,15.748207,3014.164307,,Call,0
CPTY_A,1,2032-02-05,16.000000,3992.504639,,Call,0
CPTY_A,1,2032-05-05,16.245902,4345.592773,,Call,0
CPTY_A,1,2032-08-05,16.497268,3834.080322,,Call,0
CPTY_A,1,2032-11-05,16.748634,2859.033447,,Call,0
CPTY_A,1,2033-02-07,17.005741,3197.978516,,Call,0
CPTY_A,1,2033-05-05,17.244098,2298.858154,,Call,0
CPTY_A,1,2033-08-05,17.496152,2402.552490,,Call,0
CPTY_A,1,2033-11-07,17.753687,2555.608887,,Call,0
CPTY_A,1,2034-02-06,18.003002,2424.014404,,Call,0
CPTY_A,1,2034-05-05,18.244098,1471.255981,,Call,0
CPTY_A,1,2034-08-07,18.501632,1626.561401,,Call,0
CPTY_A,1,2034-11-06,18.750947,906.431335,,Call,0
CPTY_A,1,2035-02-05,19.000262,825.540710,,Call,0
CPTY_A,1,2035-05-08,19.252317,450.819275,,Call,0
CPTY_A,1,2035-08-06,19.498892,524.253296,,Call,0
CPTY_A,1,2035-11-05,19.748207,1.830655,,Call,0
CPTY_A,1,2036-02-05,20.000000,0.369781,,Call,0
CPTY_A,1,2036-05-06,20.248634,0.000000,,Call,0
CPTY_A,1,2036-08-05,20.497268,0.000000,,Call,0
CPTY_A,1,2036-11-05,20.748634,0.000000,,Call,0
CPTY_A,1,2037-02-05,21.000262,0.000000,,Call,0
CPTY_A,1,2037-05-05,21.244098,0.000000,,Call,0
CPTY_A,1,2037-08-05,21.496152,0.000000,,Call,0
CPTY_A,1,2037-11-05,21.748207,0.000000,,Call,0
CPTY_A,1,2038-02-05,22.000262,0.000000,,Call,0
CPTY_A,2,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,2,2016-05-06,0.248634,7261.066406,,Call,0
CPTY_A,2,2016-08-05,0.497268,5169.387695,,Call,0
CPTY_A,2,2016-11-07,0.754098,5682.058594,,Call,0
CPTY_A,2,2017-02-06,1.003002,5130.160645,,Call,0
