#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,24851.330078,3692.529233,0.000000,6696.039148,6705.670689,1779.238097,6840.178027
1,26490.695313,4219.534286,0.000000,6696.039148,6705.670689,842.371528,6840.178027
2,26524.160156,4229.315113,0.000000,6696.039148,6705.670689,-4353.278912,6840.178027
3,26839.296875,4319.771349,0.000000,6696.039148,6705.670689,-223.285938,6840.178027
4,28691.000000,4798.599427,0.000000,6696.039148,6705.670689,652.701626,6840.178027
5,29279.652344,4934.661888,0.000000,6696.039148,6705.670689,-3804.404434,6840.178027
6,29432.507813,4968.878658,0.000000,6696.039148,6705.670689,1682.784888,6840.178027
7,29432.804688,4968.944682,0.000000,6696.039148,6705.670689,-3235.262143,6840.178027
8,29818.097656,5053.253841,0.000000,6696.039148,6705.670689,-1555.339169,6840.178027
9,31366.369141,5366.390459,0.000000,6696.039148,6705.670689,-1118.245225,6840.178027
10,31668.904297,5423.180589,0.000000,6696.039148,6705.670689,1947.424030,6840.178027
11,32282.601563,5534.340754,0.000000,6696.039148,6705.670689,-2324.428686,6840.178027
12,32740.224609,5613.864500,0.000000,6696.039148,6705.670689,-2790.477034,6840.178027
13,33369.523438,5718.767253,0.000000,6696.039148,6705.670689,2835.806032,6840.178027
14,33630.988281,5760.895657,0.000000,6696.039148,6705.670689,2303.552863,6840.178027
15,33744.718750,5778.960997,0.000000,6696.039148,6705.670689,-659.760301,6840.178027
16,34028.296875,5823.332830,0.000000,6696.039148,6705.670689,-899.679827,6840.178027
17,34082.910156,5831.769304,0.000000,6696.039148,6705.670689,1570.665268,6840.178027
18,34378.832031,5876.880690,0.000000,6696.039148,6705.670689,5237.683001,6840.178027
19,34535.746094,5900.394509,0.000000,6696.039148,6705.670689,-1833.524356,6840.178027
20,34741.925781,5930.869499,0.000000,6696.039148,6705.670689,-3620.739387,6840.178027
21,34797.851563,5939.054131,0.000000,6696.039148,6705.670689,3263.755683,6840.178027
22,34902.898438,5954.334211,0.000000,6696.039148,6705.670689,-647.107963,6840.178027
23,35168.386719,5992.414691,0.000000,6696.039148,6705.670689,-2339.484111,6840.178027
24,35259.523438,6005.311366,0.000000,6696.039148,6705.670689,-1379.043456,6840.178027
25,35263.679688,6005.897392,0.000000,6696.039148,6705.670689,1528.979849,6840.178027
26,35343.675781,6017.140831,0.000000,6696.039148,6705.670689,5190.286925,6840.178027
27,36026.441406,6110.373948,0.000000,6696.039148,6705.670689,-2585.671708,6840.178027
28,36869.496094,6218.987253,0.000000,6696.039148,6705.670689,2860.697638,6840.178027
29,37476.285156,6292.905706,0.000000,6696.039148,6705.670689,-3284.673579,6840.178027
30,37478.945313,6293.222145,0.000000,6696.039148,6705.670689,428.314583,6840.178027
31,37563.535156,6303.250298,0.000000,6696.039148,6705.670689,404.258860,6840.178027
32,37596.957031,6307.194223,0.000000,6696.039148,6705.670689,2187.619156,6840.178027
33,37718.335938,6321.430910,0.000000,6696.039148,6705.670689,2463.220156,6840.178027
34,37786.347656,6329.349006,0.000000,6696.039148,6705.670689,1299.649781,6840.178027
35,38104.238281,6365.801109,0.000000,6696.039148,6705.670689,526.123869,6840.178027
36,38168.820313,6373.095298,0.000000,6696.039148,6705.670689,3402.387285,6840.178027
37,38178.000000,6374.129063,0.000000,6696.039148,6705.670689,-2856.837844,6840.178027
38,38449.175781,6404.329085,0.000000,6696.039148,6705.670689,-721.755152,6840.178027
39,38634.570313,6424.602320,0.000000,6696.039148,6705.670689,1931.203538,6840.178027
40,38818.718750,6444.442217,0.000000,6696.039148,6705.670689,-2996.339342,6840.178027
41,38881.632813,6451.153126,0.000000,6696.039148,6705.670689,972.445389,6840.178027
42,38981.824219,6461.769912,0.000000,6696.039148,6705.670689,-587.933164,6840.178027
43,39012.277344,6464.979790,0.000000,6696.039148,6705.670689,-1266.585335,6840.178027
44,39116.718750,6475.928035,0.000000,6696.039148,6705.670689,-2563.949458,6840.178027
45,39308.226563,6495.761923,0.000000,6696.039148,6705.670689,113.694045,6840.178027
46,39363.621094,6501.441079,0.000000,6696.039148,6705.670689,-504.633548,6840.178027
47,39472.023438,6512.479966,0.000000,6696.039148,6705.670689,1694.850882,6840.178027
48,39588.332031,6524.214445,0.000000,6696.039148,6705.670689,2498.364678,6840.178027
49,39825.902344,6547.833331,0.000000,6696.039148,6705.670689,-7228.941170,6840.178027
50,40061.007813,6570.748900,0.000000,6696.039148,6705.670689,1633.366014,6840.178027
51,40065.980469,6571.228693,0.000000,6696.039148,6705.670689,-838.281452,6840.178027
52,40252.457031,6589.075876,0.000000,6696.039148,6705.670689,-3195.142384,6840.178027
53,40287.246094,6592.374229,0.000000,6696.039148,6705.670689,-2889.559083,6840.178027
54,40311.042969,6594.624778,0.000000,6696.039148,6705.670689,3018.964527,6840.178027
55,40531.757813,6615.281290,0.000000,6696.039148,6705.670689,410.492731,6840.178027
56,40538.875000,6615.940878,0.000000,6696.039148,6705.670689,2593.098414,6840.178027
57,40576.765625,6619.445592,0.000000,6696.039148,6705.670689,1025.257417,6840.178027
58,40941.953125,6652.638970,0.000000,6696.039148,6705.670689,-1865.796625,6840.178027
59,40980.601563,6656.090247,0.000000,6696.039148,6705.670689,796.708230,6840.178027
60,41207.863281,6676.147924,0.000000,6696.039148,6705.670689,285.148715,6840.178027
61,41224.453125,6677.596329,0.000000,6696.039148,6705.670689,-619.803216,6840.178027
62,41455.996094,6697.588858,0.000000,6696.039148,6705.670689,-1926.972325,6840.178027
63,41532.988281,6704.145022,0.000000,6696.039148,6705.670689,-483.091233,6840.178027
64,41657.031250,6714.611988,0.000000,6696.039148,6705.670689,2759.650807,6840.178027
65,41670.835938,6715.769565,0.000000,6696.039148,6705.670689,-1328.122501,6840.178027
66,41823.640625,6728.485710,0.000000,6696.039148,6705.670689,1614.192541,6840.178027
67,42247.437500,6762.827781,0.000000,6696.039148,6705.670689,-2368.741331,6840.178027
68,42258.441406,6763.701480,0.000000,6696.039148,6705.670689,-385.922963,6840.178027
69,42329.171875,6769.295795,0.000000,6696.039148,6705.670689,3421.096917,6840.178027
70,42349.472656,6770.894553,0.000000,6696.039148,6705.670689,-2223.832319,6840.178027
71,42384.878906,6773.675565,0.000000,6696.039148,6705.670689,7372.518645,6840.178027
72,42518.738281,6784.105361,0.000000,6696.039148,6705.670689,2463.348323,6840.178027
73,42566.457031,6787.791263,0.000000,6696.039148,6705.670689,3631.188380,6840.178027
74,42578.972656,6788.755206,0.000000,6696.039148,6705.670689,397.604553,6840.178027
75,42634.097656,6792.987098,0.000000,6696.039148,6705.670689,285.104935,6840.178027
76,42822.824219,6807.305752,0.000000,6696.039148,6705.670689,-872.692094,6840.178027
77,42917.203125,6814.368111,0.000000,6696.039148,6705.670689,-3724.161748,6840.178027
78,43052.156250,6824.353460,0.000000,6696.039148,6705.670689,-2721.830503,6840.178027
79,43410.062500,6850.194421,0.000000,6696.039148,6705.670689,3005.022942,6840.178027
80,43564.144531,6861.034499,0.000000,6696.039148,6705.670689,4983.559709,6840.178027
81,43603.117188,6863.749330,0.000000,6696.039148,6705.670689,2658.537861,6840.178027
82,43841.527344,6880.120686,0.000000,6696.039148,6705.670689,-3067.832024,6840.178027
83,43878.734375,6882.639128,0.000000,6696.039148,6705.670689,413.913297,6840.178027
84,43892.550781,6883.571819,0.000000,6696.039148,6705.670689,-818.817128,6840.178027
85,44101.054688,6897.482892,0.000000,6696.039148,6705.670689,150.055124,6840.178027
86,44103.593750,6897.650400,0.000000,6696.039148,6705.670689,2079.586176,6840.178027
87,44220.441406,6905.309986,0.000000,6696.039148,6705.670689,6048.444078,6840.178027
88,44262.304688,6908.030828,0.000000,6696.039148,6705.670689,-128.397554,6840.178027
89,44322.035156,6911.891617,0.000000,6696.039148,6705.670689,-69.020263,6840.178027
90,44404.773438,6917.198244,0.000000,6696.039148,6705.670689,-3074.386629,6840.178027
91,44428.335938,6918.700719,0.000000,6696.039148,6705.670689,168.249413,6840.178027
92,45088.550781,6959.230776,0.000000,6696.039148,6705.670689,4089.271284,6840.178027
93,45116.726563,6960.893481,0.000000,6696.039148,6705.670689,5431.199304,6840.178027
94,45158.207031,6963.331405,0.000000,6696.039148,6705.670689,-1634.161459,6840.178027
