#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,46378.84,0.00,46378.84,46378.84,46378.84,46378.84,46378.84,46378.84
CPTY_A,2016-05-06,0.248634,46296.10,0.00,64579.11,0.00,46530.20,46530.20,46530.20,46530.20
CPTY_A,2016-08-05,0.497268,46765.09,0.00,72969.95,0.00,47238.04,47238.04,46884.12,46884.12
CPTY_A,2016-11-07,0.754098,46269.81,0.00,80470.13,0.00,46979.43,47238.04,46916.58,47004.65
CPTY_A,2017-02-06,1.003002,46118.32,0.00,79258.59,0.00,47058.82,47238.04,46951.88,47062.57
CPTY_A,2017-05-05,1.244098,46051.02,0.00,87673.02,0.00,47219.78,47238.04,47003.79,47096.57
CPTY_A,2017-08-07,1.501632,46164.71,0.00,96198.77,0.00,47582.40,47582.40,47103.03,47179.89
CPTY_A,2017-11-06,1.750947,46551.51,0.00,101034.35,0.00,48221.24,48221.24,47262.25,47328.17
CPTY_A,2018-02-05,2.000262,47172.63,0.00,112221.48,0.00,49108.00,49108.00,47492.30,47550.01
CPTY_A,2018-05-08,2.252317,46723.11,0.00,110741.76,0.00,48886.64,49108.00,47648.34,47724.36
CPTY_A,2018-08-06,2.498892,46180.55,0.00,104764.44,0.00,48558.74,49108.00,47738.17,47860.89
CPTY_A,2018-11-05,2.748207,45938.16,0.00,114148.23,0.00,48546.23,49108.00,47811.48,47974.03
CPTY_A,2019-02-05,3.000262,46268.69,0.00,117553.55,0.00,49143.56,49143.56,47923.39,48072.28
CPTY_A,2019-05-07,3.249577,46179.94,0.00,130353.80,0.00,49295.41,49295.41,48028.65,48166.12
CPTY_A,2019-08-05,3.496152,46356.16,0.00,134807.72,0.00,49729.08,49729.08,48148.58,48276.35
CPTY_A,2019-11-05,3.748207,46422.62,0.00,134170.28,0.00,50053.00,50053.00,48276.65,48395.83
CPTY_A,2020-02-05,4.000000,46952.44,0.00,139849.81,0.00,50881.07,50881.07,48440.59,48552.27
CPTY_A,2020-05-05,4.245902,47141.99,0.00,149331.27,0.00,51339.99,51339.99,48608.51,48713.72
CPTY_A,2020-08-05,4.497268,47256.02,0.00,148087.88,0.00,51725.24,51725.24,48782.71,48882.04
CPTY_A,2020-11-05,4.748634,46883.61,0.00,150192.67,0.00,51577.92,51725.24,48930.68,49032.55
CPTY_A,2021-02-05,5.000262,47749.41,0.00,160051.64,0.00,52796.90,52796.90,49125.24,49221.98
CPTY_A,2021-05-05,5.244098,48745.33,0.00,168178.72,0.00,54162.57,54162.57,49359.46,49451.70
CPTY_A,2021-08-05,5.496152,46940.07,0.00,157474.89,0.00,52421.26,54162.57,49499.87,49667.74
CPTY_A,2021-11-05,5.748207,46348.92,0.00,154337.08,0.00,52023.66,54162.57,49610.54,49864.84
CPTY_A,2022-02-07,6.005741,45886.49,0.00,158522.34,0.00,51771.58,54162.57,49703.21,50049.13
CPTY_A,2022-05-05,6.244098,45892.07,0.00,172185.16,0.00,52026.23,54162.57,49791.88,50206.15
CPTY_A,2022-08-05,6.496152,45469.09,0.00,158768.45,0.00,51808.19,54162.57,49870.12,50359.67
CPTY_A,2022-11-07,6.753687,46316.00,0.00,166657.61,0.00,53046.72,54162.57,49991.25,50504.68
CPTY_A,2023-02-06,7.003002,45044.89,0.00,168443.97,0.00,51849.75,54162.57,50057.41,50634.90
CPTY_A,2023-05-05,7.244098,46441.20,0.00,183889.70,0.00,53716.35,54162.57,50179.19,50752.31
CPTY_A,2023-08-07,7.501632,45950.57,0.00,193075.33,0.00,53424.36,54162.57,50290.60,50869.39
CPTY_A,2023-11-06,7.750947,46213.04,0.00,192105.53,0.00,53999.10,54162.57,50409.88,50975.32
CPTY_A,2024-02-05,8.000000,46364.18,0.00,204938.59,0.00,54447.53,54447.53,50535.58,51083.41
CPTY_A,2024-05-07,8.251366,46221.64,0.00,182747.34,0.00,54555.48,54555.48,50658.04,51189.18
CPTY_A,2024-08-05,8.497268,47111.14,0.00,206165.42,0.00,55881.28,55881.28,50809.20,51324.97
CPTY_A,2024-11-05,8.748634,46433.94,0.00,192214.48,0.00,55357.40,55881.28,50939.88,51455.88
CPTY_A,2025-02-05,9.000262,46908.31,0.00,196251.64,0.00,56206.59,56206.59,51087.12,51588.70
CPTY_A,2025-05-06,9.246837,47068.01,0.00,191098.97,0.00,56677.82,56677.82,51236.20,51724.40
CPTY_A,2025-08-05,9.496152,46895.83,0.00,198155.75,0.00,56753.83,56753.83,51381.07,51856.45
CPTY_A,2025-11-05,9.748207,46124.93,0.00,213800.44,0.00,56104.06,56753.83,51503.19,51983.08
CPTY_A,2026-02-05,10.000262,45795.13,0.00,212127.80,0.00,55985.48,56753.83,51616.16,52103.32
CPTY_A,2026-05-05,10.244098,45964.43,0.00,230565.56,0.00,56468.20,56753.83,51731.65,52214.02
CPTY_A,2026-08-05,10.496152,46553.92,295.16,226614.75,0.00,57482.52,57482.52,51869.75,52340.54
CPTY_A,2026-11-05,10.748207,41194.09,991.10,205241.98,0.00,51122.49,57482.52,51852.23,52461.12
CPTY_A,2027-02-05,11.000262,42504.18,1272.43,195362.09,0.00,53015.91,57482.52,51878.89,52576.18
CPTY_A,2027-05-05,11.244098,42633.54,939.50,188346.61,0.00,53438.20,57482.52,51912.71,52682.58
CPTY_A,2027-08-05,11.496152,45269.71,1841.05,206987.17,0.00,57030.30,57482.52,52024.91,52787.81
CPTY_A,2027-11-05,11.748207,37993.70,2545.00,181162.80,0.00,48106.86,57482.52,51940.85,52888.54
CPTY_A,2028-02-07,12.005464,37675.64,2759.51,178910.78,0.00,47951.41,57482.52,51855.36,52986.98
CPTY_A,2028-05-05,12.245902,37881.86,1931.79,178137.05,0.00,48447.79,57482.52,51788.46,53075.25
CPTY_A,2028-08-07,12.502732,38143.16,2016.63,176971.61,0.00,49034.82,57482.52,51731.90,53165.78
CPTY_A,2028-11-06,12.751366,31962.99,3478.73,150076.09,0.00,41296.09,57482.52,51528.41,53249.95
CPTY_A,2029-02-05,13.000262,31923.01,3763.82,168492.88,0.00,41451.38,57482.52,51335.48,53330.98
CPTY_A,2029-05-08,13.252317,32540.18,2825.00,151580.97,0.00,42467.10,57482.52,51166.81,53409.95
CPTY_A,2029-08-06,13.498892,32878.87,3028.34,157818.44,0.00,43122.03,57482.52,51019.86,53484.34
CPTY_A,2029-11-05,13.748207,27456.38,3765.91,135604.34,0.00,36190.88,57482.52,50750.95,53556.84
CPTY_A,2030-02-05,14.000262,27457.02,3740.49,137007.34,0.00,36375.32,57482.52,50492.13,53627.52
CPTY_A,2030-05-07,14.249577,29134.21,3156.34,134644.06,0.00,38790.94,57482.52,50287.41,53694.97
CPTY_A,2030-08-05,14.496152,29556.83,3346.37,146589.19,0.00,39548.92,57482.52,50104.75,53759.39
CPTY_A,2030-11-05,14.748207,24514.08,3893.17,123465.88,0.00,32967.79,57482.52,49811.87,53823.02
CPTY_A,2031-02-05,15.000262,25446.46,3962.83,121945.12,0.00,34395.30,57482.52,49552.82,53884.51
CPTY_A,2031-05-06,15.246837,26218.57,3166.36,127841.70,0.00,35614.79,57482.52,49327.41,53942.70
CPTY_A,2031-08-05,15.496152,25952.88,3113.25,120496.23,0.00,35430.77,57482.52,49103.83,53999.65
CPTY_A,2031-11-05,15.748207,20252.72,3547.28,104001.36,0.00,27789.19,57482.52,48762.68,54055.40
CPTY_A,2032-02-05,16.000000,19968.59,3431.76,103171.38,0.00,27538.33,57482.52,48428.67,54109.33
CPTY_A,2032-05-05,16.245902,20009.92,2390.34,101434.09,0.00,27732.25,57482.52,48115.41,54160.39
CPTY_A,2032-08-05,16.497268,20004.56,2429.86,102152.23,0.00,27865.46,57482.52,47806.86,54211.01
CPTY_A,2032-11-05,16.748634,14424.67,2999.59,79021.99,0.00,20194.85,57482.52,47392.45,54260.11
CPTY_A,2033-02-07,17.005741,14673.73,3161.13,75657.24,0.00,20650.03,57482.52,46988.14,54308.82
CPTY_A,2033-05-05,17.244098,14690.31,2017.28,70946.71,0.00,20772.52,57482.52,46625.77,54352.69
CPTY_A,2033-08-05,17.496152,14877.27,2128.11,74049.96,0.00,21143.59,57482.52,46258.67,54397.78
CPTY_A,2033-11-07,17.753687,9665.62,2700.13,54847.90,0.00,13808.00,57482.52,45787.94,54442.53
CPTY_A,2034-02-06,18.003002,9843.19,2729.59,51176.35,0.00,14132.21,57482.52,45349.56,54484.63
CPTY_A,2034-05-05,18.244098,9852.51,1490.08,47598.58,0.00,14214.22,57482.52,44938.10,54524.25
CPTY_A,2034-08-07,18.501632,9950.45,1615.17,46503.80,0.00,14429.94,57482.52,44513.44,54565.42
