#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,46379,0,0,0,46379,46379,46379,46378.84,46378.84
BermSwp,2016-05-06,0.248634,46296,0,0,0,64579,46530,46530,46530.20,46530.20
BermSwp,2016-08-05,0.497268,46765,0,0,0,72970,47238,47238,46884.12,46884.12
BermSwp,2016-11-07,0.754098,46270,0,0,0,80470,46979,47238,46916.58,47004.65
BermSwp,2017-02-06,1.003002,46118,0,0,0,79259,47059,47238,46951.88,47062.57
BermSwp,2017-05-05,1.244098,46051,0,0,0,87673,47220,47238,47003.79,47096.57
BermSwp,2017-08-07,1.501632,46165,0,0,0,96199,47582,47582,47103.03,47179.89
BermSwp,2017-11-06,1.750947,46552,0,0,0,101034,48221,48221,47262.25,47328.17
BermSwp,2018-02-05,2.000262,47173,0,0,0,112221,49108,49108,47492.30,47550.01
BermSwp,2018-05-08,2.252317,46723,0,0,0,110742,48887,49108,47648.34,47724.36
BermSwp,2018-08-06,2.498892,46181,0,0,0,104764,48559,49108,47738.17,47860.89
BermSwp,2018-11-05,2.748207,45938,0,0,0,114148,48546,49108,47811.48,47974.03
BermSwp,2019-02-05,3.000262,46269,0,0,0,117554,49144,49144,47923.39,48072.28
BermSwp,2019-05-07,3.249577,46180,0,0,0,130354,49295,49295,48028.65,48166.12
BermSwp,2019-08-05,3.496152,46356,0,0,0,134808,49729,49729,48148.58,48276.35
BermSwp,2019-11-05,3.748207,46423,0,0,0,134170,50053,50053,48276.65,48395.83
BermSwp,2020-02-05,4.000000,46952,0,0,0,139850,50881,50881,48440.59,48552.27
BermSwp,2020-05-05,4.245902,47142,0,0,0,149331,51340,51340,48608.51,48713.72
BermSwp,2020-08-05,4.497268,47256,0,0,0,148088,51725,51725,48782.71,48882.04
BermSwp,2020-11-05,4.748634,46884,0,0,0,150193,51578,51725,48930.68,49032.55
BermSwp,2021-02-05,5.000262,47749,0,0,0,160052,52797,52797,49125.24,49221.98
BermSwp,2021-05-05,5.244098,48745,0,0,0,168179,54163,54163,49359.46,49451.70
BermSwp,2021-08-05,5.496152,46940,0,0,0,157475,52421,54163,49499.87,49667.74
BermSwp,2021-11-05,5.748207,46349,0,0,0,154337,52024,54163,49610.54,49864.84
BermSwp,2022-02-07,6.005741,45886,0,0,0,158522,51772,54163,49703.21,50049.13
BermSwp,2022-05-05,6.244098,45892,0,0,0,172185,52026,54163,49791.88,50206.15
BermSwp,2022-08-05,6.496152,45469,0,0,0,158768,51808,54163,49870.12,50359.67
BermSwp,2022-11-07,6.753687,46316,0,0,0,166658,53047,54163,49991.25,50504.68
BermSwp,2023-02-06,7.003002,45045,0,0,0,168444,51850,54163,50057.41,50634.90
BermSwp,2023-05-05,7.244098,46441,0,0,0,183890,53716,54163,50179.19,50752.31
BermSwp,2023-08-07,7.501632,45951,0,0,0,193075,53424,54163,50290.60,50869.39
BermSwp,2023-11-06,7.750947,46213,0,0,0,192106,53999,54163,50409.88,50975.32
BermSwp,2024-02-05,8.000000,46364,0,0,0,204939,54448,54448,50535.58,51083.41
BermSwp,2024-05-07,8.251366,46222,0,0,0,182747,54555,54555,50658.04,51189.18
BermSwp,2024-08-05,8.497268,47111,0,0,0,206165,55881,55881,50809.20,51324.97
BermSwp,2024-11-05,8.748634,46434,0,0,0,192214,55357,55881,50939.88,51455.88
BermSwp,2025-02-05,9.000262,46908,0,0,0,196252,56207,56207,51087.12,51588.70
BermSwp,2025-05-06,9.246837,47068,0,0,0,191099,56678,56678,51236.20,51724.40
BermSwp,2025-08-05,9.496152,46896,0,0,0,198156,56754,56754,51381.07,51856.45
BermSwp,2025-11-05,9.748207,46125,0,0,0,213800,56104,56754,51503.19,51983.08
BermSwp,2026-02-05,10.000262,45795,0,0,0,212128,55985,56754,51616.16,52103.32
BermSwp,2026-05-05,10.244098,45964,0,0,0,230566,56468,56754,51731.65,52214.02
BermSwp,2026-08-05,10.496152,46554,295,0,0,226615,57483,57483,51869.75,52340.54
BermSwp,2026-11-05,10.748207,41194,991,0,0,205242,51122,57483,51852.23,52461.12
BermSwp,2027-02-05,11.000262,42504,1272,0,0,195362,53016,57483,51878.89,52576.18
BermSwp,2027-05-05,11.244098,42634,940,0,0,188347,53438,57483,51912.71,52682.58
BermSwp,2027-08-05,11.496152,45270,1841,0,0,206987,57030,57483,52024.91,52787.81
BermSwp,2027-11-05,11.748207,37994,2545,0,0,181163,48107,57483,51940.85,52888.54
BermSwp,2028-02-07,12.005464,37676,2760,0,0,178911,47951,57483,51855.36,52986.98
BermSwp,2028-05-05,12.245902,37882,1932,0,0,178137,48448,57483,51788.46,53075.25
BermSwp,2028-08-07,12.502732,38143,2017,0,0,176972,49035,57483,51731.90,53165.78
